102.10.19 11:54 B C:\WINDOWS\Desktop\MyWeb\index.php <-- zone cljim / index.php
102.10.20 04:04 B C:\WINDOWS\Desktop\MyWeb\banner.gif --> ftp.zone.ee / banner.gif
102.10.20 04:31 B C:\WINDOWS\Desktop\MyWeb\bg0008.gif --> ftp.zone.ee / bg0008.gif
102.10.20 05:56 B C:\WINDOWS\Desktop\MyWeb\algus.html <-- Jim17 / algus.html
102.10.20 05:57 B C:\WINDOWS\Desktop\MyWeb\ylemine.html <-- Jim17 / ylemine.html
102.10.20 06:52 B C:\WINDOWS\Desktop\MyWeb\box.gif --> ftp.zone.ee / box.gif
102.10.20 07:15 B C:\WINDOWS\Desktop\MyWeb\bg0006.gif --> ftp.zone.ee / bg0006.gif
102.10.20 07:25 B C:\WINDOWS\Desktop\MyWeb\buttontest.gif --> ftp.zone.ee / buttontest.gif
102.10.20 07:33 B C:\WINDOWS\Desktop\MyWeb\butmp3.gif --> ftp.zone.ee / butmp3.gif
102.10.20 07:55 B C:\WINDOWS\Desktop\MyWeb\buttontest.gif --> ftp.zone.ee / buttontest.gif
102.10.20 07:55 B C:\WINDOWS\Desktop\MyWeb\punane.gif --> ftp.zone.ee / punane.gif
102.10.20 08:08 B C:\WINDOWS\Desktop\MyWeb\hall.gif --> ftp.zone.ee / hall.gif
102.10.20 09:11 B C:\WINDOWS\Desktop\MyWeb\Max.zip <-- ftp.hot.ee/cljim / Max.zip
102.10.20 09:13 B C:\WINDOWS\Desktop\MyWeb\Max.zip --> ftp.zone.ee / Max.zip
102.10.20 09:19 B C:\WINDOWS\Desktop\MyWeb\mirc.gif --> ftp.zone.ee / mirc.gif
102.10.20 10:02 B C:\WINDOWS\Desktop\MyWeb\htmlicon.gif --> ftp.zone.ee / htmlicon.gif
102.10.22 10:42 B C:\WINDOWS\Desktop\MyWeb\special.gif --> ftp.zone.ee / special.gif
102.10.22 10:51 B C:\WINDOWS\Desktop\MyWeb\special.gif --> ftp.zone.ee / special.gif
102.10.23 09:14 B C:\WINDOWS\Desktop\MyWeb\adawaret.gif --> ftp.zone.ee / adawaret.gif
102.10.23 09:20 B C:\WINDOWS\Desktop\MyWeb\buttonbrn.gif --> ftp.zone.ee / buttonbrn.gif
102.10.23 10:12 B C:\WINDOWS\Desktop\MyWeb\buttonbrn.gif --> ftp.zone.ee / buttonbrn.gif
102.10.23 10:14 B C:\WINDOWS\Desktop\MyWeb\menuuh.inc <-- zone cljim / menuuh.inc
