SECURITY DETAIL VIEW (EQUITY)
Arco Vara (ARC1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: ARC1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,83;0,80;0,83;0,80;0,81;0,83;2,47%;0,83;0,84;16;24023;19840,71;
2008-05-20;0,82;0,83;0,83;0,81;0,83;0,82;-1,20%;0,81;0,82;25;91564;75041,84;
2008-05-21;0,81;0,80;0,83;0,80;0,82;0,82;0,00%;0,81;0,82;20;32308;26255,10;
2008-05-22;0,83;0,84;0,84;0,83;0,82;0,83;1,22%;0,83;0,84;3;5095;4240,85;
2008-05-23;0,82;0,82;0,83;0,81;0,83;0,81;-2,41%;0,81;0,82;8;6760;5530,00;
2008-05-26;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,82;0,84;0;0;0,00;
2008-05-27;0,82;0,82;0,82;0,82;0,81;0,82;1,23%;0,82;0,83;6;9900;8118,00;
2008-05-28;0,82;0,82;0,82;0,81;0,82;0,82;0,00%;0,81;0,82;8;1059500;868741,15;
2008-05-29;0,81;0,82;0,82;0,81;0,82;0,81;-1,22%;0,81;0,82;16;31739;25775,59;
2008-05-30;0,75;0,79;0,80;0,73;0,81;0,77;-4,94%;0,77;0,78;34;480708;361881,98;
2008-06-02;0,78;0,76;0,79;0,76;0,77;0,78;1,30%;0,77;0,78;18;24322;18984,40;
2008-06-03;0,79;0,79;0,79;0,78;0,78;0,79;1,28%;0,78;0,79;5;5000;3940,00;
2008-06-04;0,80;0,78;0,80;0,78;0,79;0,80;1,27%;0,79;0,80;20;54993;43854,06;
2008-06-05;0,79;0,79;0,79;0,78;0,80;0,79;-1,25%;0,78;0,79;20;245327;193792,40;
2008-06-06;0,79;0,80;0,80;0,79;0,79;0,79;0,00%;0,79;0,80;6;8240;6512,60;
2008-06-09;0,79;0,79;0,79;0,78;0,79;0,79;0,00%;0,78;0,79;24;68266;53914,74;
2008-06-10;0,79;0,79;0,79;0,79;0,79;0,79;0,00%;0,78;0,79;7;10540;8326,60;
2008-06-11;0,79;0,78;0,79;0,78;0,79;0,79;0,00%;0,78;0,79;4;10225;8075,97;
2008-06-12;0,79;0,79;0,79;0,79;0,79;0,79;0,00%;0,78;0,79;3;3500;2765,00;
2008-06-13;0,78;0,78;0,78;0,77;0,79;0,78;-1,27%;0,77;0,78;9;13650;10587,50;
2008-06-16;0,77;0,78;0,78;0,76;0,78;0,77;-1,28%;0,77;0,78;7;8219;6327,13;
2008-06-17;0,77;0,77;0,77;0,76;0,77;0,77;0,00%;0,76;0,77;21;1037803;794090,36;
2008-06-18;0,77;0,77;0,78;0,76;0,77;0,77;0,00%;0,76;0,77;29;963365;741773,55;
2008-06-19;0,75;0,77;0,77;0,74;0,77;0,75;-2,60%;0,74;0,76;39;88683;66933,10;
2008-06-20;0,74;0,74;0,75;0,74;0,75;0,74;-1,33%;0,74;0,75;8;5166;3823,24;
2008-06-25;0,73;0,73;0,73;0,73;0,74;0,73;-1,35%;0,73;0,74;1;300;219,00;
2008-06-26;0,72;0,73;0,74;0,72;0,73;0,72;-1,37%;0,72;0,74;11;14789;10711,30;
2008-06-27;0,71;0,72;0,72;0,71;0,72;0,71;-1,39%;0,70;0,71;13;16590;11830,80;
2008-06-30;0,69;0,71;0,71;0,68;0,71;0,69;-2,82%;0,67;0,69;31;32664;22605,84;
2008-07-01;0,67;0,67;0,68;0,67;0,69;0,67;-2,90%;0,67;0,68;16;5615;3778,10;
2008-07-02;0,62;0,63;0,64;0,61;0,67;0,62;-7,46%;0,61;0,62;60;269372;168205,37;
2008-07-03;0,60;0,62;0,62;0,58;0,62;0,59;-4,84%;0,58;0,59;62;712825;426899,84;
2008-07-04;0,59;0,60;0,60;0,58;0,59;0,59;0,00%;0,58;0,59;38;940403;552309,77;
2008-07-07;0,59;0,59;0,59;0,58;0,59;0,59;0,00%;0,58;0,59;39;2441287;1439606,32;
2008-07-08;0,59;0,59;0,60;0,58;0,59;0,59;0,00%;0,58;0,59;60;822201;484862,02;
2008-07-09;0,59;0,59;0,65;0,59;0,59;0,64;8,47%;0,63;0,64;111;3303803;1954558,16;
2008-07-10;0,63;0,65;0,66;0,61;0,64;0,62;-3,13%;0,62;0,63;98;395081;248232,38;
2008-07-11;0,62;0,62;0,63;0,61;0,62;0,63;1,61%;0,62;0,63;27;3535344;2226972,72;
2008-07-14;0,61;0,63;0,63;0,61;0,63;0,62;-1,59%;0,61;0,62;33;436680;266645,85;
2008-07-15;0,61;0,62;0,62;0,60;0,62;0,61;-1,61%;0,60;0,61;16;24810;15222,40;
2008-07-16;0,60;0,60;0,61;0,59;0,61;0,59;-3,28%;0,59;0,60;17;74526;44470,60;
2008-07-17;0,60;0,59;0,61;0,59;0,59;0,60;1,69%;0,59;0,60;5;1620;966,10;
2008-07-18;0,58;0,58;0,59;0,56;0,60;0,58;-3,33%;0,58;0,59;58;393811;227110,43;
2008-07-21;0,57;0,59;0,59;0,57;0,58;0,57;-1,72%;0,56;0,57;22;155889;88876,53;
2008-07-22;0,55;0,56;0,56;0,53;0,57;0,55;-3,51%;0,54;0,55;39;70681;38669,44;
2008-07-23;0,56;0,57;0,58;0,55;0,55;0,57;3,64%;0,56;0,57;42;230813;129630,71;
2008-07-24;0,56;0,59;0,59;0,56;0,57;0,57;0,00%;0,56;0,57;23;770460;431682,60;
2008-07-25;0,60;0,58;0,61;0,58;0,57;0,58;1,75%;0,58;0,59;28;72478;43132,64;
2008-07-28;0,60;0,59;0,61;0,58;0,58;0,60;3,45%;0,59;0,60;29;146854;87707,38;
2008-07-29;0,58;0,58;0,60;0,58;0,60;0,58;-3,33%;0,58;0,59;14;15794;9221,46;
2008-07-30;0,61;0,60;0,61;0,60;0,58;0,61;5,17%;0,60;0,61;28;35942;21853,90;
2008-07-31;0,63;0,62;0,64;0,62;0,61;0,63;3,28%;0,62;0,63;47;94445;59442,05;
2008-08-01;0,61;0,62;0,62;0,60;0,63;0,61;-3,17%;0,60;0,61;16;30950;18885,50;
2008-08-04;0,61;0,61;0,62;0,60;0,61;0,60;-1,64%;0,60;0,61;11;12810;7831,00;
2008-08-05;0,59;0,61;0,61;0,58;0,60;0,59;-1,67%;0,58;0,59;18;1015900;594418,25;
2008-08-06;0,58;0,58;0,59;0,57;0,59;0,58;-1,69%;0,57;0,58;27;755525;434622,70;
2008-08-07;0,56;0,58;0,58;0,50;0,58;0,56;-3,45%;0,55;0,56;48;2221812;1255485,73;
2008-08-08;0,56;0,57;0,57;0,56;0,56;0,56;0,00%;0,55;0,56;8;12950;7257,00;
2008-08-11;0,57;0,56;0,57;0,56;0,56;0,56;0,00%;0,55;0,57;29;5006860;2809558,50;
2008-08-12;0,57;0,55;0,57;0,55;0,56;0,57;1,79%;0,56;0,57;19;207310;118136,78;
2008-08-13;0,57;0,57;0,58;0,56;0,57;0,58;1,75%;0,57;0,58;22;194493;111041,14;
2008-08-14;0,58;0,58;0,59;0,58;0,58;0,58;0,00%;0,58;0,59;9;23530;13748,40;
2008-08-15;0,58;0,57;0,58;0,57;0,58;0,58;0,00%;0,57;0,58;5;17908;10376,57;
2008-08-18;0,58;0,58;0,58;0,58;0,58;0,58;0,00%;0,57;0,58;7;22131;12835,98;
2008-08-19;0,57;0,57;0,57;0,56;0,58;0,57;-1,72%;0,57;0,58;13;23853;13585,23;
2008-08-20;0,00;0,57;0,00;0,00;0,57;0,57;0,00%;0,00;0,00;0;0;0,00;
2008-08-21;0,58;0,57;0,58;0,56;0,57;0,58;1,75%;0,57;0,58;14;31953;18407,24;
2008-08-22;0,56;0,58;0,58;0,56;0,58;0,56;-3,45%;0,55;0,56;52;128608;72590,05;
2008-08-25;0,55;0,56;0,56;0,55;0,56;0,55;-1,79%;0,55;0,56;22;43695;24168,80;
2008-08-26;0,54;0,54;0,54;0,53;0,55;0,54;-1,82%;0,53;0,54;25;2231931;1164969,48;
2008-08-27;0,51;0,53;0,53;0,49;0,54;0,51;-5,56%;0,51;0,52;114;3008513;1534480,94;
2008-08-28;0,52;0,52;0,52;0,52;0,51;0,52;1,96%;0,51;0,52;31;41795;21733,40;
2008-08-29;0,53;0,53;0,54;0,52;0,52;0,53;1,92%;0,52;0,53;24;226592;120547,03;
2008-09-01;0,53;0,52;0,54;0,50;0,53;0,54;1,89%;0,53;0,54;46;112719;60201,91;
2008-09-02;0,53;0,53;0,53;0,52;0,54;0,53;-1,85%;0,52;0,53;12;19887;10510,11;
2008-09-03;0,52;0,52;0,53;0,52;0,53;0,52;-1,89%;0,51;0,52;18;30761;16046,00;
2008-09-04;0,52;0,51;0,53;0,51;0,52;0,52;0,00%;0,52;0,53;10;17095;8825,35;
2008-09-05;0,50;0,52;0,53;0,50;0,52;0,52;0,00%;0,51;0,52;54;127482;64280,24;
2008-09-08;0,52;0,52;0,53;0,51;0,52;0,53;1,92%;0,51;0,53;10;20550;10710,50;
2008-09-09;0,51;0,52;0,52;0,51;0,53;0,51;-3,77%;0,51;0,52;7;12100;6212,00;
2008-09-10;0,51;0,51;0,52;0,51;0,51;0,51;0,00%;0,50;0,51;22;31550;16195,50;
2008-09-11;0,50;0,51;0,51;0,49;0,51;0,49;-3,92%;0,49;0,50;22;23950;11942,45;
2008-09-12;0,50;0,50;0,50;0,49;0,49;0,50;2,04%;0,49;0,50;32;136862;68124,38;
2008-09-15;0,48;0,49;0,49;0,48;0,50;0,49;-2,00%;0,48;0,49;21;108285;52156,22;
2008-09-16;0,48;0,48;0,49;0,48;0,49;0,49;0,00%;0,48;0,49;18;61272;29475,56;
2008-09-17;0,48;0,48;0,49;0,47;0,49;0,48;-2,04%;0,48;0,49;14;23857;11446,38;
2008-09-18;0,46;0,47;0,47;0,43;0,48;0,44;-8,33%;0,44;0,45;69;332103;152870,29;
2008-09-19;0,46;0,45;0,46;0,45;0,44;0,46;4,55%;0,45;0,46;42;206466;94473,36;
2008-09-22;0,47;0,47;0,48;0,46;0,46;0,46;0,00%;0,46;0,48;31;117425;55511,52;
2008-09-23;0,42;0,46;0,47;0,41;0,46;0,41;-10,87%;0,41;0,42;137;797215;330891,81;
2008-09-24;0,42;0,44;0,44;0,41;0,41;0,41;0,00%;0,41;0,42;22;30082;12746,32;
2008-09-25;0,39;0,41;0,41;0,37;0,41;0,40;-2,44%;0,40;0,41;61;108341;42079,36;
2008-09-26;0,38;0,39;0,39;0,37;0,40;0,39;-2,50%;0,39;0,40;71;324731;123874,43;
2008-09-29;0,38;0,37;0,39;0,37;0,39;0,38;-2,56%;0,38;0,39;15;30661;11508,47;
2008-09-30;0,36;0,36;0,39;0,35;0,38;0,39;2,63%;0,38;0,39;48;151624;54666,67;
2008-10-01;0,38;0,39;0,39;0,37;0,39;0,39;0,00%;0,38;0,39;26;250149;95507,27;
2008-10-02;0,38;0,40;0,40;0,38;0,39;0,38;-2,56%;0,37;0,38;9;22500;8577,00;
2008-10-03;0,37;0,38;0,38;0,37;0,38;0,37;-2,63%;0,37;0,38;15;47109;17564,32;
2008-10-06;0,35;0,35;0,38;0,35;0,37;0,35;-5,41%;0,35;0,36;28;291583;101241,75;
2008-10-07;0,32;0,34;0,35;0,30;0,35;0,31;-11,43%;0,31;0,32;77;352565;114124,51;
2008-10-08;0,29;0,32;0,32;0,27;0,31;0,29;-6,45%;0,29;0,30;72;208778;60869,23;
2008-10-09;0,31;0,30;0,32;0,30;0,29;0,31;6,90%;0,31;0,32;73;271564;84760,82;
2008-10-10;0,29;0,30;0,31;0,27;0,31;0,30;-3,23%;0,30;0,31;78;218415;64138,11;
2008-10-13;0,30;0,32;0,32;0,29;0,30;0,29;-3,33%;0,28;0,29;44;136147;40884,57;
2008-10-14;0,30;0,31;0,32;0,29;0,29;0,30;3,45%;0,29;0,30;40;112727;33751,87;
2008-10-15;0,27;0,30;0,30;0,26;0,30;0,26;-13,33%;0,26;0,27;118;919015;240898,70;
2008-10-16;0,24;0,26;0,27;0,24;0,26;0,25;-3,85%;0,25;0,26;105;9217377;2217156,40;
2008-10-17;0,27;0,26;0,27;0,26;0,25;0,26;4,00%;0,25;0,26;25;46948;12470,48;
2008-10-20;0,26;0,26;0,27;0,26;0,26;0,26;0,00%;0,25;0,26;20;24603;6406,78;
2008-10-21;0,27;0,26;0,27;0,26;0,26;0,26;0,00%;0,25;0,26;15;22853;6142,28;
2008-10-22;0,26;0,27;0,27;0,25;0,26;0,26;0,00%;0,25;0,26;4;9730;2502,50;
2008-10-23;0,24;0,25;0,25;0,23;0,26;0,23;-11,54%;0,23;0,24;37;1298965;310339,05;
2008-10-24;0,22;0,24;0,24;0,21;0,23;0,23;0,00%;0,22;0,23;48;98410;21841,31;
2008-10-27;0,22;0,23;0,23;0,20;0,23;0,23;0,00%;0,22;0,23;25;46942;10167,24;
2008-10-28;0,23;0,23;0,24;0,22;0,23;0,24;4,35%;0,23;0,24;19;54095;12548,05;
2008-10-29;0,25;0,25;0,26;0,24;0,24;0,25;4,17%;0,24;0,25;19;25756;6460,46;
2008-10-30;0,24;0,26;0,27;0,23;0,25;0,23;-8,00%;0,22;0,24;20;32450;7940,50;
2008-10-31;0,26;0,26;0,26;0,23;0,23;0,26;13,04%;0,25;0,26;32;247485;64138,75;
2008-11-03;0,27;0,28;0,29;0,26;0,26;0,28;7,69%;0,28;0,29;34;69374;19030,38;
2008-11-04;0,29;0,29;0,29;0,27;0,28;0,29;3,57%;0,28;0,29;17;39050;11235,50;
2008-11-05;0,29;0,29;0,31;0,27;0,29;0,27;-6,90%;0,27;0,28;30;114700;33055,80;
2008-11-06;0,27;0,27;0,28;0,26;0,27;0,26;-3,70%;0,25;0,26;22;25940;6923,80;
2008-11-07;0,27;0,27;0,28;0,27;0,26;0,27;3,85%;0,26;0,28;17;61350;16701,37;
2008-11-10;0,26;0,27;0,27;0,26;0,27;0,27;0,00%;0,26;0,28;15;24982;6615,32;
2008-11-11;0,27;0,26;0,28;0,26;0,27;0,26;-3,70%;0,25;0,26;12;363870;101730,10;
2008-11-12;0,25;0,26;0,26;0,24;0,26;0,25;-3,85%;0,24;0,25;25;64989;16134,28;
2008-11-13;0,25;0,26;0,26;0,24;0,25;0,25;0,00%;0,24;0,26;12;21631;5389,24;
2008-11-14;0,24;0,24;0,24;0,24;0,25;0,24;-4,00%;0,24;0,25;2;3500;840,00;
2008-11-17;0,25;0,25;0,25;0,24;0,24;0,25;4,17%;0,24;0,25;4;5260;1305,50;
