SECURITY DETAIL VIEW (EQUITY)
Ekspress Grupp (EEG1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: EEG1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,75;2,75;2,75;2,75;2,85;2,75;-3,51%;2,75;2,90;1;54;148,50;
2008-05-20;2,79;2,80;2,80;2,70;2,75;2,70;-1,82%;2,71;2,85;7;1450;4040,00;
2008-05-21;2,65;2,70;2,80;2,55;2,70;2,55;-5,56%;2,56;2,70;6;1045;2765,00;
2008-05-22;2,66;2,53;2,80;2,53;2,55;2,58;1,18%;2,58;2,75;9;8059;21621,07;
2008-05-23;2,70;2,63;2,72;2,63;2,58;2,72;5,43%;2,65;2,75;3;825;2226,00;
2008-05-26;2,61;2,61;2,61;2,61;2,72;2,61;-4,04%;2,61;2,70;1;194;506,34;
2008-05-27;2,60;2,56;2,70;2,56;2,61;2,60;-0,38%;2,56;2,64;12;4830;12573,80;
2008-05-28;2,61;2,60;2,70;2,54;2,60;2,65;1,92%;2,56;2,70;6;2604;6784,41;
2008-05-29;2,60;2,60;2,63;2,58;2,65;2,63;-0,75%;2,58;2,70;6;4650;12091,00;
2008-05-30;2,59;2,60;2,60;2,57;2,63;2,57;-2,28%;2,57;2,67;2;369;957,33;
2008-06-02;2,60;2,60;2,60;2,60;2,57;2,60;1,17%;2,51;2,60;2;1181;3070,60;
2008-06-03;2,51;2,51;2,51;2,51;2,60;2,51;-3,46%;2,51;2,59;2;308;773,08;
2008-06-04;2,45;2,50;2,51;2,40;2,51;2,50;-0,40%;2,37;2,50;12;11155;27072,45;
2008-06-05;2,41;2,51;2,51;2,40;2,50;2,40;-4,00%;2,38;2,40;8;7219;17362,10;
2008-06-06;2,42;2,40;2,45;2,40;2,40;2,40;0,00%;2,40;2,47;5;26210;62963,00;
2008-06-09;0,00;2,40;0,00;0,00;2,40;2,40;0,00%;2,47;2,49;0;0;0,00;
2008-06-10;2,40;2,47;2,47;2,31;2,40;2,40;0,00%;2,30;2,40;9;1354;3243,48;
2008-06-11;2,34;2,40;2,40;2,31;2,40;2,31;-3,75%;2,30;2,46;3;216;506,16;
2008-06-12;2,37;2,35;2,38;2,35;2,31;2,38;3,03%;2,35;2,38;3;461;1090,85;
2008-06-13;2,30;2,30;2,30;2,30;2,38;2,30;-3,36%;2,22;2,30;3;8000;18400,00;
2008-06-16;2,21;2,20;2,25;2,20;2,30;2,21;-3,91%;2,25;2,30;8;2530;5592,90;
2008-06-17;2,30;2,30;2,30;2,30;2,21;2,30;4,07%;2,27;2,30;3;2000;4600,00;
2008-06-18;2,30;2,20;2,30;2,20;2,30;2,30;0,00%;2,30;2,40;16;118353;272144,85;
2008-06-19;2,30;2,30;2,32;2,30;2,30;2,31;0,43%;2,30;2,34;13;47240;108672,00;
2008-06-20;2,33;2,35;2,35;2,32;2,31;2,32;0,43%;2,31;2,42;3;140000;326000,00;
2008-06-25;2,37;2,35;2,40;2,32;2,32;2,40;3,45%;2,34;2,44;12;356087;854396,55;
2008-06-26;2,36;2,37;2,37;2,35;2,40;2,35;-2,08%;2,34;2,39;7;355000;851775,20;
2008-06-27;2,35;2,35;2,35;2,35;2,35;2,35;0,00%;2,35;2,39;6;2793;6563,55;
2008-06-30;2,37;2,35;2,42;2,35;2,35;2,42;2,98%;2,35;2,42;5;336321;797061,35;
2008-07-01;0,00;2,42;0,00;0,00;2,42;2,42;0,00%;2,37;2,40;0;0;0,00;
2008-07-02;2,35;2,35;2,42;2,34;2,42;2,34;-3,31%;2,34;2,42;7;701988;1649674,25;
2008-07-03;2,34;2,34;2,34;2,33;2,34;2,34;0,00%;2,34;2,42;7;1381;3230,23;
2008-07-04;0,00;2,34;0,00;0,00;2,34;2,34;0,00%;2,34;2,40;0;0;0,00;
2008-07-07;2,35;2,35;2,35;2,35;2,34;2,35;0,43%;2,31;2,40;8;20825;48938,75;
2008-07-08;2,32;2,31;2,35;2,31;2,35;2,32;-1,28%;2,31;2,38;6;10000;23222,00;
2008-07-09;2,31;2,31;2,31;2,31;2,32;2,31;-0,43%;2,31;2,38;3;350;808,50;
2008-07-10;2,31;2,30;2,31;2,30;2,31;2,31;0,00%;2,30;2,38;2;17597;40646,26;
2008-07-11;2,30;2,30;2,30;2,30;2,31;2,30;-0,43%;2,25;2,32;5;2214;5092,20;
2008-07-14;2,20;2,30;2,30;2,20;2,30;2,20;-4,35%;2,02;2,20;4;2950;6500,00;
2008-07-15;2,12;2,03;2,14;2,02;2,20;2,12;-3,64%;2,10;2,15;8;2524;5341,82;
2008-07-16;2,12;2,12;2,12;2,10;2,12;2,10;-0,94%;2,02;2,10;3;21765;46117,80;
2008-07-17;2,03;2,14;2,14;2,02;2,10;2,05;-2,38%;2,05;2,10;4;721;1460,32;
2008-07-18;2,00;2,03;2,03;2,00;2,05;2,00;-2,44%;1,98;2,00;17;16331;32723,38;
2008-07-21;1,90;2,00;2,00;1,81;2,00;1,89;-5,50%;1,83;1,89;19;11190;21308,25;
2008-07-22;1,76;1,85;1,85;1,74;1,89;1,75;-7,41%;1,71;1,75;22;18540;32712,30;
2008-07-23;1,69;1,75;1,80;1,65;1,75;1,65;-5,71%;1,65;1,68;44;34255;57984,20;
2008-07-24;1,68;1,56;1,72;1,55;1,65;1,72;4,24%;1,72;1,79;15;11708;19697,50;
2008-07-25;1,91;1,80;1,95;1,80;1,72;1,95;13,37%;1,75;1,92;7;10000;19128,10;
2008-07-28;1,80;1,80;1,81;1,80;1,95;1,81;-7,18%;1,80;1,89;3;6000;10820,00;
2008-07-29;1,95;1,95;1,95;1,95;1,81;1,95;7,73%;1,81;1,95;2;100;195,00;
2008-07-30;1,91;1,95;1,95;1,90;1,95;1,91;-2,05%;1,90;1,98;8;2333;4466,53;
2008-07-31;2,02;1,98;2,15;1,98;1,91;2,01;5,24%;2,02;2,07;16;7658;15504,44;
2008-08-01;2,00;2,14;2,14;2,00;2,01;2,00;-0,50%;2,00;2,08;2;1002;2004,28;
2008-08-04;2,00;2,05;2,05;1,97;2,00;1,97;-1,50%;1,97;2,00;6;2771;5534,25;
2008-08-05;2,15;2,08;2,20;2,02;1,97;2,20;11,68%;2,11;2,20;13;3059;6564,46;
