SECURITY DETAIL VIEW (EQUITY)
Eesti Ehitus (EEH1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: EEH1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;3,55;0,00;0,00;3,55;3,55;0,00%;3,45;3,55;0;0;0,00;
2008-05-20;3,50;3,55;3,55;3,50;3,55;3,50;-1,41%;3,46;3,50;12;70650;247395,50;
2008-05-21;3,50;3,46;3,50;3,46;3,50;3,50;0,00%;3,46;3,50;3;1200;4198,00;
2008-05-22;3,50;3,50;3,50;3,50;3,50;3,50;0,00%;3,45;3,50;5;2260;7910,00;
2008-05-23;3,50;3,50;3,50;3,46;3,50;3,50;0,00%;3,47;3,50;11;28275;98940,50;
2008-05-26;3,40;3,40;3,40;3,39;3,50;3,39;-3,14%;3,35;3,39;4;75560;264309,00;
2008-05-27;3,31;3,32;3,40;3,30;3,39;3,30;-2,65%;3,30;3,39;8;16000;52881,50;
2008-05-28;3,30;3,30;3,30;3,30;3,30;3,30;0,00%;3,27;3,40;2;634149;2219481,50;
2008-05-29;3,26;3,29;3,29;3,25;3,30;3,25;-1,52%;3,25;3,35;9;19600;64610,77;
2008-05-30;3,30;3,30;3,35;3,30;3,25;3,30;1,54%;3,30;3,35;20;156734;517234,70;
2008-06-02;0,00;3,30;0,00;0,00;3,30;3,30;0,00%;3,29;3,40;0;0;0,00;
2008-06-03;3,35;3,39;3,39;3,35;3,30;3,35;1,52%;3,35;3,39;5;684449;2267566,19;
2008-06-04;3,38;3,39;3,40;3,36;3,35;3,36;0,30%;3,36;3,40;15;36230;122079,00;
2008-06-05;3,38;3,38;3,40;3,34;3,36;3,35;-0,30%;3,34;3,37;10;82702;279026,09;
2008-06-06;3,35;3,37;3,37;3,35;3,35;3,35;0,00%;3,35;3,36;5;2182;7317,70;
2008-06-09;3,36;3,36;3,39;3,35;3,35;3,35;0,00%;3,35;3,50;16;69328;232693,99;
2008-06-10;3,35;3,36;3,36;3,35;3,35;3,35;0,00%;3,35;3,36;2;10500;35180,00;
2008-06-11;3,33;3,36;3,36;3,32;3,35;3,36;0,30%;3,35;3,36;5;5451;18140,65;
2008-06-12;3,35;3,35;3,35;3,35;3,36;3,35;-0,30%;3,33;3,39;6;12111;40571,85;
2008-06-13;3,35;3,35;3,39;3,35;3,35;3,35;0,00%;3,35;3,38;22;151304;506900,56;
2008-06-16;3,35;3,39;3,39;3,35;3,35;3,35;0,00%;3,32;3,40;4;2300;7711,00;
2008-06-17;3,35;3,35;3,40;3,35;3,35;3,36;0,30%;3,36;3,40;20;679153;2275302,55;
2008-06-18;3,53;3,45;3,55;3,45;3,36;3,54;5,36%;3,52;3,55;14;29093;102750,67;
2008-06-19;3,53;3,54;3,54;3,41;3,54;3,50;-1,13%;3,48;3,50;9;5900;20843,52;
2008-06-20;3,47;3,47;3,47;3,47;3,50;3,47;-0,86%;3,47;3,52;1;300;1041,00;
2008-06-25;3,48;3,50;3,50;3,47;3,47;3,47;0,00%;3,47;3,50;7;16800;58510,00;
2008-06-26;3,45;3,47;3,47;3,38;3,47;3,38;-2,59%;3,37;3,40;8;31400;108410,00;
2008-06-27;3,35;3,40;3,40;3,35;3,38;3,35;-0,89%;3,35;3,40;8;83700;280420,50;
2008-06-30;3,36;3,34;3,45;3,34;3,35;3,45;2,99%;3,42;3,45;4;560;1881,40;
2008-07-01;3,35;3,34;3,36;3,34;3,45;3,35;-2,90%;3,40;3,44;9;7900;26468,60;
2008-07-02;3,43;3,43;3,43;3,43;3,35;3,43;2,39%;3,33;3,43;1;50;171,50;
2008-07-03;3,31;3,31;3,31;3,31;3,43;3,31;-3,50%;3,31;3,38;2;670;2217,70;
2008-07-04;3,33;3,31;3,37;3,31;3,31;3,37;1,81%;3,32;3,38;2;1170;3900,90;
2008-07-07;3,31;3,31;3,31;3,31;3,37;3,31;-1,78%;3,31;3,37;2;1000;3310,00;
2008-07-08;3,21;3,30;3,30;3,20;3,31;3,20;-3,32%;3,18;3,22;11;17950;57621,50;
2008-07-09;3,23;3,27;3,27;3,20;3,20;3,20;0,00%;3,20;3,22;11;16060;51857,20;
2008-07-10;3,20;3,18;3,20;3,18;3,20;3,18;-0,63%;3,18;3,25;6;15110;48309,30;
2008-07-11;3,19;3,20;3,20;3,18;3,18;3,19;0,31%;3,18;3,20;11;9217;29419,08;
2008-07-14;3,18;3,18;3,19;3,18;3,19;3,19;0,00%;3,18;3,19;2;1100;3499,00;
2008-07-15;3,01;3,16;3,16;2,96;3,19;3,04;-4,70%;2,98;3,04;48;127946;385089,23;
2008-07-16;3,00;3,00;3,00;3,00;3,04;3,00;-1,32%;2,95;2,99;3;15300;46400,00;
