SECURITY DETAIL VIEW (EQUITY)
Eesti Telekom (ETLAT)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: ETLAT
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;7,67;7,73;7,73;7,64;7,60;7,65;0,66%;7,63;7,65;27;10607;81340,11;
2008-05-20;7,68;7,68;7,68;7,65;7,65;7,68;0,39%;7,66;7,67;12;11662;89511,66;
2008-05-21;7,68;7,67;7,68;7,66;7,68;7,68;0,00%;7,65;7,68;22;15727;120770,32;
2008-05-22;7,65;7,66;7,66;7,63;7,68;7,64;-0,52%;7,64;7,65;23;8483;64891,28;
2008-05-23;7,65;7,69;7,69;7,61;7,64;7,61;-0,39%;7,60;7,67;21;24747;189242,53;
2008-05-26;7,68;7,70;7,70;7,65;7,61;7,68;0,92%;7,65;7,69;13;8050;61845,80;
2008-05-27;7,67;7,68;7,68;7,65;7,68;7,68;0,00%;7,60;7,68;27;22779;174823,96;
2008-05-28;7,67;7,65;7,69;7,65;7,68;7,66;-0,26%;7,64;7,68;17;11430;87611,51;
2008-05-29;7,66;7,65;7,68;7,61;7,66;7,65;-0,13%;7,64;7,65;13;29739;227297,54;
2008-05-30;7,66;7,65;7,68;7,60;7,65;7,68;0,39%;7,60;7,68;48;27855;213480,83;
2008-06-02;7,68;7,65;7,69;7,65;7,68;7,69;0,13%;7,67;7,69;26;947540;7277153,74;
2008-06-03;7,68;7,70;7,70;7,67;7,69;7,68;-0,13%;7,67;7,68;31;559078;4298337,88;
2008-06-04;7,01;7,02;7,02;6,98;7,68;6,99;-8,98%;6,99;7,00;50;1332320;9343435,35;
2008-06-05;7,03;7,02;7,07;7,00;6,99;7,07;1,14%;7,07;7,09;57;1064335;8090492,02;
2008-06-06;7,20;7,09;7,25;7,08;7,07;7,25;2,55%;7,20;7,24;40;1014695;7129941,33;
2008-06-09;7,20;7,25;7,25;7,15;7,25;7,19;-0,83%;7,16;7,19;38;81180;579003,29;
2008-06-10;7,19;7,15;7,21;7,13;7,19;7,20;0,14%;7,20;7,22;21;62260;447865,82;
2008-06-11;7,20;7,20;7,20;7,19;7,20;7,20;0,00%;7,19;7,20;20;31240;224889,07;
2008-06-12;7,18;7,19;7,19;7,12;7,20;7,13;-0,97%;7,12;7,15;15;7895;56683,80;
2008-06-13;7,13;7,15;7,15;7,12;7,13;7,12;-0,14%;7,12;7,13;8;2585;18435,20;
2008-06-16;7,15;7,15;7,15;7,12;7,12;7,15;0,42%;7,15;7,18;9;2123;15174,53;
2008-06-17;7,17;7,15;7,18;7,15;7,15;7,18;0,42%;7,15;7,18;7;1204;8633,30;
2008-06-18;7,15;7,19;7,19;7,11;7,18;7,14;-0,56%;7,14;7,19;18;5490;39252,23;
2008-06-19;7,18;7,19;7,19;7,13;7,14;7,19;0,70%;7,16;7,19;14;3089;22183,97;
2008-06-20;7,14;7,15;7,15;7,11;7,19;7,15;-0,56%;7,12;7,15;17;5320;37977,00;
2008-06-25;7,16;7,10;7,20;7,10;7,15;7,15;0,00%;7,15;7,19;17;18295;131070,75;
2008-06-26;7,07;7,15;7,16;7,04;7,15;7,04;-1,54%;7,03;7,04;27;37734;266723,36;
2008-06-27;7,00;7,09;7,09;6,96;7,04;6,98;-0,85%;6,97;6,99;24;38492;269269,97;
2008-06-30;6,95;7,00;7,10;6,93;6,98;6,95;-0,43%;6,95;6,96;25;210362;1462312,11;
2008-07-01;6,91;7,00;7,00;6,86;6,95;6,90;-0,72%;6,87;6,90;24;6389;44178,35;
2008-07-02;6,90;6,90;6,96;6,86;6,90;6,86;-0,58%;6,86;6,90;12;11550;79689,68;
2008-07-03;6,90;6,87;6,95;6,81;6,86;6,85;-0,15%;6,85;6,89;21;26714;183686,71;
2008-07-04;6,82;6,89;6,89;6,81;6,85;6,82;-0,44%;6,81;6,82;12;3735;25483,20;
2008-07-07;6,84;6,82;6,90;6,82;6,82;6,87;0,73%;6,82;6,87;5;760;5202,00;
2008-07-08;6,78;6,87;6,87;6,77;6,87;6,77;-1,46%;6,76;6,77;18;6112;41461,21;
2008-07-09;6,76;6,76;6,81;6,75;6,77;6,76;-0,15%;6,76;6,78;21;10028;67773,76;
2008-07-10;6,75;6,80;6,80;6,71;6,76;6,71;-0,74%;6,71;6,73;28;17953;121282,82;
2008-07-11;6,71;6,71;6,72;6,67;6,71;6,72;0,15%;6,68;6,71;19;10364;69544,14;
2008-07-14;6,68;6,72;6,72;6,65;6,72;6,66;-0,89%;6,66;6,68;10;2416;16139,62;
2008-07-15;6,62;6,65;6,65;6,60;6,66;6,60;-0,90%;6,60;6,61;15;7101;46986,50;
2008-07-16;6,54;6,60;6,60;6,50;6,60;6,50;-1,52%;6,50;6,53;15;19385;126781,90;
2008-07-17;6,42;6,40;6,46;6,40;6,50;6,46;-0,62%;6,46;6,47;12;2584;16601,12;
2008-07-18;6,51;6,40;6,55;6,40;6,46;6,50;0,62%;6,49;6,53;23;44318;288725,20;
2008-07-21;6,44;6,55;6,55;6,40;6,50;6,42;-1,23%;6,41;6,45;13;3253;20944,57;
2008-07-22;6,41;6,42;6,43;6,39;6,42;6,39;-0,47%;6,38;6,40;41;50151;321185,70;
2008-07-23;6,35;6,38;6,39;6,35;6,39;6,35;-0,63%;6,35;6,38;14;52673;334487,89;
2008-07-24;6,27;6,38;6,38;6,21;6,35;6,22;-2,05%;6,22;6,27;39;25078;157237,15;
2008-07-25;6,14;6,25;6,25;6,10;6,22;6,15;-1,13%;6,15;6,20;49;58859;361736,98;
2008-07-28;6,13;6,17;6,20;6,10;6,15;6,15;0,00%;6,13;6,15;29;60372;370007,90;
2008-07-29;6,18;6,15;6,20;6,15;6,15;6,20;0,81%;6,16;6,24;16;21572;133281,40;
2008-07-30;6,27;6,25;6,40;6,25;6,20;6,40;3,23%;6,40;6,42;23;33807;212440,75;
2008-07-31;6,46;6,41;6,50;6,41;6,40;6,50;1,56%;6,45;6,50;39;44851;289613,29;
2008-08-01;6,40;6,42;6,45;6,40;6,50;6,40;-1,54%;6,35;6,40;15;8178;52373,40;
2008-08-04;0,00;6,40;0,00;0,00;6,40;6,40;0,00%;6,37;6,49;0;0;0,00;
2008-08-05;6,42;6,38;6,45;6,38;6,40;6,44;0,63%;6,41;6,44;14;5556;35672,05;
2008-08-06;6,43;6,44;6,50;6,41;6,44;6,41;-0,47%;6,41;6,47;11;1803;11586,40;
2008-08-07;6,42;6,41;6,44;6,40;6,41;6,44;0,47%;6,43;6,44;14;10453;67128,28;
2008-08-08;6,47;6,48;6,48;6,45;6,44;6,48;0,62%;6,46;6,48;23;14716;95276,90;
2008-08-11;6,61;6,52;6,70;6,52;6,48;6,69;3,24%;6,69;6,70;15;12924;85378,70;
2008-08-12;6,70;6,70;6,70;6,66;6,69;6,70;0,15%;6,67;6,70;16;239335;1603501,88;
2008-08-13;6,64;6,72;6,72;6,55;6,70;6,66;-0,60%;6,55;6,66;11;5430;36068,50;
2008-08-14;6,55;6,55;6,55;6,55;6,66;6,55;-1,65%;6,55;6,66;1;20;131,00;
2008-08-15;6,64;6,65;6,65;6,60;6,55;6,65;1,53%;6,61;6,65;10;12897;85631,05;
2008-08-18;6,70;6,70;6,70;6,60;6,65;6,70;0,75%;6,68;6,70;23;21225;142143,50;
2008-08-19;6,73;6,69;6,75;6,69;6,70;6,75;0,75%;6,71;6,75;27;26458;177715,31;
2008-08-20;0,00;6,75;0,00;0,00;6,75;6,75;0,00%;0,00;0,00;0;0;0,00;
2008-08-21;6,72;6,72;6,73;6,70;6,75;6,72;-0,44%;6,70;6,72;21;16185;108758,75;
2008-08-22;6,73;6,74;6,75;6,72;6,72;6,74;0,30%;6,72;6,74;21;24417;164379,61;
2008-08-25;6,74;6,74;6,75;6,70;6,74;6,75;0,15%;6,70;6,75;23;17199;115834,88;
2008-08-26;6,72;6,75;6,75;6,66;6,75;6,73;-0,30%;6,68;6,74;19;10930;73382,88;
2008-08-27;6,67;6,68;6,73;6,65;6,73;6,65;-1,19%;6,62;6,65;32;103545;689783,57;
2008-08-28;6,68;6,65;6,70;6,61;6,65;6,68;0,45%;6,61;6,68;9;2184;14578,62;
2008-08-29;6,67;6,68;6,68;6,65;6,68;6,67;-0,15%;6,64;6,67;13;93542;623917,18;
2008-09-01;6,69;6,70;6,70;6,67;6,67;6,69;0,30%;6,66;6,69;10;1317;8807,29;
2008-09-02;6,69;6,67;6,70;6,67;6,69;6,67;-0,30%;6,68;6,70;15;8199;54836,57;
2008-09-03;6,70;6,68;6,73;6,68;6,67;6,70;0,45%;6,71;6,72;7;12341;83184,08;
2008-09-04;6,73;6,72;6,75;6,71;6,70;6,73;0,45%;6,73;6,76;8;3770;25371,10;
2008-09-05;6,81;6,82;6,84;6,80;6,73;6,81;1,19%;6,75;6,80;6;2330;15871,20;
2008-09-08;6,89;6,72;6,95;6,72;6,81;6,95;2,06%;6,84;6,95;34;65646;450688,14;
2008-09-09;6,92;6,91;6,95;6,90;6,95;6,95;0,00%;6,92;6,95;6;4722;32678,19;
2008-09-10;6,85;6,90;6,90;6,80;6,95;6,81;-2,01%;6,81;6,84;13;82118;562437,05;
2008-09-11;6,78;6,81;6,81;6,70;6,81;6,70;-1,62%;6,70;6,76;18;16373;111098,87;
2008-09-12;6,67;6,70;6,78;6,65;6,70;6,78;1,19%;6,71;6,78;12;3859;25735,53;
2008-09-15;6,69;6,78;6,78;6,65;6,78;6,65;-1,92%;6,65;6,70;10;3511;23480,20;
2008-09-16;6,51;6,61;6,70;6,45;6,65;6,59;-0,90%;6,51;6,58;20;38518;248982,50;
