SECURITY DETAIL VIEW (EQUITY)
Harju Elekter (HAE1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: HAE1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,44;2,64;2,64;2,25;2,64;2,62;-0,76%;2,38;2,62;8;1014;2477,85;
2008-05-20;2,49;2,61;2,61;2,45;2,62;2,50;-4,58%;2,45;2,59;8;1742750;4217536,00;
2008-05-21;2,45;2,59;2,59;2,45;2,50;2,45;-2,00%;2,45;2,59;3;157;384,79;
2008-05-22;2,50;2,45;2,58;2,45;2,45;2,57;4,90%;2,45;2,58;4;2200;5489,00;
2008-05-23;2,50;2,45;2,50;2,45;2,57;2,50;-2,72%;2,45;2,50;2;1045;2610,25;
2008-05-26;0,00;2,50;0,00;0,00;2,50;2,50;0,00%;2,48;2,58;0;0;0,00;
2008-05-27;2,48;2,48;2,48;2,48;2,50;2,48;-0,80%;2,42;2,48;2;200;496,00;
2008-05-28;2,48;2,48;2,48;2,48;2,48;2,48;0,00%;2,42;2,48;2;450;1116,00;
2008-05-29;2,43;2,40;2,57;2,40;2,48;2,57;3,63%;2,40;2,57;5;1690;4109,70;
2008-05-30;2,45;2,57;2,57;2,40;2,57;2,57;0,00%;2,40;2,58;5;750;1834,00;
2008-06-02;2,57;2,55;2,60;2,55;2,57;2,60;1,17%;2,45;2,60;6;15000;38613,25;
2008-06-03;2,48;2,48;2,48;2,48;2,60;2,48;-4,62%;2,50;2,59;4;1200;2976,00;
2008-06-04;2,55;2,55;2,55;2,55;2,48;2,55;2,82%;2,55;2,59;2;1000;2550,00;
2008-06-05;2,55;2,55;2,55;2,55;2,55;2,55;0,00%;2,55;2,59;1;200;510,00;
2008-06-06;0,00;2,55;0,00;0,00;2,55;2,55;0,00%;2,50;2,59;0;0;0,00;
2008-06-09;2,55;2,55;2,55;2,55;2,55;2,55;0,00%;2,55;2,60;2;1092;2784,60;
2008-06-10;2,59;2,55;2,60;2,55;2,55;2,60;1,96%;2,56;2,60;5;2152;5582,30;
2008-06-11;2,55;2,55;2,55;2,55;2,60;2,55;-1,92%;2,55;2,60;1;50;127,50;
2008-06-12;2,50;2,55;2,55;2,40;2,55;2,50;-1,96%;2,55;2,59;4;3040;7587,00;
2008-06-13;0,00;2,50;0,00;0,00;2,50;2,50;0,00%;2,55;2,59;0;0;0,00;
2008-06-16;0,00;2,50;0,00;0,00;2,50;2,50;0,00%;2,51;2,55;0;0;0,00;
2008-06-17;0,00;2,50;0,00;0,00;2,50;2,50;0,00%;2,51;2,59;0;0;0,00;
2008-06-18;2,50;2,51;2,51;2,50;2,50;2,50;0,00%;2,50;2,60;2;1000;2503,00;
2008-06-19;2,60;2,60;2,63;2,60;2,50;2,63;5,20%;2,61;2,64;5;3774;9821,40;
2008-06-20;0,00;2,63;0,00;0,00;2,63;2,63;0,00%;2,54;2,62;0;0;0,00;
2008-06-25;0,00;2,63;0,00;0,00;2,63;2,63;0,00%;2,58;2,64;0;0;0,00;
2008-06-26;2,58;2,60;2,60;2,56;2,63;2,56;-2,66%;2,56;2,64;4;1130;2912,80;
