SECURITY DETAIL VIEW (EQUITY)
Kalev (KLV1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: KLV1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;1,51;0,00;0,00;1,51;1,51;0,00%;1,51;1,65;0;0;0,00;
2008-05-20;0,00;1,51;0,00;0,00;1,51;1,51;0,00%;1,51;1,72;0;0;0,00;
2008-05-21;0,00;1,51;0,00;0,00;1,51;1,51;0,00%;1,51;1,63;0;0;0,00;
2008-05-22;1,51;1,51;1,51;1,51;1,51;1,51;0,00%;1,51;1,63;1;60;90,60;
2008-05-23;0,00;1,51;0,00;0,00;1,51;1,51;0,00%;1,51;1,63;0;0;0,00;
2008-05-26;0,00;1,51;0,00;0,00;1,51;1,51;0,00%;1,50;1,62;0;0;0,00;
2008-05-27;0,00;1,51;0,00;0,00;1,51;1,51;0,00%;1,50;1,62;0;0;0,00;
2008-05-28;1,50;1,50;1,51;1,50;1,51;1,51;0,00%;1,51;0,00;2;382;573,02;
2008-05-29;0,00;1,51;0,00;0,00;1,51;1,51;0,00%;1,50;1,63;0;0;0,00;
2008-05-30;1,57;1,72;1,72;1,50;1,51;1,50;-0,66%;1,50;1,72;3;300;472,00;
2008-06-02;0,00;1,50;0,00;0,00;1,50;1,50;0,00%;1,40;1,71;0;0;0,00;
2008-06-03;1,36;1,40;1,40;1,35;1,50;1,35;-10,00%;1,28;1,71;2;1115;1511,00;
2008-06-04;1,29;1,30;1,30;1,28;1,35;1,28;-5,19%;1,28;1,54;4;1097;1412,16;
2008-06-05;0,00;1,28;0,00;0,00;1,28;1,28;0,00%;1,28;1,47;0;0;0,00;
2008-06-06;0,00;1,28;0,00;0,00;1,28;1,28;0,00%;1,29;1,47;0;0;0,00;
2008-06-09;0,00;1,28;0,00;0,00;1,28;1,28;0,00%;1,29;1,40;0;0;0,00;
2008-06-10;0,00;1,28;0,00;0,00;1,28;1,28;0,00%;1,29;0,00;0;0;0,00;
2008-06-11;0,00;1,28;0,00;0,00;1,28;1,28;0,00%;1,31;1,40;0;0;0,00;
2008-06-12;0,00;1,28;0,00;0,00;1,28;1,28;0,00%;1,31;1,41;0;0;0,00;
2008-06-13;0,00;1,28;0,00;0,00;1,28;1,28;0,00%;1,31;1,50;0;0;0,00;
2008-06-16;1,31;1,50;1,50;1,31;1,28;1,31;2,34%;1,31;1,50;2;497;652,59;
