SECURITY DETAIL VIEW (EQUITY)
Merko Ehitus (MRK1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: MRK1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-08-11;6,87;6,72;7,44;6,71;0,00;6,75;0,00%;6,75;7,05;5;335;2301,45;
2008-08-12;6,75;6,75;6,75;6,75;6,75;6,75;0,00%;6,75;7,14;1;1000;6750,00;
2008-08-13;7,20;7,20;7,20;7,20;6,75;7,20;6,67%;6,70;7,10;1;33;237,60;
2008-08-14;6,75;6,75;6,75;6,75;7,20;6,75;-6,25%;6,75;7,08;1;30;202,50;
2008-08-15;7,15;7,15;7,15;7,15;6,75;7,15;5,93%;6,82;7,15;2;1799;12862,85;
2008-08-18;7,17;7,03;7,35;7,03;7,15;7,35;2,80%;7,00;7,35;10;1802;12917,95;
2008-08-19;7,39;7,30;7,39;7,20;7,35;7,39;0,54%;7,06;7,39;7;2339;17274,01;
2008-08-20;0,00;7,39;0,00;0,00;7,39;7,39;0,00%;0,00;0,00;0;0;0,00;
2008-08-21;7,39;7,38;7,40;7,38;7,39;7,38;-0,14%;7,07;7,39;6;1799;13289,60;
2008-08-22;7,60;7,40;7,94;7,38;7,38;7,89;6,91%;7,41;7,89;9;3685;28022,31;
2008-08-25;8,17;7,75;8,25;7,75;7,89;8,25;4,56%;7,71;8,25;5;1799;14698,50;
2008-08-26;8,28;8,20;8,32;8,20;8,25;8,32;0,85%;7,76;8,32;7;2254;18658,65;
2008-08-27;8,19;8,35;8,38;8,15;8,32;8,38;0,72%;8,15;8,38;6;13090;107153,00;
2008-08-28;8,35;8,35;8,35;8,35;8,38;8,35;-0,36%;8,15;8,35;5;41573;337134,55;
2008-08-29;8,01;8,15;8,15;8,00;8,35;8,05;-3,59%;7,85;8,05;4;13037;104371,35;
2008-09-01;8,21;8,30;8,90;8,00;8,05;8,10;0,62%;8,00;8,10;20;3025;24822,56;
2008-09-02;8,07;8,10;8,10;8,00;8,10;8,00;-1,23%;7,90;8,00;4;600;4840,00;
2008-09-03;7,95;7,95;7,95;7,92;8,00;7,92;-1,00%;7,92;8,10;2;6550;52071,00;
2008-09-04;0,00;7,92;0,00;0,00;7,92;7,92;0,00%;7,94;8,00;0;0;0,00;
2008-09-05;7,85;7,95;7,95;7,35;7,92;7,35;-7,20%;7,36;7,89;13;2511;19704,61;
2008-09-08;7,34;7,31;7,36;7,31;7,35;7,34;-0,14%;7,31;7,34;7;2321;17033,06;
2008-09-09;7,29;7,34;7,34;7,25;7,34;7,30;-0,54%;7,11;7,30;9;1740;12691,90;
2008-09-10;7,30;7,30;7,49;7,09;7,30;7,49;2,60%;7,09;7,49;6;2110;15410,40;
2008-09-11;7,10;7,10;7,10;7,10;7,49;7,10;-5,21%;7,10;7,30;2;1550;11005,00;
2008-09-12;0,00;7,10;0,00;0,00;7,10;7,10;0,00%;7,16;7,30;0;0;0,00;
2008-09-15;7,02;7,01;7,05;7,00;7,10;7,00;-1,41%;6,91;7,09;11;4930;34589,00;
2008-09-16;6,93;6,70;7,00;6,70;7,00;7,00;0,00%;6,70;7,00;3;250;1733,30;
2008-09-17;6,95;6,94;6,95;6,94;7,00;6,95;-0,71%;6,70;6,90;2;350;2431,00;
2008-09-18;5,98;5,98;5,98;5,98;6,95;5,98;-13,96%;5,98;6,78;4;620;3707,60;
2008-09-19;6,27;6,65;6,65;6,08;5,98;6,20;3,68%;6,08;6,20;25;6650;41680,90;
2008-09-22;6,23;6,47;6,47;6,15;6,20;6,20;0,00%;6,20;6,44;4;660;4113,85;
2008-09-23;6,21;6,15;6,48;6,10;6,20;6,10;-1,61%;5,60;6,39;7;600;3725,00;
2008-09-24;6,08;6,30;6,30;5,95;6,10;5,95;-2,46%;5,95;6,30;13;8045;48913,50;
2008-09-25;5,98;6,00;6,10;5,90;5,95;6,09;2,35%;5,90;6,09;14;4183;24998,30;
2008-09-26;6,04;6,38;6,38;5,87;6,09;5,87;-3,61%;5,87;6,00;4;670;4046,09;
2008-09-29;5,83;6,00;6,00;5,77;5,87;5,87;0,00%;5,87;6,00;14;7292;42524,64;
2008-09-30;5,97;5,50;6,00;5,50;5,87;6,00;2,21%;5,71;6,00;11;2130;12705,50;
2008-10-01;0,00;6,00;0,00;0,00;6,00;6,00;0,00%;5,60;6,20;0;0;0,00;
2008-10-02;6,10;6,20;6,20;6,07;6,00;6,07;1,17%;5,65;6,50;3;130;793,00;
2008-10-03;5,58;5,99;6,00;5,16;6,07;5,20;-14,33%;5,20;5,70;11;6910;38544,60;
2008-10-06;5,06;5,00;5,10;5,00;5,20;5,10;-1,92%;5,10;5,40;4;820;4150,00;
2008-10-07;5,11;5,40;5,40;5,10;5,10;5,10;0,00%;4,82;5,10;4;2100;10725,50;
2008-10-08;4,80;4,80;4,80;4,80;5,10;4,80;-5,88%;4,55;4,80;2;100;480,00;
