SECURITY DETAIL VIEW (EQUITY)
Olympic Entertainment Group (OEG1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: OEG1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,24;2,23;2,29;2,23;2,24;2,25;0,45%;2,25;2,29;39;82525;185079,43;
2008-05-20;2,28;2,28;2,30;2,26;2,25;2,28;1,33%;2,28;2,29;66;99419;226794,97;
2008-05-21;2,28;2,29;2,32;2,26;2,28;2,27;-0,44%;2,26;2,28;27;107054;243703,27;
2008-05-22;2,25;2,29;2,29;2,22;2,27;2,22;-2,20%;2,22;2,24;20;13617;30681,65;
2008-05-23;2,23;2,22;2,25;2,22;2,22;2,22;0,00%;2,22;2,24;27;66844;149016,89;
2008-05-26;2,21;2,21;2,22;2,20;2,22;2,22;0,00%;2,20;2,22;34;79343;175328,43;
2008-05-27;2,20;2,21;2,22;2,20;2,22;2,20;-0,90%;2,19;2,20;21;83735;184352,38;
2008-05-28;2,16;2,19;2,19;2,11;2,20;2,16;-1,82%;2,14;2,16;23;69945;150519,13;
2008-05-29;2,15;2,18;2,18;2,11;2,16;2,13;-1,39%;2,13;2,14;26;72055;154930,35;
2008-05-30;2,10;2,13;2,13;2,07;2,13;2,10;-1,41%;2,09;2,10;43;42346;88818,61;
2008-06-02;2,12;2,14;2,14;2,10;2,10;2,13;1,43%;2,13;2,14;16;4410;9367,84;
2008-06-03;2,13;2,13;2,13;2,13;2,13;2,13;0,00%;2,11;2,13;13;112927;240534,51;
2008-06-04;2,11;2,13;2,13;2,10;2,13;2,10;-1,41%;2,10;2,13;43;259542;547851,96;
2008-06-05;2,10;2,10;2,12;2,08;2,10;2,10;0,00%;2,08;2,10;12;45072;94217,86;
2008-06-06;2,07;2,07;2,11;2,05;2,10;2,10;0,00%;2,06;2,10;57;718775;1501367,46;
2008-06-09;2,08;2,05;2,09;2,01;2,10;2,08;-0,95%;2,07;2,08;47;170834;355259,51;
2008-06-10;2,07;2,07;2,09;2,06;2,08;2,06;-0,96%;2,05;2,06;17;7315;15157,90;
2008-06-11;2,05;2,06;2,07;2,04;2,06;2,04;-0,97%;2,04;2,06;20;137242;281342,34;
2008-06-12;2,01;2,03;2,07;2,00;2,04;2,00;-1,96%;1,99;2,00;49;70873;142672,76;
2008-06-13;2,00;1,99;2,05;1,99;2,00;2,05;2,50%;2,04;2,05;37;2156010;4331438,70;
2008-06-16;2,06;2,05;2,08;2,05;2,05;2,05;0,00%;2,05;2,08;33;18161;37411,54;
2008-06-17;2,12;2,07;2,16;2,07;2,05;2,14;4,39%;2,12;2,15;77;136393;287383,02;
2008-06-18;2,25;2,15;2,33;2,15;2,14;2,29;7,01%;2,28;2,29;144;125171;281448,52;
2008-06-19;2,30;2,29;2,32;2,26;2,29;2,27;-0,87%;2,26;2,28;107;53712;123399,95;
2008-06-20;2,26;2,26;2,32;2,23;2,27;2,25;-0,88%;2,25;2,26;73;72305;163759,05;
2008-06-25;2,26;2,24;2,27;2,23;2,25;2,27;0,89%;2,23;2,28;40;57975;130832,76;
2008-06-26;2,25;2,27;2,27;2,25;2,27;2,25;-0,88%;2,25;2,27;40;162306;365587,00;
