SECURITY DETAIL VIEW (EQUITY)
Silvano Fashion Group (SFGAT)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: SFGAT
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;3,05;3,05;3,05;3,05;3,05;3,05;0,00%;3,05;3,12;3;1753;5346,65;
2008-05-20;3,05;3,05;3,05;3,00;3,05;3,05;0,00%;2,95;3,05;7;27647;85411,45;
2008-05-21;3,02;3,05;3,15;3,00;3,05;3,00;-1,64%;3,00;3,13;3;295;890,30;
2008-05-22;3,00;3,00;3,00;3,00;3,00;3,00;0,00%;3,00;3,15;3;1000;3000,00;
2008-05-23;3,00;3,00;3,00;3,00;3,00;3,00;0,00%;3,00;3,05;7;1982;5946,00;
2008-05-26;2,97;3,00;3,00;2,90;3,00;2,90;-3,33%;2,90;2,99;6;4230;12544,40;
2008-05-27;2,92;2,95;2,95;2,90;2,90;2,90;0,00%;2,90;3,05;2;50;146,05;
2008-05-28;2,79;2,85;2,85;2,69;2,90;2,85;-1,72%;2,70;3,00;10;12716;37082,53;
2008-05-29;0,00;2,85;0,00;0,00;2,85;2,85;0,00%;2,75;2,95;0;0;0,00;
2008-05-30;2,82;2,80;2,84;2,80;2,85;2,84;-0,35%;2,80;2,84;3;4163;11810,92;
2008-06-02;2,65;2,75;2,75;2,55;2,84;2,55;-10,21%;2,55;2,92;8;4000;10600,00;
2008-06-03;2,63;2,46;2,70;2,46;2,55;2,70;5,88%;2,70;2,79;3;700;1842,00;
2008-06-04;2,98;2,98;2,98;2,98;2,70;2,98;10,37%;2,70;2,84;1;100;298,00;
2008-06-05;2,86;2,84;2,88;2,84;2,98;2,88;-3,36%;2,61;2,79;2;450;1286,00;
2008-06-06;0,00;2,88;0,00;0,00;2,88;2,88;0,00%;2,54;2,79;0;0;0,00;
2008-06-09;2,60;2,60;2,60;2,60;2,88;2,60;-9,72%;2,51;2,80;1;200;520,00;
2008-06-10;0,00;2,60;0,00;0,00;2,60;2,60;0,00%;2,52;2,73;0;0;0,00;
2008-06-11;2,53;2,60;2,60;2,50;2,60;2,50;-3,85%;2,52;2,60;4;1098;2773,00;
2008-06-12;2,40;2,50;2,50;2,40;2,50;2,40;-4,00%;2,40;2,45;5;144892;347931,00;
2008-06-13;2,30;2,30;2,49;2,30;2,40;2,49;3,75%;2,30;2,49;2;101;232,49;
2008-06-16;2,49;2,49;2,49;2,49;2,49;2,49;0,00%;2,29;2,49;1;30;74,70;
2008-06-17;0,00;2,49;0,00;0,00;2,49;2,49;0,00%;2,37;2,47;0;0;0,00;
2008-06-18;2,51;2,49;2,59;2,49;2,49;2,49;0,00%;2,29;2,49;4;900;2261,00;
2008-06-19;2,39;2,49;2,49;2,30;2,49;2,36;-5,22%;2,32;2,39;8;1309;3132,53;
2008-06-20;2,36;2,36;2,36;2,36;2,36;2,36;0,00%;2,30;2,48;1;500;1180,00;
2008-06-25;2,27;2,12;2,29;2,12;2,36;2,29;-2,97%;2,25;2,29;5;6018;13654,20;
2008-06-26;2,21;2,23;2,23;2,16;2,29;2,20;-3,93%;2,16;2,20;6;8070;17855,50;
2008-06-27;2,20;2,20;2,20;2,20;2,20;2,20;0,00%;2,10;2,17;1;10;22,00;
2008-06-30;2,19;2,20;2,20;2,11;2,20;2,20;0,00%;2,10;2,20;15;15952;35008,72;
2008-07-01;2,11;2,12;2,12;2,11;2,20;2,11;-4,09%;2,10;2,11;5;32200;67649,00;
2008-07-02;2,11;2,11;2,11;2,11;2,11;2,11;0,00%;2,10;2,11;1;34;71,74;
2008-07-03;1,99;2,01;2,01;1,91;2,11;2,00;-5,21%;1,93;2,00;16;4800;9534,96;
2008-07-04;1,90;1,90;1,91;1,89;2,00;1,89;-5,50%;1,90;1,99;5;495;940,05;
2008-07-07;1,90;1,90;1,90;1,90;1,89;1,90;0,53%;1,90;1,99;4;163889;314649,44;
2008-07-08;1,85;1,85;1,85;1,85;1,90;1,85;-2,63%;1,83;1,89;3;500;925,00;
2008-07-09;1,85;1,85;1,85;1,85;1,85;1,85;0,00%;1,86;1,90;2;240;444,00;
2008-07-10;1,88;1,90;1,97;1,80;1,85;1,97;6,49%;1,80;1,97;6;1255;2364,65;
2008-07-11;1,92;1,99;1,99;1,82;1,97;1,82;-7,61%;1,82;1,99;6;2307;4422,35;
2008-07-14;1,81;1,81;1,81;1,81;1,82;1,81;-0,55%;1,82;1,97;1;63;114,03;
2008-07-15;1,80;1,80;1,80;1,80;1,81;1,80;-0,55%;1,60;1,80;4;1230;2214,00;
2008-07-16;1,79;1,64;1,90;1,64;1,80;1,90;5,56%;1,65;1,90;2;70;125,20;
2008-07-17;1,82;1,64;1,90;1,64;1,90;1,90;0,00%;1,80;1,95;6;7880;14317,20;
2008-07-18;1,82;1,80;1,90;1,80;1,90;1,90;0,00%;1,76;1,90;2;186;338,80;
2008-07-21;1,90;1,90;1,90;1,90;1,90;1,90;0,00%;1,85;1,90;1;50;95,00;
2008-07-22;1,85;1,85;1,85;1,85;1,90;1,85;-2,63%;1,72;1,85;3;180;333,00;
2008-07-23;0,00;1,85;0,00;0,00;1,85;1,85;0,00%;1,70;1,79;0;0;0,00;
2008-07-24;1,85;1,85;1,85;1,85;1,85;1,85;0,00%;1,85;1,90;1;134;247,90;
2008-07-25;1,76;1,90;1,90;1,75;1,85;1,75;-5,41%;1,70;1,75;5;1360;2395,00;
2008-07-28;1,75;1,75;1,89;1,74;1,75;1,74;-0,57%;1,74;1,80;6;402146;703786,04;
2008-07-29;1,71;1,71;1,71;1,71;1,74;1,71;-1,72%;1,72;1,87;3;960207;1638158,13;
2008-07-30;1,73;1,71;1,73;1,71;1,71;1,72;0,58%;1,72;1,77;15;12050;20793,00;
2008-07-31;1,83;1,77;1,95;1,77;1,72;1,94;12,79%;1,84;1,94;8;4493;8225,90;
2008-08-01;1,95;1,89;2,05;1,89;1,94;2,00;3,09%;1,88;2,00;12;30476;59459,00;
2008-08-04;1,79;1,79;1,79;1,79;2,00;1,79;-10,50%;1,85;2,05;1;40;71,60;
2008-08-05;1,85;1,85;1,85;1,85;1,79;1,85;3,35%;1,85;2,00;1;170;314,50;
2008-08-06;2,02;2,05;2,05;2,00;1,85;2,00;8,11%;1,89;2,05;5;1170;2361,00;
