SECURITY DETAIL VIEW (EQUITY)
Starman (SMN1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: SMN1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;4,60;4,60;4,60;4,45;4,60;4,45;-3,26%;4,45;5,00;2;537;2468,10;
2008-05-20;0,00;4,45;0,00;0,00;4,45;4,45;0,00%;4,45;5,11;0;0;0,00;
2008-05-21;0,00;4,45;0,00;0,00;4,45;4,45;0,00%;4,45;5,11;0;0;0,00;
2008-05-22;0,00;4,45;0,00;0,00;4,45;4,45;0,00%;4,45;5,00;0;0;0,00;
2008-05-23;0,00;4,45;0,00;0,00;4,45;4,45;0,00%;4,45;5,10;0;0;0,00;
2008-05-26;4,44;4,44;4,44;4,44;4,45;4,44;-0,22%;4,44;5,10;1;39;173,16;
2008-05-27;0,00;4,44;0,00;0,00;4,44;4,44;0,00%;4,44;5,10;0;0;0,00;
2008-05-28;0,00;4,44;0,00;0,00;4,44;4,44;0,00%;4,44;5,10;0;0;0,00;
2008-05-29;0,00;4,44;0,00;0,00;4,44;4,44;0,00%;4,44;5,10;0;0;0,00;
2008-05-30;0,00;4,44;0,00;0,00;4,44;4,44;0,00%;4,45;5,10;0;0;0,00;
2008-06-02;0,00;4,44;0,00;0,00;4,44;4,44;0,00%;4,25;5,10;0;0;0,00;
2008-06-03;0,00;4,44;0,00;0,00;4,44;4,44;0,00%;4,25;5,10;0;0;0,00;
2008-06-04;0,00;4,44;0,00;0,00;4,44;4,44;0,00%;4,30;5,10;0;0;0,00;
2008-06-05;5,01;4,75;5,11;4,75;4,44;4,96;11,71%;4,50;0,00;4;5471;27406,06;
2008-06-06;0,00;4,96;0,00;0,00;4,96;4,96;0,00%;4,50;5,50;0;0;0,00;
2008-06-09;0,00;4,96;0,00;0,00;4,96;4,96;0,00%;4,50;5,50;0;0;0,00;
2008-06-10;0,00;4,96;0,00;0,00;4,96;4,96;0,00%;4,50;5,50;0;0;0,00;
2008-06-11;4,51;4,51;4,51;4,51;4,96;4,51;-9,07%;4,51;5,50;1;21;94,71;
2008-06-12;0,00;4,51;0,00;0,00;4,51;4,51;0,00%;4,51;0,00;0;0;0,00;
2008-06-13;0,00;4,51;0,00;0,00;4,51;4,51;0,00%;4,51;0,00;0;0;0,00;
2008-06-16;0,00;4,51;0,00;0,00;4,51;4,51;0,00%;4,51;5,10;0;0;0,00;
2008-06-17;5,18;5,18;5,18;5,18;4,51;5,18;14,86%;4,51;5,18;1;440;2279,20;
2008-06-18;0,00;5,18;0,00;0,00;5,18;5,18;0,00%;4,51;5,18;0;0;0,00;
2008-06-19;0,00;5,18;0,00;0,00;5,18;5,18;0,00%;4,51;5,18;0;0;0,00;
2008-06-20;0,00;5,18;0,00;0,00;5,18;5,18;0,00%;4,51;5,18;0;0;0,00;
2008-06-25;0,00;5,18;0,00;0,00;5,18;5,18;0,00%;4,51;5,20;0;0;0,00;
2008-06-26;0,00;5,18;0,00;0,00;5,18;5,18;0,00%;4,51;5,35;0;0;0,00;
