SECURITY DETAIL VIEW (EQUITY)
Tallink Grupp (TAL1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: TAL1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,74;0,74;0,76;0,74;0,73;0,74;1,37%;0,74;0,75;25;78501;58253,24;
2008-05-20;0,76;0,76;0,77;0,75;0,74;0,76;2,70%;0,75;0,76;61;490040;372126,18;
2008-05-21;0,74;0,76;0,76;0,74;0,76;0,74;-2,63%;0,74;0,75;26;67310;49819,50;
2008-05-22;0,74;0,74;0,75;0,74;0,74;0,74;0,00%;0,74;0,75;18;71652;53269,68;
2008-05-23;0,75;0,75;0,75;0,74;0,74;0,74;0,00%;0,74;0,75;21;130600;97750,00;
2008-05-26;0,73;0,74;0,75;0,73;0,74;0,73;-1,35%;0,73;0,75;22;41045;30049,93;
2008-05-27;0,73;0,73;0,73;0,72;0,73;0,73;0,00%;0,72;0,73;28;60642;44219,94;
2008-05-28;0,73;0,72;0,74;0,72;0,73;0,74;1,37%;0,73;0,74;8;105250;75814,98;
2008-05-29;0,74;0,74;0,74;0,73;0,74;0,74;0,00%;0,73;0,74;18;77674;57473,81;
2008-05-30;0,75;0,75;0,76;0,73;0,74;0,76;2,70%;0,73;0,76;32;113161;85233,16;
2008-06-02;0,76;0,74;0,77;0,74;0,76;0,77;1,32%;0,76;0,77;32;137723;104765,06;
2008-06-03;0,77;0,76;0,77;0,76;0,77;0,77;0,00%;0,76;0,77;9;32250;24767,00;
2008-06-04;0,76;0,77;0,77;0,76;0,77;0,77;0,00%;0,76;0,77;21;117652;89494,54;
2008-06-05;0,76;0,76;0,77;0,75;0,77;0,77;0,00%;0,76;0,77;20;94908;72278,68;
2008-06-06;0,78;0,76;0,79;0,76;0,77;0,77;0,00%;0,77;0,78;27;78159;60876,09;
2008-06-09;0,77;0,77;0,78;0,76;0,77;0,76;-1,30%;0,76;0,77;29;300391;231189,97;
2008-06-10;0,77;0,75;0,77;0,75;0,76;0,77;1,32%;0,76;0,77;18;76804;58803,04;
