SECURITY DETAIL VIEW (EQUITY)
Tallinna Kaubamaja (TKM1T)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: TKM1T
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;6,33;6,26;6,35;6,25;6,35;6,35;0,00%;6,35;6,39;5;1009;6391,90;
2008-05-20;6,27;6,25;6,34;6,25;6,35;6,25;-1,57%;6,21;6,25;17;2755;17265,04;
2008-05-21;6,21;6,25;6,25;6,20;6,25;6,20;-0,80%;6,21;6,25;12;3926;24370,35;
2008-05-22;6,28;6,25;6,30;6,25;6,20;6,30;1,61%;6,21;6,30;6;2500;15710,00;
2008-05-23;6,20;6,20;6,30;6,15;6,30;6,30;0,00%;6,25;6,30;13;2714070;16962670,00;
2008-05-26;6,16;6,20;6,20;6,10;6,30;6,13;-2,70%;6,13;6,20;23;5897;36322,48;
2008-05-27;6,14;6,13;6,25;6,09;6,13;6,09;-0,65%;6,15;6,25;15;2721;16714,23;
2008-05-28;6,10;6,10;6,15;6,09;6,09;6,15;0,99%;6,15;6,26;6;1154;7039,10;
2008-05-29;6,21;6,15;6,30;6,15;6,15;6,20;0,81%;6,19;6,29;5;822;5105,90;
2008-05-30;6,19;6,29;6,29;6,15;6,20;6,29;1,45%;6,20;6,29;15;2716299;16624641,21;
2008-06-02;6,10;6,30;6,30;6,05;6,29;6,05;-3,82%;6,05;6,30;22;9985;60944,50;
2008-06-03;6,21;6,10;6,30;6,10;6,05;6,30;4,13%;6,20;6,30;10;3250;20185,00;
2008-06-04;6,30;6,30;6,30;6,30;6,30;6,30;0,00%;6,30;6,40;3;1400;8820,00;
2008-06-05;6,46;6,31;6,50;6,31;6,30;6,50;3,17%;6,37;6,50;18;7202;46506,72;
2008-06-06;6,38;6,55;6,55;6,32;6,50;6,32;-2,77%;6,32;6,49;10;4160;26527,00;
2008-06-09;6,32;6,32;6,44;6,32;6,32;6,32;0,00%;6,35;6,39;7;2370;14982,00;
2008-06-10;6,32;6,32;6,40;6,32;6,32;6,32;0,00%;6,32;6,35;16;14189;89695,08;
2008-06-11;6,32;6,35;6,35;6,32;6,32;6,32;0,00%;6,33;6,35;20;43200;273040,50;
2008-06-12;6,32;6,32;6,34;6,32;6,32;6,32;0,00%;6,32;6,33;12;12930;81723,60;
2008-06-13;6,32;6,32;6,32;6,32;6,32;6,32;0,00%;6,32;6,35;9;11750;74260,00;
2008-06-16;6,40;6,40;6,40;6,40;6,32;6,40;1,27%;6,29;6,39;2;21720;137927,00;
2008-06-17;6,39;6,40;6,40;6,36;6,40;6,36;-0,63%;6,36;6,44;2;408;2605,08;
2008-06-18;6,39;6,27;6,50;6,27;6,36;6,50;2,20%;6,45;6,50;27;7280;46530,12;
2008-06-19;6,58;6,50;6,64;6,50;6,50;6,64;2,15%;6,50;6,64;9;1970;12968,24;
2008-06-20;6,45;6,60;6,60;6,41;6,64;6,45;-2,86%;6,45;6,50;9;13680;88265,50;
2008-06-25;6,40;6,36;6,40;6,36;6,45;6,40;-0,78%;6,36;6,40;4;650;4158,00;
2008-06-26;6,37;6,40;6,40;6,36;6,40;6,40;0,00%;6,37;6,44;7;2720;17330,50;
2008-06-27;6,31;6,45;6,45;6,25;6,40;6,31;-1,41%;6,31;6,44;13;2213;13967,05;
2008-06-30;6,29;6,25;6,31;6,25;6,31;6,31;0,00%;6,31;6,45;10;7123;44887,29;
2008-07-01;6,22;6,30;6,30;6,20;6,31;6,20;-1,74%;6,20;6,25;9;4682;29106,90;
2008-07-02;0,00;6,20;0,00;0,00;6,20;6,20;0,00%;6,23;6,28;0;0;0,00;
2008-07-03;6,26;6,26;6,30;6,20;6,20;6,24;0,65%;6,24;6,44;13;26105;162204,81;
2008-07-04;6,20;6,20;6,30;6,16;6,24;6,30;0,96%;6,30;6,40;5;424;2627,54;
2008-07-07;6,23;6,22;6,31;6,20;6,30;6,31;0,16%;6,30;6,49;5;1200;7471,25;
2008-07-08;6,25;6,29;6,29;6,20;6,31;6,25;-0,95%;6,25;6,29;6;15690;98006,54;
2008-07-09;6,20;6,20;6,25;6,16;6,25;6,16;-1,44%;6,25;6,28;8;1281;7943,03;
2008-07-10;6,19;6,19;6,19;6,19;6,16;6,19;0,49%;6,22;6,28;2;16372;100855,66;
2008-07-11;6,18;6,17;6,30;6,15;6,19;6,30;1,78%;6,25;6,30;5;1125;6946,90;
2008-07-14;6,11;6,10;6,13;6,01;6,30;6,11;-3,02%;6,15;6,17;13;3000;18325,04;
2008-07-15;6,11;6,10;6,18;6,06;6,11;6,18;1,15%;6,10;6,18;16;3869;23628,24;
2008-07-16;6,18;6,18;6,18;6,18;6,18;6,18;0,00%;6,05;6,15;1;16500;101970,00;
2008-07-17;6,12;6,10;6,20;6,09;6,18;6,15;-0,49%;6,15;6,18;14;3739;22882,45;
2008-07-18;6,04;6,07;6,07;5,82;6,15;5,97;-2,93%;5,97;5,98;19;28795;173839,28;
2008-07-21;5,88;5,89;5,90;5,85;5,97;5,85;-2,01%;5,85;5,90;5;1822;10717,80;
2008-07-22;5,62;5,75;5,75;5,46;5,85;5,46;-6,67%;5,46;5,64;22;3743;21027,10;
2008-07-23;5,60;5,85;5,85;5,50;5,46;5,60;2,56%;5,55;5,60;28;46179;258441,40;
2008-07-24;5,60;5,61;5,64;5,59;5,60;5,60;0,00%;5,60;5,64;12;39231;219708,60;
2008-07-25;5,45;5,55;5,55;5,40;5,60;5,45;-2,68%;5,55;5,65;18;5050;27502,65;
2008-07-28;5,50;5,50;5,64;5,40;5,45;5,50;0,92%;5,60;5,64;7;1061;5840,30;
2008-07-29;5,52;5,50;5,64;5,50;5,50;5,64;2,55%;5,64;5,75;6;3648;20129,10;
2008-07-30;5,70;5,65;5,85;5,65;5,64;5,85;3,72%;5,85;5,95;47;128470;732663,30;
2008-07-31;5,94;5,93;6,00;5,85;5,85;6,00;2,56%;5,85;6,00;14;27689;164483,05;
2008-08-01;6,00;6,00;6,00;5,99;6,00;5,99;-0,17%;5,90;5,98;3;10216;60695,94;
2008-08-04;5,96;5,98;5,98;5,95;5,99;5,95;-0,67%;5,95;6,05;3;144;857,82;
2008-08-05;5,92;5,90;6,00;5,90;5,95;6,00;0,84%;5,91;6,00;7;1879;11116,10;
2008-08-06;5,98;6,04;6,04;5,95;6,00;6,00;0,00%;5,95;6,00;5;838;5008,00;
2008-08-07;5,99;6,04;6,04;5,95;6,00;5,95;-0,83%;5,93;5,95;6;11112;66134,20;
2008-08-08;5,97;5,99;5,99;5,90;5,95;5,90;-0,84%;5,85;5,90;15;22551;133980,55;
2008-08-11;5,97;6,00;6,00;5,90;5,90;6,00;1,69%;5,90;5,99;5;18236;108916,00;
2008-08-12;5,83;5,80;5,95;5,76;6,00;5,95;-0,83%;5,85;5,95;11;11447;67674,35;
2008-08-13;5,85;5,95;5,95;5,81;5,95;5,81;-2,35%;5,75;5,82;4;30400;179438,00;
2008-08-14;5,68;5,82;5,82;5,55;5,81;5,75;-1,03%;5,58;5,80;14;5450;30947,86;
2008-08-15;5,78;5,75;5,84;5,56;5,75;5,84;1,57%;5,57;5,84;12;4608;26634,40;
2008-08-18;5,71;5,70;5,75;5,70;5,84;5,75;-1,54%;5,58;5,75;7;3758;21473,10;
2008-08-19;5,53;5,56;5,69;5,43;5,75;5,56;-3,30%;5,46;5,56;50;24063;132989,43;
2008-08-20;0,00;5,56;0,00;0,00;5,56;5,56;0,00%;0,00;0,00;0;0;0,00;
2008-08-21;5,39;5,40;5,49;5,26;5,56;5,49;-1,26%;5,45;5,49;29;12528;67492,05;
2008-08-22;5,39;5,35;5,49;5,30;5,49;5,46;-0,55%;5,45;5,46;33;34301;184799,39;
2008-08-25;5,60;5,56;5,66;5,40;5,46;5,65;3,48%;5,57;5,65;17;5048;28286,66;
2008-08-26;5,75;5,58;5,85;5,58;5,65;5,74;1,59%;5,65;5,74;15;7120;40925,56;
2008-08-27;5,79;5,66;5,94;5,65;5,74;5,94;3,48%;5,81;5,98;15;21930;126943,82;
2008-08-28;6,02;5,85;6,10;5,85;5,94;6,10;2,69%;6,00;6,10;18;5107;30760,95;
2008-08-29;6,11;6,05;6,18;6,05;6,10;6,13;0,49%;6,13;6,15;15;15685;96051,25;
2008-09-01;6,18;6,18;6,19;6,17;6,13;6,19;0,98%;6,15;6,19;17;8352;51621,49;
2008-09-02;6,15;6,10;6,15;6,10;6,19;6,10;-1,45%;6,01;6,10;10;27130;166760,44;
2008-09-03;6,10;6,01;6,10;6,01;6,10;6,10;0,00%;6,02;6,14;4;112760;682430,60;
2008-09-04;6,05;6,05;6,05;6,05;6,10;6,05;-0,82%;5,92;6,05;5;12267;74159,25;
2008-09-05;5,95;6,00;6,02;5,95;6,05;5,95;-1,65%;5,93;6,03;6;590;3512,90;
2008-09-08;5,93;6,05;6,05;5,92;5,95;5,93;-0,34%;5,93;6,00;4;1080;6405,00;
2008-09-09;6,00;5,91;6,00;5,91;5,93;5,99;1,01%;5,95;5,99;17;43575;261282,05;
2008-09-10;5,90;5,91;5,91;5,90;5,99;5,90;-1,50%;5,62;5,89;3;2185;12893,35;
2008-09-11;5,62;5,65;5,69;5,53;5,90;5,60;-5,08%;5,55;5,75;14;5876;33006,23;
2008-09-12;5,78;5,80;5,80;5,78;5,60;5,78;3,21%;5,75;5,77;2;260;1503,00;
2008-09-15;5,52;5,60;5,60;5,45;5,78;5,45;-5,71%;5,45;5,55;22;27535;151579,75;
2008-09-16;5,33;5,43;5,43;5,10;5,45;5,38;-1,28%;5,35;5,38;35;71225;379585,24;
2008-09-17;5,36;5,25;5,39;5,20;5,38;5,35;-0,56%;5,35;5,40;36;82148;440224,05;
2008-09-18;5,27;5,20;5,36;4,80;5,35;4,80;-10,28%;4,80;5,35;32;54777;288672,20;
2008-09-19;5,27;5,01;5,44;5,01;4,80;5,30;10,42%;5,25;5,30;25;218213;1159187,93;
2008-09-22;5,42;5,40;5,75;5,35;5,30;5,35;0,94%;5,34;5,43;19;5601;30371,96;
