SECURITY DETAIL VIEW (EQUITY)
Tallinna Vesi (TVEAT)
Period: 2008-05-18 - 2008-11-18
Currency: EUR
Marketplace: TSE
Name: TVEAT
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;12,44;12,66;12,66;12,25;12,75;12,25;-3,92%;12,51;12,80;5;400;4976,90;
2008-05-20;12,77;12,80;12,80;12,76;12,25;12,76;4,16%;12,76;12,80;2;275;3513,00;
2008-05-21;12,80;12,80;12,80;12,80;12,76;12,80;0,31%;12,51;12,85;4;265;3392,00;
2008-05-22;12,61;12,61;12,61;12,61;12,80;12,61;-1,48%;12,60;12,61;3;110;1387,10;
2008-05-23;12,85;12,85;12,85;12,85;12,61;12,85;1,90%;12,66;12,85;1;10;128,50;
2008-05-26;12,67;12,67;12,67;12,67;12,85;12,67;-1,40%;12,67;12,89;1;31;392,77;
2008-05-27;12,80;12,80;12,80;12,78;12,67;12,80;1,03%;12,70;12,80;7;2410;30840,00;
2008-05-28;12,05;12,10;12,10;12,00;12,80;12,10;-5,47%;12,00;12,10;9;2218761;28397091,80;
2008-05-29;12,03;12,10;12,10;11,97;12,10;12,00;-0,83%;11,98;12,00;19;4651;55943,11;
2008-05-30;11,97;12,00;12,00;11,90;12,00;12,00;0,00%;11,97;12,00;7;3566;42739,50;
2008-06-02;11,81;11,80;12,15;11,80;12,00;11,80;-1,67%;11,80;12,10;7;2215735;26610770,01;
2008-06-03;12,00;11,80;12,00;11,80;11,80;12,00;1,69%;11,80;12,00;6;8068;96800,00;
2008-06-04;12,00;12,00;12,00;11,99;12,00;12,00;0,00%;12,00;12,15;7;17667;212001,50;
2008-06-05;12,15;12,15;12,15;12,15;12,00;12,15;1,25%;12,02;12,12;1;55;668,25;
2008-06-06;11,95;11,95;11,95;11,95;12,15;11,95;-1,65%;12,00;12,19;1;73;872,35;
2008-06-09;12,00;12,00;12,00;12,00;11,95;12,00;0,42%;12,00;12,20;1;10;120,00;
2008-06-10;12,05;12,20;12,20;12,01;12,00;12,01;0,08%;12,01;12,15;2;25;301,20;
2008-06-11;11,89;12,01;12,01;11,81;12,01;11,82;-1,58%;11,85;12,00;9;607;7218,97;
2008-06-12;12,15;11,85;12,25;11,85;11,82;12,25;3,64%;11,91;12,25;19;8893;108019,13;
2008-06-13;12,20;12,20;12,20;12,20;12,25;12,20;-0,41%;11,87;12,20;2;140;1708,00;
2008-06-16;12,01;12,10;12,15;12,00;12,20;12,00;-1,64%;12,00;12,25;8;10725;128769,65;
2008-06-17;12,00;12,00;12,10;11,98;12,00;12,10;0,83%;12,00;12,10;5;1497;17965,26;
2008-06-18;11,96;12,20;12,20;11,95;12,10;12,01;-0,74%;12,01;12,10;13;6903;82769,05;
2008-06-19;12,02;12,05;12,05;12,00;12,01;12,00;-0,08%;11,95;12,00;4;665;7990,00;
2008-06-20;11,97;11,95;12,00;11,95;12,00;11,97;-0,25%;11,97;12,00;3;173;2070,85;
2008-06-25;11,98;11,97;12,00;11,90;11,97;12,00;0,25%;11,96;12,00;11;15430;184850,87;
2008-06-26;11,99;11,96;12,00;11,96;12,00;12,00;0,00%;11,96;12,00;7;2836;34006,54;
2008-06-27;11,93;11,95;11,95;11,90;12,00;11,90;-0,83%;11,82;11,95;2;56;668,20;
2008-06-30;11,81;11,81;11,81;11,81;11,90;11,81;-0,76%;11,80;11,90;1;100;1181,00;
2008-07-01;11,81;11,81;11,81;11,81;11,81;11,81;0,00%;11,80;12,00;1;10;118,10;
2008-07-02;12,00;12,00;12,00;12,00;11,81;12,00;1,61%;11,85;12,00;1;25;300,00;
2008-07-03;12,03;11,95;12,10;11,95;12,00;12,00;0,00%;11,85;12,00;10;5960;71721,05;
2008-07-04;11,84;12,00;12,00;11,80;12,00;11,80;-1,67%;11,61;11,80;9;15228;180345,90;
2008-07-07;11,81;11,75;11,85;11,75;11,80;11,80;0,00%;11,80;11,85;10;711498;8402827,50;
2008-07-08;11,72;11,80;11,90;11,70;11,80;11,70;-0,85%;11,70;11,80;6;1228;14390,60;
2008-07-09;11,70;11,70;11,70;11,70;11,70;11,70;0,00%;11,50;11,65;1;799;9348,30;
2008-07-10;11,75;11,75;11,75;11,75;11,70;11,75;0,43%;11,50;11,70;1;40;470,00;
2008-07-11;11,50;11,60;11,60;11,50;11,75;11,50;-2,13%;11,25;11,75;2;2054;23626,40;
2008-07-14;11,16;11,50;11,60;11,11;11,50;11,11;-3,39%;11,10;11,11;14;7583;84633,23;
