BALTIC EQUITY LIST
DATE: 2008-11-21
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
APG1L;EUR;VSE;BALTIC MAIN LIST;0,62;0,61;0,65;0,59;0,62;0,64;3,74%;0,61;0,64;29;22177;13693,59;
ARC1T;EUR;TSE;BALTIC MAIN LIST;0,18;0,20;0,20;0,18;0,20;0,18;-10,00%;0,18;0,19;32;57260;10353,00;
AVG1L;EUR;VSE;BALTIC MAIN LIST;0,71;0,67;0,75;0,65;0,68;0,75;9,79%;0,67;0,75;17;12480;8841,27;
BLT1T;EUR;TSE;BALTIC MAIN LIST;0,98;0,95;1,00;0,95;1,00;0,97;-3,00%;0,97;1,00;39;26563;26081,30;
CTS1L;EUR;VSE;BALTIC MAIN LIST;0,86;0,84;0,91;0,84;0,91;0,87;-3,83%;0,87;0,91;6;9196;7917,83;
EEG1T;EUR;TSE;BALTIC MAIN LIST;0,88;0,88;0,90;0,84;0,85;0,88;3,53%;0,85;0,88;9;5416;4766,10;
EEH1T;EUR;TSE;BALTIC MAIN LIST;1,07;1,10;1,10;1,00;1,10;1,06;-3,64%;1,01;1,06;30;22655;24209,60;
ETLAT;EUR;TSE;BALTIC MAIN LIST;4,11;4,15;4,16;4,01;4,17;4,06;-2,64%;4,04;4,06;86;127192;522574,12;
GRD1R;EUR;RSE;BALTIC MAIN LIST;4,44;4,84;4,84;4,41;4,67;4,45;-4,57%;4,41;4,51;15;816;3621,54;
HAE1T;EUR;TSE;BALTIC MAIN LIST;0,00;1,58;0,00;0,00;1,58;1,58;-%;1,56;1,69;0;0;0,00;
IVL1L;EUR;VSE;BALTIC MAIN LIST;0,50;0,51;0,51;0,49;0,52;0,49;-5,03%;0,48;0,49;29;15392;7684,73;
JRV1T;EUR;TSE;BALTIC MAIN LIST;0,18;0,19;0,19;0,17;0,17;0,18;5,88%;0,17;0,19;6;11600;2122,00;
KLV1T;EUR;TSE;BALTIC MAIN LIST;0,00;0,95;0,00;0,00;0,95;0,95;-%;0,95;1,09;0;0;0,00;
LDJ1L;EUR;VSE;BALTIC MAIN LIST;0,32;0,32;0,32;0,32;0,32;0,32;-0,90%;0,32;0,32;26;53215;16968,75;
LSC1R;EUR;RSE;BALTIC MAIN LIST;1,12;1,12;1,15;1,11;1,12;1,15;2,53%;1,11;1,15;11;11405;12768,92;
MRK1T;EUR;TSE;BALTIC MAIN LIST;2,86;2,80;2,99;2,75;2,90;2,99;3,10%;2,83;2,99;31;23580;67530,40;
NRM1T;EUR;TSE;BALTIC MAIN LIST;3,18;3,15;3,29;3,10;3,35;3,29;-1,79%;3,15;3,30;4;1415;4499,51;
OEG1T;EUR;TSE;BALTIC MAIN LIST;0,53;0,55;0,55;0,52;0,55;0,52;-5,45%;0,52;0,54;64;76141;40363,16;
OLF1R;EUR;RSE;BALTIC MAIN LIST;0,81;0,71;0,83;0,71;0,75;0,83;9,43%;0,81;0,83;11;7085;5724,92;
PTR1L;EUR;VSE;BALTIC MAIN LIST;0,35;0,35;0,37;0,33;0,35;0,33;-4,17%;0,34;0,36;18;11821;4162,31;
PZV1L;EUR;VSE;BALTIC MAIN LIST;0,00;1,08;0,00;0,00;1,08;1,08;-%;0,98;0,98;0;0;0,00;
RST1L;EUR;VSE;BALTIC MAIN LIST;0,67;0,59;0,68;0,59;0,59;0,68;14,63%;0,68;0,00;57;69852;46806,50;
RSU1L;EUR;VSE;BALTIC MAIN LIST;0,47;0,48;0,48;0,46;0,52;0,46;-11,11%;0,45;0,46;3;2020;950,53;
SAB1L;EUR;VSE;BALTIC MAIN LIST;0,25;0,26;0,26;0,25;0,26;0,25;-5,56%;0,24;0,25;33;152392;37596,40;
SAF1R;EUR;RSE;BALTIC MAIN LIST;0,53;0,61;0,63;0,51;0,60;0,53;-11,90%;0,51;0,53;32;11050;5851,56;
SAN1L;EUR;VSE;BALTIC MAIN LIST;2,64;2,66;2,66;2,64;2,66;2,65;-0,54%;2,64;2,68;5;395;1043,27;
SFGAT;EUR;TSE;BALTIC MAIN LIST;0,45;0,44;0,46;0,43;0,47;0,46;-2,13%;0,46;0,49;4;958;429,18;
SMN1T;EUR;TSE;BALTIC MAIN LIST;0,00;3,11;0,00;0,00;3,11;3,11;-%;3,10;0,00;0;0;0,00;
SNG1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,38;0,00;0,00;0,38;0,38;-%;0,00;0,36;0;0;0,00;
TAL1T;EUR;TSE;BALTIC MAIN LIST;0,34;0,34;0,35;0,32;0,35;0,33;-5,71%;0,32;0,33;85;657786;222067,62;
TEO1L;EUR;VSE;BALTIC MAIN LIST;0,34;0,35;0,35;0,33;0,35;0,33;-5,79%;0,33;0,33;277;1065124;359516,08;
TKM1T;EUR;TSE;BALTIC MAIN LIST;1,62;1,77;1,77;1,58;1,65;1,59;-3,64%;1,58;1,59;28;9280;15031,30;
TPD1T;EUR;TSE;BALTIC MAIN LIST;0,00;0,32;0,00;0,00;0,32;0,32;-%;0,00;0,36;0;0;0,00;
TVEAT;EUR;TSE;BALTIC MAIN LIST;9,00;9,00;9,00;9,00;8,60;9,00;4,65%;8,63;9,00;1;70;630,00;
UKB1L;EUR;VSE;BALTIC MAIN LIST;0,18;0,18;0,19;0,17;0,19;0,18;-3,13%;0,18;0,18;285;1011445;184782,23;
UTR1L;EUR;VSE;BALTIC MAIN LIST;0,00;0,41;0,00;0,00;0,41;0,41;-%;0,00;0,41;0;0;0,00;
VBL1L;EUR;VSE;BALTIC MAIN LIST;0,00;3,72;0,00;0,00;3,72;3,72;-%;0,00;3,48;0;0;0,00;
VLP1L;EUR;VSE;BALTIC MAIN LIST;0,21;0,23;0,23;0,20;0,23;0,23;1,27%;0,21;0,23;4;2270;467,50;
VNF1R;EUR;RSE;BALTIC MAIN LIST;1,48;1,45;1,51;1,45;1,44;1,47;1,98%;1,45;1,47;18;7230;10700,35;
VSN1T;EUR;TSE;BALTIC MAIN LIST;0,00;0,99;0,00;0,00;0,99;0,99;-%;0,00;1,00;0;0;0,00;
ALT1L;EUR;VSE;BALTIC SECONDARY LIST;0,26;0,26;0,26;0,26;0,30;0,26;-14,29%;0,26;0,29;3;1050;273,69;
ANK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,14;0,00;0,00;0,14;0,14;-%;0,00;0,13;0;0;0,00;
BAL1R;EUR;RSE;BALTIC SECONDARY LIST;1,44;1,45;1,45;1,44;1,47;1,44;-1,94%;1,44;1,48;3;224;322,20;
BLZ1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,20;0,00;0,00;1,20;1,20;-%;1,15;0,00;0;0;0,00;
BRV1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,85;0,00;0,00;1,85;1,85;-%;0,00;0,00;0;0;0,00;
DKR1L;EUR;VSE;BALTIC SECONDARY LIST;1,04;1,04;1,04;1,04;1,05;1,04;-0,55%;0,98;1,04;2;500;521,32;
DPK1R;EUR;RSE;BALTIC SECONDARY LIST;0,27;0,27;0,27;0,27;0,26;0,27;5,56%;0,27;0,28;2;284;76,78;
