SECURITY DETAIL VIEW (EQUITY)
Latvijas balzams (BAL1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: BAL1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,99;2,99;2,99;2,99;3,26;2,99;-8,30%;3,00;3,10;1;18;53,78;
2008-05-20;2,99;3,02;3,02;2,99;2,99;2,99;0,00%;3,00;3,20;3;250;748,29;
2008-05-21;3,01;3,02;3,02;3,00;2,99;3,00;0,48%;3,02;3,24;2;51;153,40;
2008-05-22;3,02;3,02;3,02;3,02;3,00;3,02;0,47%;3,02;3,17;1;18;54,30;
2008-05-23;0,00;3,02;0,00;0,00;3,02;3,02;0,00%;3,03;3,20;0;0;0,00;
2008-05-26;3,06;3,03;3,10;3,02;3,02;3,10;2,83%;3,10;3,33;9;100;305,78;
2008-05-27;3,07;3,09;3,12;3,03;3,10;3,06;-1,38%;3,06;3,07;13;112;344,01;
2008-05-28;3,03;3,06;3,06;3,00;3,06;3,00;-1,86%;3,00;3,04;4;45;136,27;
2008-05-29;3,00;2,99;3,00;2,97;3,00;3,00;0,00%;2,97;3,00;5;74;221,80;
2008-05-30;2,99;2,99;2,99;2,99;3,00;2,99;-0,47%;2,97;3,00;3;231;690,24;
2008-06-02;2,61;2,92;2,92;2,55;2,99;2,59;-13,33%;0,00;2,59;16;550;1433,97;
2008-06-03;0,00;2,59;0,00;0,00;2,59;2,59;0,00%;0,00;2,56;0;0;0,00;
2008-06-04;2,42;2,43;2,43;2,42;2,59;2,42;-6,59%;2,42;2,45;7;103;249,29;
2008-06-05;2,55;2,42;2,56;2,42;2,42;2,56;5,88%;2,49;2,62;15;1135;2889,17;
2008-06-06;2,81;2,56;2,92;2,56;2,56;2,90;13,33%;2,80;2,90;19;647;1817,82;
2008-06-09;2,86;2,86;2,86;2,86;2,90;2,86;-1,47%;2,66;2,90;2;40;114,40;
2008-06-10;2,84;2,77;2,85;2,77;2,86;2,85;-0,50%;2,65;2,85;4;372;1057,05;
2008-06-11;2,66;2,66;2,66;2,66;2,85;2,66;-6,50%;2,66;2,83;3;46;122,40;
2008-06-12;2,73;2,70;2,82;2,66;2,66;2,82;5,88%;2,69;2,83;3;84;229,05;
2008-06-13;2,69;2,69;2,69;2,69;2,82;2,69;-4,55%;2,59;2,75;2;50;134,46;
2008-06-16;0,00;2,69;0,00;0,00;2,69;2,69;0,00%;2,66;2,77;0;0;0,00;
2008-06-17;2,67;2,67;2,67;2,67;2,69;2,67;-0,53%;2,63;2,69;1;50;133,75;
2008-06-18;2,63;2,58;2,67;2,58;2,67;2,67;0,00%;2,59;2,67;7;117;307,99;
2008-06-19;0,00;2,67;0,00;0,00;2,67;2,67;0,00%;2,60;2,63;0;0;0,00;
2008-06-20;2,59;2,63;2,63;2,49;2,67;2,49;-6,91%;2,50;2,56;9;1357;3515,11;
2008-06-25;2,58;2,55;2,59;2,55;2,49;2,59;4,00%;2,49;2,59;5;109;281,15;
2008-06-26;2,56;2,55;2,59;2,55;2,59;2,59;0,00%;2,50;2,59;3;100;256,02;
2008-06-27;2,50;2,50;2,50;2,50;2,59;2,50;-3,30%;2,45;2,62;3;32;80,14;
2008-06-30;2,48;2,45;2,49;2,45;2,50;2,49;-0,57%;2,49;2,55;6;131;324,40;
2008-07-01;2,47;2,49;2,49;2,46;2,49;2,46;-1,14%;2,45;2,49;2;55;135,81;
2008-07-02;2,43;2,43;2,43;2,43;2,46;2,43;-1,16%;2,43;2,46;3;36;87,59;
2008-07-03;2,24;2,21;2,35;2,13;2,43;2,35;-3,51%;2,35;2,36;40;1323;2965,32;
2008-07-04;2,36;2,36;2,36;2,36;2,35;2,36;0,61%;2,33;2,38;5;160;377,91;
2008-07-07;2,36;2,36;2,36;2,36;2,36;2,36;0,00%;2,29;2,36;1;50;118,10;
2008-07-08;0,00;2,36;0,00;0,00;2,36;2,36;0,00%;2,29;2,36;0;0;0,00;
2008-07-09;2,28;2,29;2,32;2,22;2,36;2,29;-3,01%;2,19;2,29;15;239;545,87;
2008-07-10;2,36;2,31;2,38;2,31;2,29;2,38;3,73%;2,29;2,38;5;200;472,11;
2008-07-11;2,20;2,32;2,38;2,03;2,38;2,13;-10,18%;2,13;2,23;18;450;991,14;
2008-07-14;0,00;2,13;0,00;0,00;2,13;2,13;0,00%;1,99;2,23;0;0;0,00;
2008-07-15;0,00;2,13;0,00;0,00;2,13;2,13;0,00%;1,99;2,25;0;0;0,00;
2008-07-16;0,00;2,13;0,00;0,00;2,13;2,13;0,00%;1,99;2,23;0;0;0,00;
2008-07-17;0,00;2,13;0,00;0,00;2,13;2,13;0,00%;1,99;2,25;0;0;0,00;
2008-07-18;1,99;1,99;2,02;1,95;2,13;2,02;-5,33%;2,02;2,23;5;104;207,43;
2008-07-21;1,78;1,76;1,82;1,75;2,02;1,81;-10,56%;1,75;1,81;15;139;248,08;
2008-07-22;1,72;1,81;1,86;1,58;1,81;1,84;1,57%;1,81;1,92;20;824;1413,74;
2008-07-23;2,04;2,05;2,05;1,98;1,84;1,98;7,75%;1,85;1,99;5;120;244,59;
2008-07-24;1,95;1,94;1,98;1,91;1,98;1,98;0,00%;1,94;1,98;9;85;166,12;
2008-07-25;1,96;1,96;1,96;1,96;1,98;1,96;-0,72%;1,96;2,01;1;29;56,94;
2008-07-28;1,85;1,88;1,88;1,79;1,96;1,79;-8,70%;1,79;1,84;5;150;277,74;
2008-07-29;0,00;1,79;0,00;0,00;1,79;1,79;0,00%;1,79;1,86;0;0;0,00;
2008-07-30;1,85;1,84;1,85;1,84;1,79;1,85;3,17%;1,85;1,88;3;448;827,64;
2008-07-31;1,89;1,88;1,89;1,88;1,85;1,89;2,31%;1,88;1,89;3;769;1455,14;
2008-08-01;1,96;1,95;1,96;1,92;1,89;1,94;2,26%;1,94;2,01;7;790;1550,15;
2008-08-04;1,98;1,99;1,99;1,95;1,94;1,95;0,74%;1,95;1,96;9;180;357,08;
2008-08-05;1,90;1,96;1,98;1,85;1,95;1,85;-5,11%;1,82;1,88;22;2142;4059,47;
2008-08-06;1,81;1,84;1,84;1,76;1,85;1,76;-4,62%;1,76;1,78;6;191;345,87;
2008-08-07;1,58;1,74;1,74;1,52;1,76;1,61;-8,87%;1,58;1,62;41;1502;2377,82;
2008-08-08;1,57;1,57;1,59;1,57;1,61;1,59;-0,88%;1,57;1,61;9;230;361,20;
2008-08-11;0,00;1,59;0,00;0,00;1,59;1,59;0,00%;1,57;1,62;0;0;0,00;
2008-08-12;1,57;1,57;1,58;1,57;1,59;1,58;-0,89%;1,58;1,62;2;22;34,50;
2008-08-13;1,63;1,58;1,66;1,58;1,58;1,66;5,41%;1,59;1,66;4;126;204,82;
2008-08-14;1,59;1,66;1,66;1,58;1,66;1,58;-5,13%;1,58;1,65;4;97;154,34;
2008-08-15;1,59;1,59;1,59;1,58;1,58;1,59;0,90%;1,59;1,61;7;111;176,36;
2008-08-18;1,58;1,58;1,58;1,58;1,59;1,58;-0,89%;1,58;1,59;1;20;31,59;
2008-08-19;1,59;1,59;1,59;1,59;1,58;1,59;0,90%;1,59;1,61;2;100;159,36;
2008-08-20;1,59;1,59;1,59;1,59;1,59;1,59;0,00%;1,59;1,61;1;26;41,43;
2008-08-21;1,59;1,59;1,59;1,59;1,59;1,59;0,00%;1,59;1,61;1;40;63,74;
2008-08-22;1,61;1,59;1,61;1,59;1,59;1,59;0,00%;1,59;1,62;4;1468;2359,66;
2008-08-25;1,62;1,59;1,62;1,59;1,59;1,62;1,79%;1,59;1,62;2;873;1413,99;
2008-08-26;1,60;1,61;1,61;1,59;1,62;1,59;-1,75%;1,59;1,61;3;233;373,46;
2008-08-27;1,79;1,72;1,89;1,72;1,59;1,89;18,75%;1,84;1,89;36;3725;6668,13;
2008-08-28;1,96;1,78;2,06;1,78;1,89;2,03;7,52%;1,98;2,05;45;3182;6226,64;
2008-08-29;2,07;1,99;2,13;1,99;2,03;2,11;3,50%;2,06;2,11;14;2273;4714,53;
2008-09-01;0,00;2,11;0,00;0,00;2,11;2,11;0,00%;1,98;2,06;0;0;0,00;
2008-09-02;1,97;1,99;2,02;1,96;2,11;1,98;-6,08%;1,98;2,05;15;2050;4043,52;
2008-09-03;2,01;1,92;2,08;1,92;1,98;2,08;5,04%;2,02;2,19;12;1047;2106,12;
2008-09-04;1,96;1,99;1,99;1,96;2,08;1,96;-5,48%;1,95;2,02;5;870;1709,30;
2008-09-05;0,00;1,96;0,00;0,00;1,96;1,96;0,00%;1,95;2,02;0;0;0,00;
2008-09-08;1,96;1,96;1,96;1,96;1,96;1,96;0,00%;1,95;1,96;1;37;72,65;
2008-09-09;0,00;1,96;0,00;0,00;1,96;1,96;0,00%;1,89;1,96;0;0;0,00;
2008-09-10;1,96;1,96;1,96;1,96;1,96;1,96;0,00%;1,91;1,96;1;110;215,99;
2008-09-11;1,88;1,89;1,89;1,88;1,96;1,88;-4,35%;1,88;1,96;2;245;460,58;
2008-09-12;1,88;1,88;1,88;1,88;1,88;1,88;0,00%;1,88;1,95;1;47;88,27;
2008-09-15;1,93;1,88;1,96;1,88;1,88;1,96;4,55%;1,89;1,96;6;919;1777,07;
2008-09-16;1,83;1,96;1,96;1,81;1,96;1,85;-5,80%;1,85;1,95;10;2237;4101,94;
2008-09-17;1,88;1,88;1,88;1,88;1,85;1,88;1,54%;1,82;1,89;2;750;1408,64;
2008-09-18;1,81;1,82;1,82;1,81;1,88;1,81;-3,79%;1,74;1,82;5;775;1400,68;
2008-09-19;1,82;1,82;1,95;1,81;1,81;1,81;0,00%;1,81;1,85;8;930;1692,36;
2008-09-22;1,79;1,79;1,79;1,79;1,81;1,79;-0,79%;1,79;1,86;1;17;30,48;
2008-09-23;0,00;1,79;0,00;0,00;1,79;1,79;0,00%;1,79;1,84;0;0;0,00;
2008-09-24;0,00;1,79;0,00;0,00;1,79;1,79;0,00%;1,79;1,86;0;0;0,00;
2008-09-25;1,79;1,79;1,79;1,78;1,79;1,78;-0,79%;1,76;1,81;3;73;130,83;
2008-09-26;1,75;1,76;1,76;1,75;1,78;1,75;-1,60%;1,71;1,78;3;400;701,52;
2008-09-29;1,65;1,74;1,74;1,54;1,75;1,55;-11,38%;1,52;1,57;12;204;336,31;
2008-09-30;1,57;1,57;1,57;1,57;1,55;1,57;0,92%;1,55;1,59;1;41;64,17;
2008-10-01;1,69;1,48;1,71;1,48;1,57;1,71;9,09%;1,64;1,71;8;105;177,69;
2008-10-02;0,00;1,71;0,00;0,00;1,71;1,71;0,00%;1,55;1,71;0;0;0,00;
2008-10-03;1,47;1,54;1,54;1,45;1,71;1,45;-15,00%;1,45;1,48;16;810;1192,22;
2008-10-06;1,44;1,45;1,49;1,37;1,45;1,37;-5,88%;1,37;1,41;27;2819;4057,58;
2008-10-07;1,36;1,42;1,44;1,20;1,37;1,37;0,00%;1,22;1,38;22;2325;3153,23;
2008-10-08;1,35;1,38;1,38;1,32;1,37;1,35;-1,04%;1,35;1,37;9;450;607,00;
2008-10-09;1,42;1,35;1,51;1,35;1,35;1,44;6,32%;1,42;1,47;19;1451;2066,14;
2008-10-10;1,47;1,45;1,48;1,45;1,44;1,48;2,97%;1,42;1,47;5;100;147,27;
2008-10-13;1,54;1,52;1,58;1,52;1,48;1,57;5,77%;1,52;1,58;10;1430;2204,60;
2008-10-14;1,65;1,65;1,68;1,58;1,57;1,64;4,55%;1,64;1,68;16;1609;2659,06;
2008-10-15;1,52;1,68;1,68;1,48;1,64;1,57;-4,35%;1,52;1,57;26;3014;4574,68;
2008-10-16;1,48;1,48;1,48;1,47;1,57;1,47;-6,36%;1,47;1,52;7;430;634,46;
2008-10-17;1,58;1,54;1,68;1,52;1,47;1,64;11,65%;1,58;1,64;24;3590;5689,99;
2008-10-20;1,64;1,64;1,65;1,62;1,64;1,65;0,87%;1,64;1,68;3;860;1407,13;
2008-10-21;1,67;1,65;1,69;1,65;1,65;1,69;2,59%;1,62;1,71;2;1500;2507,81;
2008-10-22;0,00;1,69;0,00;0,00;1,69;1,69;0,00%;1,64;1,68;0;0;0,00;
2008-10-23;1,46;1,62;1,62;1,44;1,69;1,44;-15,13%;0,00;1,44;18;9281;13579,68;
2008-10-24;1,53;1,45;1,57;1,45;1,44;1,57;8,91%;1,49;1,57;29;6777;10358,81;
2008-10-27;1,55;1,49;1,55;1,49;1,57;1,55;-0,91%;1,49;1,69;7;935;1446,14;
2008-10-28;1,48;1,51;1,54;1,44;1,55;1,48;-4,59%;1,47;1,62;27;5311;7853,58;
2008-10-29;1,57;1,57;1,57;1,57;1,48;1,57;5,77%;1,54;1,61;9;1470;2300,78;
2008-10-30;1,61;1,59;1,66;1,59;1,57;1,59;1,82%;1,59;1,65;7;871;1401,56;
2008-10-31;1,62;1,62;1,62;1,62;1,59;1,62;1,79%;1,58;1,64;1;150;243,31;
2008-11-03;1,57;1,58;1,58;1,57;1,62;1,57;-3,51%;1,57;1,61;3;758;1186,53;
2008-11-04;1,59;1,59;1,59;1,59;1,57;1,59;1,82%;1,59;1,71;1;750;1195,21;
2008-11-05;1,60;1,61;1,61;1,59;1,59;1,59;0,00%;1,59;1,64;3;110;176,01;
2008-11-06;1,55;1,58;1,58;1,51;1,59;1,54;-3,57%;1,49;1,57;7;1771;2748,36;
2008-11-07;1,57;1,57;1,57;1,57;1,54;1,57;1,85%;1,54;1,57;1;10;15,65;
2008-11-10;1,53;1,49;1,57;1,49;1,57;1,57;0,00%;1,51;1,58;4;2250;3446,91;
2008-11-11;1,57;1,57;1,58;1,57;1,57;1,58;0,91%;1,52;1,62;4;2000;3140,99;
2008-11-12;1,56;1,54;1,71;1,51;1,58;1,57;-0,90%;1,51;1,57;13;2030;3167,74;
2008-11-13;1,49;1,49;1,49;1,49;1,57;1,49;-4,55%;1,48;1,52;1;750;1120,51;
2008-11-14;1,49;1,47;1,57;1,44;1,49;1,44;-3,81%;1,44;1,47;16;1908;2851,29;
2008-11-17;0,00;1,44;0,00;0,00;1,44;1,44;0,00%;0,00;0,00;0;0;0,00;
2008-11-18;0,00;1,44;0,00;0,00;1,44;1,44;0,00%;0,00;0,00;0;0;0,00;
2008-11-19;1,47;1,42;1,48;1,42;1,44;1,48;2,97%;1,42;1,48;6;1281;1889,29;
