SECURITY DETAIL VIEW (EQUITY)
Ditton pievadķēžu rūpnīca (DPK1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: DPK1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,32;0,33;0,33;0,31;0,33;0,31;-4,35%;0,30;0,31;3;700;221,97;
2008-05-20;0,34;0,34;0,34;0,34;0,31;0,34;9,09%;0,28;0,34;1;240;81,96;
2008-05-21;0,00;0,34;0,00;0,00;0,34;0,34;0,00%;0,30;0,34;0;0;0,00;
2008-05-22;0,30;0,30;0,30;0,30;0,34;0,30;-12,50%;0,30;0,34;1;15;4,48;
2008-05-23;0,28;0,28;0,28;0,28;0,30;0,28;-4,76%;0,28;0,31;1;170;48,38;
2008-05-26;0,31;0,28;0,31;0,28;0,28;0,31;10,00%;0,28;0,31;2;528;164,48;
2008-05-27;0,29;0,30;0,30;0,28;0,31;0,28;-9,09%;0,28;0,30;2;189;55,24;
2008-05-28;0,00;0,28;0,00;0,00;0,28;0,28;0,00%;0,28;0,30;0;0;0,00;
2008-05-29;0,30;0,28;0,30;0,28;0,28;0,30;5,00%;0,30;0,31;6;12990;3879,59;
2008-05-30;0,35;0,34;0,37;0,34;0,30;0,36;19,05%;0,36;0,37;43;42100;14918,10;
2008-06-02;0,36;0,36;0,40;0,36;0,36;0,36;0,00%;0,34;0,37;21;13700;4954,44;
2008-06-03;0,36;0,36;0,36;0,36;0,36;0,36;0,00%;0,36;0,37;1;1325;471,33;
2008-06-04;0,34;0,34;0,34;0,34;0,36;0,34;-4,00%;0,34;0,36;4;8050;2748,99;
2008-06-05;0,35;0,36;0,36;0,34;0,34;0,36;4,17%;0,34;0,36;9;8849;3138,37;
2008-06-06;0,00;0,36;0,00;0,00;0,36;0,36;0,00%;0,34;0,36;0;0;0,00;
2008-06-09;0,34;0,34;0,34;0,33;0,36;0,33;-8,00%;0,33;0,34;12;12300;4193,20;
2008-06-10;0,34;0,33;0,34;0,33;0,33;0,34;4,35%;0,34;0,36;7;6941;2367,53;
2008-06-11;0,34;0,34;0,34;0,34;0,34;0,34;0,00%;0,34;0,36;2;700;239,04;
2008-06-12;0,34;0,34;0,34;0,34;0,34;0,34;0,00%;0,34;0,36;3;802;273,87;
2008-06-13;0,34;0,34;0,34;0,34;0,34;0,34;0,00%;0,33;0,34;5;5193;1773,35;
2008-06-16;0,34;0,34;0,34;0,34;0,34;0,34;0,00%;0,34;0,36;2;7439;2540,34;
2008-06-17;0,33;0,33;0,34;0,33;0,34;0,33;-4,17%;0,33;0,34;8;6900;2263,79;
