SECURITY DETAIL VIEW (EQUITY)
Rīgas farmaceitiskā fabrika (FRM1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: FRM1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;3,23;0,00;0,00;3,23;3,23;0,00%;3,20;3,70;0;0;0,00;
2008-05-20;0,00;3,23;0,00;0,00;3,23;3,23;0,00%;3,20;3,70;0;0;0,00;
2008-05-21;0,00;3,23;0,00;0,00;3,23;3,23;0,00%;3,20;3,70;0;0;0,00;
2008-05-22;0,00;3,23;0,00;0,00;3,23;3,23;0,00%;3,13;3,27;0;0;0,00;
2008-05-23;3,13;3,13;3,13;3,13;3,23;3,13;-3,08%;0,00;3,26;1;11;34,43;
2008-05-26;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,16;3,26;0;0;0,00;
2008-05-27;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,16;3,26;0;0;0,00;
2008-05-28;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,17;3,26;0;0;0,00;
2008-05-29;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,17;3,27;0;0;0,00;
2008-05-30;3,27;3,27;3,27;3,27;3,13;3,27;4,55%;3,27;3,29;1;26;85,09;
2008-06-02;3,29;3,29;3,29;3,29;3,27;3,29;0,43%;3,29;3,56;2;39;128,19;
2008-06-03;0,00;3,29;0,00;0,00;3,29;3,29;0,00%;0,00;0,00;0;0;0,00;
2008-06-04;3,15;3,19;3,19;3,13;3,29;3,13;-4,76%;3,10;3,19;6;130;409,79;
2008-06-05;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,12;3,16;0;0;0,00;
2008-06-06;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,14;3,16;0;0;0,00;
2008-06-09;3,14;3,14;3,14;3,14;3,13;3,14;0,45%;2,99;3,13;1;10;31,45;
2008-06-10;3,11;3,12;3,12;3,10;3,14;3,10;-1,36%;3,06;3,12;3;60;186,68;
2008-06-11;0,00;3,10;0,00;0,00;3,10;3,10;0,00%;3,07;3,12;0;0;0,00;
2008-06-12;0,00;3,10;0,00;0,00;3,10;3,10;0,00%;3,07;3,12;0;0;0,00;
2008-06-13;0,00;3,10;0,00;0,00;3,10;3,10;0,00%;2,90;3,10;0;0;0,00;
2008-06-16;0,00;3,10;0,00;0,00;3,10;3,10;0,00%;3,07;3,10;0;0;0,00;
2008-06-17;0,00;3,10;0,00;0,00;3,10;3,10;0,00%;3,07;3,10;0;0;0,00;
2008-06-18;3,10;3,10;3,10;3,10;3,10;3,10;0,00%;3,09;3,12;1;40;124,07;
2008-06-19;0,00;3,10;0,00;0,00;3,10;3,10;0,00%;3,10;3,13;0;0;0,00;
2008-06-20;0,00;3,10;0,00;0,00;3,10;3,10;0,00%;3,09;3,13;0;0;0,00;
2008-06-25;3,16;3,13;3,19;3,13;3,10;3,19;2,75%;3,12;3,19;7;206;651,87;
2008-06-26;3,15;3,16;3,16;3,14;3,19;3,14;-1,34%;3,14;3,16;3;54;170,23;
2008-06-27;3,17;3,16;3,17;3,16;3,14;3,17;0,90%;3,14;3,17;4;58;183,98;
2008-06-30;3,19;3,17;3,22;3,17;3,17;3,17;0,00%;3,16;3,20;9;229;731,30;
2008-07-01;0,00;3,17;0,00;0,00;3,17;3,17;0,00%;3,16;3,20;0;0;0,00;
2008-07-02;3,16;3,16;3,16;3,16;3,17;3,16;-0,45%;3,16;3,20;1;20;63,18;
2008-07-03;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,54;0;0;0,00;
2008-07-04;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-07;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-08;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-09;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-10;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-11;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-14;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-15;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,51;0;0;0,00;
2008-07-16;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-17;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,54;0;0;0,00;
2008-07-18;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-21;0,00;3,16;0,00;0,00;3,16;3,16;0,00%;3,16;3,56;0;0;0,00;
2008-07-22;3,15;3,16;3,16;3,14;3,16;3,14;-0,45%;0,00;3,56;2;50;157,51;
2008-07-23;3,27;3,27;3,27;3,27;3,14;3,27;4,07%;3,16;3,26;1;30;98,18;
2008-07-24;3,26;3,26;3,26;3,26;3,27;3,26;-0,43%;3,14;3,26;1;10;32,58;
2008-07-25;3,24;3,24;3,24;3,24;3,26;3,24;-0,44%;3,14;3,26;1;10;32,44;
2008-07-28;0,00;3,24;0,00;0,00;3,24;3,24;0,00%;3,16;3,23;0;0;0,00;
2008-07-29;0,00;3,24;0,00;0,00;3,24;3,24;0,00%;3,14;3,24;0;0;0,00;
2008-07-30;0,00;3,24;0,00;0,00;3,24;3,24;0,00%;3,14;3,24;0;0;0,00;
2008-07-31;0,00;3,24;0,00;0,00;3,24;3,24;0,00%;3,14;3,24;0;0;0,00;
2008-08-01;0,00;3,24;0,00;0,00;3,24;3,24;0,00%;3,17;3,24;0;0;0,00;
2008-08-04;0,00;3,24;0,00;0,00;3,24;3,24;0,00%;3,14;3,24;0;0;0,00;
2008-08-05;3,14;3,14;3,14;3,14;3,24;3,14;-3,07%;3,14;3,22;1;13;40,88;
2008-08-06;0,00;3,14;0,00;0,00;3,14;3,14;0,00%;3,13;3,20;0;0;0,00;
2008-08-07;0,00;3,14;0,00;0,00;3,14;3,14;0,00%;3,13;3,22;0;0;0,00;
2008-08-08;3,13;3,13;3,13;3,13;3,14;3,13;-0,45%;3,13;3,22;7;134;419,46;
2008-08-11;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,13;3,24;0;0;0,00;
2008-08-12;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,13;3,24;0;0;0,00;
2008-08-13;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,13;3,19;0;0;0,00;
2008-08-14;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,13;3,20;0;0;0,00;
2008-08-15;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,13;3,22;0;0;0,00;
2008-08-18;3,13;3,13;3,13;3,13;3,13;3,13;0,00%;3,12;3,13;1;10;31,30;
2008-08-19;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,12;3,22;0;0;0,00;
2008-08-20;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,12;3,23;0;0;0,00;
2008-08-21;0,00;3,13;0,00;0,00;3,13;3,13;0,00%;3,12;3,19;0;0;0,00;
2008-08-22;3,13;3,14;3,14;3,12;3,13;3,12;-0,45%;3,00;3,14;3;40;125,21;
2008-08-25;3,15;3,16;3,17;3,12;3,12;3,12;0,00%;3,04;3,14;7;90;283,15;
2008-08-26;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,07;3,14;0;0;0,00;
2008-08-27;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,07;3,14;0;0;0,00;
2008-08-28;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,10;3,14;0;0;0,00;
2008-08-29;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,09;3,14;0;0;0,00;
2008-09-01;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,10;3,14;0;0;0,00;
2008-09-02;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,06;3,13;0;0;0,00;
2008-09-03;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,09;3,13;0;0;0,00;
2008-09-04;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,06;3,13;0;0;0,00;
2008-09-05;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,07;3,13;0;0;0,00;
2008-09-08;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,07;3,13;0;0;0,00;
2008-09-09;0,00;3,12;0,00;0,00;3,12;3,12;0,00%;3,06;3,13;0;0;0,00;
2008-09-10;3,06;3,06;3,06;3,06;3,12;3,06;-1,83%;3,06;3,13;1;7;21,41;
2008-09-11;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-12;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-15;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-16;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-17;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-18;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-19;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-22;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,13;0;0;0,00;
2008-09-23;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,13;0;0;0,00;
2008-09-24;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-25;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,12;0;0;0,00;
2008-09-26;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,10;0;0;0,00;
2008-09-29;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,09;0;0;0,00;
2008-09-30;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,10;0;0;0,00;
2008-10-01;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,06;3,14;0;0;0,00;
2008-10-02;3,06;3,06;3,06;3,06;3,06;3,06;0,00%;2,85;3,09;1;3;9,18;
2008-10-03;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,04;3,07;0;0;0,00;
2008-10-06;0,00;3,06;0,00;0,00;3,06;3,06;0,00%;3,04;3,09;0;0;0,00;
2008-10-07;2,65;3,04;3,04;2,60;3,06;2,60;-14,88%;0,00;2,60;4;133;352,47;
2008-10-08;0,00;2,60;0,00;0,00;2,60;2,60;0,00%;0,00;2,60;0;0;0,00;
2008-10-09;0,00;2,60;0,00;0,00;2,60;2,60;0,00%;0,00;2,60;0;0;0,00;
2008-10-10;0,00;2,60;0,00;0,00;2,60;2,60;0,00%;0,00;2,60;0;0;0,00;
2008-10-13;0,00;2,60;0,00;0,00;2,60;2,60;0,00%;2,29;2,62;0;0;0,00;
2008-10-14;2,62;2,62;2,62;2,62;2,60;2,62;0,55%;2,23;2,63;1;10;26,18;
2008-10-15;0,00;2,62;0,00;0,00;2,62;2,62;0,00%;2,23;2,62;0;0;0,00;
2008-10-16;0,00;2,62;0,00;0,00;2,62;2,62;0,00%;2,23;2,62;0;0;0,00;
2008-10-17;0,00;2,62;0,00;0,00;2,62;2,62;0,00%;2,23;2,62;0;0;0,00;
