SECURITY DETAIL VIEW (EQUITY)
Grindeks (GRD1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: GRD1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;8,68;0,00;0,00;8,68;8,68;0,00%;8,68;8,78;0;0;0,00;
2008-05-20;8,67;8,68;8,68;8,57;8,68;8,68;0,00%;8,68;8,69;4;378;3278,58;
2008-05-21;8,68;8,68;8,68;8,68;8,68;8,68;0,00%;8,68;8,74;4;1000;8679,52;
2008-05-22;8,68;8,68;8,68;8,68;8,68;8,68;0,00%;8,68;8,74;4;626;5433,38;
2008-05-23;8,68;8,68;8,68;8,68;8,68;8,68;0,00%;8,68;8,74;7;1658;14390,64;
2008-05-26;8,69;8,68;8,75;8,68;8,68;8,75;0,82%;8,68;8,75;6;525;4560,66;
2008-05-27;8,68;8,68;8,68;8,68;8,75;8,68;-0,81%;8,55;8,75;3;10050;87229,16;
2008-05-28;0,00;8,68;0,00;0,00;8,68;8,68;0,00%;8,57;8,68;0;0;0,00;
2008-05-29;8,57;8,57;8,57;8,57;8,68;8,57;-1,31%;8,55;8,67;1;2;17,13;
2008-05-30;8,68;8,67;8,68;8,67;8,57;8,68;1,33%;8,65;8,68;7;150;1301,90;
2008-06-02;8,60;8,55;8,61;8,54;8,68;8,61;-0,82%;8,61;8,68;6;5020;43381,51;
2008-06-03;8,61;8,61;8,61;8,61;8,61;8,61;0,00%;8,61;8,68;2;5140;44247,04;
2008-06-04;8,68;8,68;8,68;8,68;8,61;8,68;0,83%;8,55;8,68;1;550;4773,73;
2008-06-05;0,00;8,68;0,00;0,00;8,68;8,68;0,00%;8,57;8,67;0;0;0,00;
2008-06-06;8,68;8,67;8,75;8,67;8,68;8,68;0,00%;8,68;8,75;13;6263;54369,64;
2008-06-09;8,75;8,75;8,75;8,75;8,68;8,75;0,82%;8,68;8,75;1;125;1093,83;
2008-06-10;8,68;8,68;8,68;8,68;8,75;8,68;-0,81%;8,68;8,75;3;1050;9113,49;
2008-06-11;8,69;8,67;8,71;8,67;8,68;8,71;0,33%;8,71;8,75;4;114;990,92;
2008-06-12;8,70;8,68;8,71;8,68;8,71;8,71;0,00%;8,71;8,75;5;270;2347,74;
2008-06-13;0,00;8,71;0,00;0,00;8,71;8,71;0,00%;8,67;8,76;0;0;0,00;
2008-06-16;8,71;8,71;8,71;8,71;8,71;8,71;0,00%;8,68;8,74;2;200;1741,60;
2008-06-17;8,68;8,68;8,69;8,68;8,71;8,68;-0,33%;8,68;8,76;4;250;2170,06;
2008-06-18;8,69;8,68;8,76;8,68;8,68;8,76;0,98%;8,68;8,76;2;140;1216,84;
2008-06-19;8,84;8,82;8,86;8,82;8,76;8,86;1,14%;8,76;8,86;5;310;2741,59;
2008-06-20;8,77;8,86;8,86;8,75;8,86;8,75;-1,28%;8,68;8,81;6;1317;11555,73;
2008-06-25;8,60;8,59;8,62;8,59;8,75;8,62;-1,46%;8,61;8,68;3;83;714,17;
2008-06-26;8,65;8,65;8,78;8,65;8,62;8,78;1,82%;8,65;8,78;5;299;2588,93;
2008-06-27;8,68;8,69;8,71;8,68;8,78;8,68;-1,13%;8,68;8,71;8;2889;25078,00;
2008-06-30;8,70;8,71;8,71;8,69;8,68;8,69;0,16%;8,69;8,76;3;250;2174,86;
2008-07-01;8,69;8,69;8,72;8,68;8,69;8,68;-0,16%;8,68;8,72;5;289;2510,80;
2008-07-02;0,00;8,68;0,00;0,00;8,68;8,68;0,00%;8,68;8,74;0;0;0,00;
2008-07-03;8,54;8,54;8,58;8,54;8,68;8,54;-1,64%;8,42;8,54;10;3080;26295,95;
2008-07-04;8,54;8,54;8,54;8,54;8,54;8,54;0,00%;8,42;8,54;1;80;682,98;
2008-07-07;8,47;8,55;8,55;8,34;8,54;8,34;-2,33%;8,34;8,47;10;2177;18446,41;
2008-07-08;8,49;8,54;8,54;8,32;8,34;8,32;-0,17%;8,28;8,32;10;450;3820,41;
2008-07-09;8,25;8,25;8,25;8,25;8,32;8,25;-0,85%;8,12;8,25;7;297;2451,04;
2008-07-10;7,85;8,12;8,12;7,78;8,25;7,83;-5,17%;7,83;7,90;27;3016;23678,35;
2008-07-11;8,02;8,14;8,14;7,95;7,83;7,97;1,82%;7,97;8,02;30;17485;140149,03;
2008-07-14;7,69;7,67;7,81;7,67;7,97;7,78;-2,32%;7,70;7,87;8;190;1462,00;
2008-07-15;7,97;7,94;7,97;7,94;7,78;7,97;2,38%;7,71;7,95;6;1000;7965,52;
2008-07-16;7,90;7,97;7,97;7,85;7,97;7,85;-1,43%;7,84;7,95;3;45;355,72;
2008-07-17;7,96;7,95;7,97;7,95;7,85;7,97;1,45%;7,80;7,97;5;162;1289,42;
2008-07-18;7,91;7,85;7,97;7,84;7,97;7,88;-1,07%;7,87;7,95;13;300;2372,06;
2008-07-21;7,75;7,74;7,88;7,70;7,88;7,88;0,00%;7,77;7,88;13;415;3215,12;
2008-07-22;7,75;7,71;7,75;7,71;7,88;7,75;-1,62%;7,71;7,75;5;208;1612,63;
2008-07-23;7,98;8,04;8,04;7,84;7,75;7,84;1,10%;7,84;7,97;26;6965;55559,79;
2008-07-24;7,87;7,84;7,91;7,84;7,84;7,90;0,73%;7,88;8,01;8;50;393,64;
2008-07-25;7,98;8,02;8,04;7,90;7,90;7,90;0,00%;7,90;7,95;21;3420;27307,90;
2008-07-28;7,92;7,85;8,04;7,84;7,90;8,04;1,80%;7,91;8,02;12;116;918,75;
2008-07-29;0,00;8,04;0,00;0,00;8,04;8,04;0,00%;7,90;8,04;0;0;0,00;
2008-07-30;0,00;8,04;0,00;0,00;8,04;8,04;0,00%;7,91;7,97;0;0;0,00;
2008-07-31;8,01;8,04;8,04;7,93;8,04;7,93;-1,42%;7,93;8,04;3;26;208,34;
2008-08-01;0,00;7,93;0,00;0,00;7,93;7,93;0,00%;7,91;8,04;0;0;0,00;
2008-08-04;0,00;7,93;0,00;0,00;7,93;7,93;0,00%;7,85;8,00;0;0;0,00;
2008-08-05;7,89;7,97;8,00;7,83;7,93;7,90;-0,36%;7,87;7,93;21;330;2604,21;
2008-08-06;7,93;7,93;7,93;7,93;7,90;7,93;0,36%;7,90;7,94;1;10;79,25;
2008-08-07;8,28;8,18;8,38;8,12;7,93;8,38;5,75%;8,21;8,32;24;2030;16807,10;
2008-08-08;0,00;8,38;0,00;0,00;8,38;8,38;0,00%;8,25;8,32;0;0;0,00;
2008-08-11;0,00;8,38;0,00;0,00;8,38;8,38;0,00%;8,20;8,32;0;0;0,00;
2008-08-12;0,00;8,38;0,00;0,00;8,38;8,38;0,00%;8,12;8,32;0;0;0,00;
2008-08-13;8,18;8,32;8,32;8,18;8,38;8,18;-2,38%;8,12;8,22;5;1020;8348,49;
2008-08-14;8,11;8,12;8,12;8,11;8,18;8,11;-0,87%;8,05;8,17;4;530;4298,92;
2008-08-15;8,04;8,05;8,05;8,04;8,11;8,04;-0,88%;8,04;8,10;5;1020;8200,51;
2008-08-18;7,97;7,98;7,98;7,97;8,04;7,97;-0,88%;7,84;8,10;6;710;5657,48;
2008-08-19;7,97;7,98;7,98;7,97;7,97;7,97;0,00%;7,87;8,10;4;725;5779,71;
2008-08-20;8,04;8,02;8,04;8,02;7,97;8,04;0,89%;7,87;8,04;3;50;401,82;
2008-08-21;7,84;7,90;7,90;7,83;8,04;7,84;-2,48%;7,84;7,88;12;520;4079,16;
2008-08-22;7,86;7,90;7,90;7,85;7,84;7,85;0,18%;7,85;8,00;4;191;1500,59;
2008-08-25;0,00;7,85;0,00;0,00;7,85;7,85;0,00%;7,87;8,04;0;0;0,00;
2008-08-26;7,86;7,85;7,90;7,85;7,85;7,90;0,54%;7,84;8,01;9;530;4163,61;
2008-08-27;7,90;7,90;7,90;7,90;7,90;7,90;0,00%;7,85;7,90;1;1;7,90;
2008-08-28;7,95;7,84;7,97;7,84;7,90;7,97;0,90%;7,97;8,11;9;1060;8424,68;
2008-08-29;8,08;8,02;8,12;8,02;7,97;8,04;0,89%;8,04;8,12;9;2185;17651,08;
2008-09-01;8,04;8,04;8,04;8,04;8,04;8,04;0,00%;8,04;8,11;1;30;241,18;
2008-09-02;8,00;7,90;8,04;7,90;8,04;8,01;-0,35%;7,90;8,01;5;153;1224,52;
2008-09-03;7,97;7,87;8,01;7,87;8,01;8,01;0,00%;7,91;8,04;5;261;2079,00;
2008-09-04;8,11;8,04;8,14;8,04;8,01;8,14;1,60%;8,14;8,24;5;1148;9315,83;
2008-09-05;8,06;8,08;8,08;8,04;8,14;8,04;-1,22%;8,04;8,18;3;1200;9668,41;
2008-09-08;8,02;8,11;8,11;7,97;8,04;7,97;-0,88%;7,91;8,02;7;1320;10592,57;
2008-09-09;7,93;7,91;8,05;7,90;7,97;8,05;1,07%;7,91;8,05;6;327;2593,78;
2008-09-10;8,05;8,05;8,08;8,05;8,05;8,08;0,35%;8,08;8,14;4;343;2762,82;
2008-09-11;8,10;8,10;8,10;8,10;8,08;8,10;0,18%;7,87;8,10;1;210;1700,19;
2008-09-12;0,00;8,10;0,00;0,00;8,10;8,10;0,00%;7,85;8,04;0;0;0,00;
2008-09-15;7,88;7,91;7,91;7,75;8,10;7,75;-4,22%;7,78;8,01;8;697;5495,06;
2008-09-16;7,68;7,68;7,68;7,68;7,75;7,68;-0,92%;7,63;7,83;1;500;3841,75;
2008-09-17;7,80;7,56;7,84;7,56;7,68;7,68;0,00%;7,57;7,83;11;3082;24045,98;
2008-09-18;7,57;7,63;7,63;7,56;7,68;7,56;-1,67%;7,47;7,68;7;810;6132,72;
2008-09-19;7,68;7,68;7,68;7,68;7,56;7,68;1,69%;7,58;7,75;7;2325;17864,16;
2008-09-22;0,00;7,68;0,00;0,00;7,68;7,68;0,00%;7,54;7,74;0;0;0,00;
