SECURITY DETAIL VIEW (EQUITY)
Latvijas Gāze (GZE1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: GZE1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;9,89;9,89;9,89;9,89;9,75;9,89;1,46%;9,82;9,89;9;400;3955,58;
2008-05-20;9,89;9,89;9,89;9,89;9,89;9,89;0,00%;9,89;9,90;3;249;2462,35;
2008-05-21;9,87;9,87;9,87;9,87;9,89;9,87;-0,14%;9,89;9,96;3;21;207,37;
2008-05-22;0,00;9,87;0,00;0,00;9,87;9,87;0,00%;9,76;9,96;0;0;0,00;
2008-05-23;9,96;9,96;9,96;9,96;9,87;9,96;0,86%;9,80;9,96;2;45;448,20;
2008-05-26;9,71;9,78;9,78;9,69;9,96;9,70;-2,57%;9,72;9,80;6;225;2184,25;
2008-05-27;9,83;9,82;9,89;9,75;9,70;9,75;0,44%;9,75;9,95;10;157;1543,39;
2008-05-28;9,75;9,76;9,76;9,75;9,75;9,75;0,00%;9,70;9,82;5;155;1510,81;
2008-05-29;9,75;9,75;9,75;9,75;9,75;9,75;0,00%;9,75;9,92;1;95;925,93;
2008-05-30;9,80;9,82;9,82;9,75;9,75;9,75;0,00%;9,75;9,80;2;58;568,44;
2008-06-02;9,68;9,70;9,70;9,68;9,75;9,68;-0,73%;9,25;9,75;3;220;2129,04;
2008-06-03;8,54;8,54;8,54;8,54;9,68;8,54;-11,76%;8,32;9,25;3;72;614,68;
2008-06-04;9,68;9,13;9,82;9,13;8,54;9,82;15,00%;9,68;9,82;10;454;4396,73;
2008-06-05;9,85;9,82;9,96;9,60;9,82;9,70;-1,16%;9,69;9,82;13;540;5316,87;
2008-06-06;0,00;9,70;0,00;0,00;9,70;9,70;0,00%;9,72;10,16;0;0;0,00;
2008-06-09;0,00;9,70;0,00;0,00;9,70;9,70;0,00%;9,73;9,95;0;0;0,00;
2008-06-10;9,96;9,99;9,99;9,83;9,70;9,95;2,49%;9,82;9,97;4;18;179,20;
2008-06-11;9,92;9,82;9,95;9,82;9,95;9,95;0,00%;9,80;9,95;3;38;376,80;
2008-06-12;9,77;9,75;9,95;9,75;9,95;9,95;0,00%;9,75;9,95;4;340;3321,69;
2008-06-13;9,81;9,83;9,87;9,73;9,95;9,87;-0,72%;9,82;9,87;16;119;1167,40;
2008-06-16;9,93;9,93;9,93;9,93;9,87;9,93;0,58%;9,82;9,93;2;100;993,16;
2008-06-17;0,00;9,93;0,00;0,00;9,93;9,93;0,00%;9,82;9,89;0;0;0,00;
2008-06-18;9,91;9,89;9,93;9,89;9,93;9,93;0,00%;9,83;9,89;2;100;991,03;
2008-06-19;0,00;9,93;0,00;0,00;9,93;9,93;0,00%;9,83;9,89;0;0;0,00;
2008-06-20;9,74;9,89;9,89;9,69;9,93;9,70;-2,29%;9,70;9,76;11;251;2443,80;
2008-06-25;9,87;9,72;10,10;9,72;9,70;10,10;4,11%;9,99;10,10;19;220;2172,06;
2008-06-26;10,23;10,23;10,23;10,23;10,10;10,23;1,27%;9,97;10,22;5;241;2465,54;
2008-06-27;10,22;10,22;10,23;10,22;10,23;10,23;0,00%;9,96;10,23;2;50;510,84;
2008-06-30;9,97;9,99;9,99;9,96;10,23;9,96;-2,64%;9,97;10,17;11;962;9589,19;
2008-07-01;9,99;9,95;10,03;9,95;9,96;9,95;-0,14%;9,83;10,03;6;198;1978,50;
2008-07-02;10,03;10,03;10,03;10,03;9,95;10,03;0,86%;10,03;10,12;3;351;3520,97;
2008-07-03;10,03;10,03;10,03;10,03;10,03;10,03;0,00%;10,03;10,09;2;50;501,56;
2008-07-04;9,97;10,03;10,03;9,96;10,03;9,96;-0,71%;10,03;10,10;6;482;4807,88;
2008-07-07;10,20;10,10;10,46;10,10;9,96;10,46;5,00%;10,13;10,46;12;336;3427,98;
2008-07-08;10,57;10,53;10,60;10,53;10,46;10,59;1,22%;10,24;10,56;4;244;2580,18;
2008-07-09;10,49;10,07;10,59;10,06;10,59;10,59;0,00%;10,34;10,53;6;90;943,72;
2008-07-10;10,23;10,60;10,60;10,12;10,59;10,30;-2,69%;10,13;10,39;9;225;2302,14;
2008-07-11;10,17;10,24;10,24;10,15;10,30;10,19;-1,10%;10,16;10,19;8;162;1648,21;
2008-07-14;10,40;10,57;10,57;10,24;10,19;10,24;0,56%;10,24;10,43;5;128;1331,54;
2008-07-15;10,43;10,37;10,50;10,32;10,24;10,50;2,50%;10,32;10,50;11;216;2253,74;
2008-07-16;9,91;9,96;9,96;9,70;10,50;9,75;-7,18%;9,70;9,83;18;576;5709,90;
2008-07-17;9,99;9,85;10,07;9,85;9,75;10,07;3,36%;9,87;10,13;14;240;2397,81;
2008-07-18;9,53;9,53;9,53;9,53;10,07;9,53;-5,37%;9,53;10,05;10;320;3050,64;
2008-07-21;9,79;9,76;9,82;9,76;9,53;9,82;2,99%;9,48;9,80;5;100;979,28;
2008-07-22;9,60;9,82;9,82;9,45;9,82;9,62;-2,03%;9,62;9,82;21;163;1564,97;
2008-07-23;9,52;9,93;9,95;9,26;9,62;9,75;1,33%;8,68;9,60;9;170;1619,09;
2008-07-24;9,75;9,75;9,75;9,75;9,75;9,75;0,00%;9,05;9,80;1;20;194,93;
2008-07-25;0,00;9,75;0,00;0,00;9,75;9,75;0,00%;9,11;9,79;0;0;0,00;
2008-07-28;9,76;9,76;9,76;9,76;9,75;9,76;0,15%;9,18;9,76;1;5;48,80;
2008-07-29;0,00;9,76;0,00;0,00;9,76;9,76;0,00%;9,29;9,72;0;0;0,00;
2008-07-30;9,28;9,28;9,39;9,25;9,76;9,39;-3,79%;9,25;9,39;23;393;3646,54;
2008-07-31;0,00;9,39;0,00;0,00;9,39;9,39;0,00%;9,25;9,39;0;0;0,00;
2008-08-01;9,27;9,25;9,36;9,25;9,39;9,36;-0,30%;9,15;9,36;7;649;6018,55;
2008-08-04;9,11;9,11;9,11;9,11;9,36;9,11;-2,74%;9,05;9,36;1;50;455,32;
2008-08-05;9,04;9,02;9,05;9,02;9,11;9,04;-0,78%;9,02;9,11;5;231;2087,55;
2008-08-06;9,27;9,23;9,32;9,23;9,04;9,32;3,15%;9,04;9,32;4;17;157,57;
2008-08-07;9,13;9,31;9,32;9,02;9,32;9,11;-2,29%;9,04;9,31;9;132;1204,89;
2008-08-08;9,02;9,05;9,05;9,01;9,11;9,01;-1,09%;9,01;9,31;5;370;3338,77;
2008-08-11;0,00;9,01;0,00;0,00;9,01;9,01;0,00%;9,01;9,31;0;0;0,00;
2008-08-12;9,29;9,29;9,29;9,29;9,01;9,29;3,16%;8,96;9,29;1;22;204,41;
2008-08-13;8,96;8,96;8,96;8,96;9,29;8,96;-3,52%;8,96;9,04;1;10;89,64;
2008-08-14;0,00;8,96;0,00;0,00;8,96;8,96;0,00%;8,98;9,04;0;0;0,00;
2008-08-15;9,29;9,29;9,29;9,29;8,96;9,29;3,65%;9,04;9,29;4;75;696,85;
2008-08-18;9,19;8,98;9,25;8,96;9,29;9,25;-0,46%;8,99;9,25;20;488;4485,32;
2008-08-19;9,26;9,25;9,29;9,25;9,25;9,29;0,46%;8,99;9,29;2;20;185,19;
2008-08-20;9,17;8,98;9,29;8,98;9,29;9,29;0,00%;9,04;9,31;9;180;1651,39;
2008-08-21;9,31;9,31;9,31;9,31;9,29;9,31;0,15%;9,05;9,31;2;7;65,14;
2008-08-22;0,00;9,31;0,00;0,00;9,31;9,31;0,00%;9,04;9,29;0;0;0,00;
2008-08-25;9,29;9,29;9,29;9,29;9,31;9,29;-0,15%;9,11;9,31;3;100;929,14;
