SECURITY DETAIL VIEW (EQUITY)
Latvijas Krājbanka (LKB1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: LKB1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;5,03;5,05;5,19;4,91;5,36;5,19;-3,18%;5,19;5,24;19;615;3091,80;
2008-05-20;0,00;5,19;0,00;0,00;5,19;5,19;0,00%;4,99;5,26;0;0;0,00;
2008-05-21;0,00;5,19;0,00;0,00;5,19;5,19;0,00%;5,01;5,25;0;0;0,00;
2008-05-22;5,01;5,04;5,12;4,98;5,19;5,12;-1,37%;4,99;5,12;8;330;1651,67;
2008-05-23;0,00;5,12;0,00;0,00;5,12;5,12;0,00%;4,84;4,98;0;0;0,00;
2008-05-26;0,00;5,12;0,00;0,00;5,12;5,12;0,00%;4,87;5,12;0;0;0,00;
2008-05-27;4,98;4,98;4,98;4,98;5,12;4,98;-2,78%;4,92;4,98;5;330;1643,42;
2008-05-28;5,01;4,98;5,11;4,98;4,98;5,11;2,57%;4,99;5,11;5;161;806,91;
2008-05-29;5,01;4,98;5,14;4,98;5,11;5,14;0,56%;4,99;5,14;4;263;1316,71;
2008-05-30;5,02;5,05;5,05;4,99;5,14;4,99;-2,77%;4,98;5,04;3;49;246,09;
2008-06-02;4,94;4,98;4,98;4,91;4,99;4,91;-1,71%;4,84;4,97;5;93;459,03;
2008-06-03;0,00;4,91;0,00;0,00;4,91;4,91;0,00%;0,00;5,05;0;0;0,00;
2008-06-04;4,89;4,87;4,95;4,85;4,91;4,91;0,00%;4,80;4,91;8;46;224,91;
2008-06-05;0,00;4,91;0,00;0,00;4,91;4,91;0,00%;4,80;4,89;0;0;0,00;
2008-06-06;4,90;4,89;4,91;4,88;4,91;4,88;-0,58%;4,88;4,97;5;87;426,15;
2008-06-09;4,83;4,84;4,84;4,82;4,88;4,82;-1,17%;4,82;4,84;2;13;62,85;
2008-06-10;4,63;4,70;4,77;4,51;4,82;4,77;-1,18%;4,68;4,91;12;178;824,71;
2008-06-11;0,00;4,77;0,00;0,00;4,77;4,77;0,00%;4,68;4,88;0;0;0,00;
2008-06-12;0,00;4,77;0,00;0,00;4,77;4,77;0,00%;4,65;4,88;0;0;0,00;
2008-06-13;4,77;4,77;4,77;4,77;4,77;4,77;0,00%;4,74;4,89;1;500;2383,31;
2008-06-16;4,72;4,72;4,72;4,72;4,77;4,72;-0,90%;4,74;4,89;1;13;61,41;
2008-06-17;4,80;4,77;4,84;4,77;4,72;4,84;2,41%;4,77;4,82;3;104;499,64;
2008-06-18;0,00;4,84;0,00;0,00;4,84;4,84;0,00%;4,71;4,88;0;0;0,00;
2008-06-19;4,70;4,70;4,70;4,70;4,84;4,70;-2,94%;4,72;4,82;2;500;2347,74;
2008-06-20;4,67;4,67;4,68;4,65;4,70;4,65;-0,91%;4,65;4,70;4;35;163,42;
2008-06-25;4,63;4,65;4,65;4,62;4,65;4,62;-0,61%;4,44;4,67;6;931;4307,53;
2008-06-26;0,00;4,62;0,00;0,00;4,62;4,62;0,00%;4,57;4,67;0;0;0,00;
2008-06-27;4,62;4,62;4,62;4,62;4,62;4,62;0,00%;4,57;4,67;1;7;32,37;
2008-06-30;0,00;4,62;0,00;0,00;4,62;4,62;0,00%;4,50;4,67;0;0;0,00;
2008-07-01;4,57;4,57;4,57;4,57;4,62;4,57;-1,23%;4,55;4,60;5;60;274,05;
2008-07-02;4,58;4,57;4,61;4,57;4,57;4,61;0,93%;4,57;4,67;4;140;641,29;
2008-07-03;4,57;4,58;4,58;4,57;4,61;4,57;-0,93%;4,52;4,60;3;150;685,40;
2008-07-04;4,62;4,60;4,67;4,58;4,57;4,58;0,31%;4,57;4,61;7;131;605,69;
2008-07-07;0,00;4,58;0,00;0,00;4,58;4,58;0,00%;4,52;4,61;0;0;0,00;
2008-07-08;4,09;4,54;4,54;3,90;4,58;4,14;-9,63%;4,03;4,20;20;579;2368,56;
2008-07-09;4,34;4,33;4,37;4,30;4,14;4,37;5,50%;4,28;4,37;6;119;516,35;
2008-07-10;4,14;4,27;4,27;4,08;4,37;4,15;-4,89%;4,11;4,25;10;100;413,77;
