SECURITY DETAIL VIEW (EQUITY)
Liepājas metalurgs (LME1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: LME1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;4,13;0,00;0,00;4,13;4,13;0,00%;4,00;4,13;0;0;0,00;
2008-05-20;0,00;4,13;0,00;0,00;4,13;4,13;0,00%;3,98;4,13;0;0;0,00;
2008-05-21;4,13;4,13;4,13;4,13;4,13;4,13;0,00%;3,88;4,13;4;235;969,69;
2008-05-22;3,88;3,86;3,98;3,71;4,13;3,98;-3,45%;3,80;3,98;6;340;1320,57;
2008-05-23;3,70;3,70;3,70;3,70;3,98;3,70;-7,14%;3,70;3,98;2;75;277,46;
2008-05-26;3,77;3,77;3,77;3,77;3,70;3,77;1,92%;3,77;4,04;1;10;37,71;
2008-05-27;3,59;3,73;3,73;3,56;3,77;3,69;-2,26%;3,56;3,70;23;861;3089,05;
2008-05-28;0,00;3,69;0,00;0,00;3,69;3,69;0,00%;3,63;3,71;0;0;0,00;
2008-05-29;3,43;3,44;3,49;3,41;3,69;3,44;-6,56%;3,44;3,47;18;915;3139,42;
2008-05-30;3,49;3,49;3,51;3,47;3,44;3,47;0,83%;3,47;3,64;10;500;1746,43;
2008-06-02;0,00;3,47;0,00;0,00;3,47;3,47;0,00%;3,37;3,49;0;0;0,00;
2008-06-03;0,00;3,47;0,00;0,00;3,47;3,47;0,00%;3,34;0,00;0;0;0,00;
2008-06-04;0,00;3,47;0,00;0,00;3,47;3,47;0,00%;3,47;3,60;0;0;0,00;
2008-06-05;3,44;3,47;3,47;3,37;3,47;3,47;0,00%;3,41;3,49;18;335;1151,53;
2008-06-06;3,49;3,49;3,70;3,49;3,47;3,49;0,41%;3,47;3,67;7;118;411,98;
2008-06-09;0,00;3,49;0,00;0,00;3,49;3,49;0,00%;3,44;3,51;0;0;0,00;
2008-06-10;3,49;3,49;3,49;3,49;3,49;3,49;0,00%;3,41;3,47;1;200;697,21;
2008-06-11;0,00;3,49;0,00;0,00;3,49;3,49;0,00%;3,41;3,49;0;0;0,00;
