SECURITY DETAIL VIEW (EQUITY)
Daugavpils Lokomotīvju remonta rūpnīca (LOK1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: LOK1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,33;0,33;0,33;0,33;0,33;0,33;0,00%;0,28;0,34;1;545;178,36;
2008-05-20;0,00;0,33;0,00;0,00;0,33;0,33;0,00%;0,28;0,34;0;0;0,00;
2008-05-21;0,00;0,33;0,00;0,00;0,33;0,33;0,00%;0,28;0,34;0;0;0,00;
2008-05-22;0,34;0,34;0,34;0,34;0,33;0,34;4,35%;0,28;0,34;1;5;1,71;
2008-05-23;0,00;0,34;0,00;0,00;0,34;0,34;0,00%;0,30;0,34;0;0;0,00;
2008-05-26;0,00;0,34;0,00;0,00;0,34;0,34;0,00%;0,30;0,31;0;0;0,00;
2008-05-27;0,30;0,30;0,30;0,30;0,34;0,30;-12,50%;0,28;0,30;1;300;89,64;
2008-05-28;0,00;0,30;0,00;0,00;0,30;0,30;0,00%;0,28;0,30;0;0;0,00;
2008-05-29;0,30;0,30;0,30;0,30;0,30;0,30;0,00%;0,30;0,33;1;200;59,76;
2008-05-30;0,00;0,30;0,00;0,00;0,30;0,30;0,00%;0,30;0,33;0;0;0,00;
2008-06-02;0,37;0,34;0,37;0,34;0,30;0,36;19,05%;0,36;0,37;15;13065;4811,37;
2008-06-03;0,00;0,36;0,00;0,00;0,36;0,36;0,00%;0,34;0,40;0;0;0,00;
2008-06-04;0,37;0,37;0,37;0,37;0,36;0,37;4,00%;0,37;0,38;4;6156;2277,39;
2008-06-05;0,37;0,37;0,37;0,36;0,37;0,37;0,00%;0,36;0,38;9;5097;1865,74;
2008-06-06;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,37;0,38;0;0;0,00;
2008-06-09;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-06-10;0,37;0,37;0,37;0,37;0,37;0,37;0,00%;0,37;0,38;1;100;36,99;
2008-06-11;0,37;0,37;0,37;0,37;0,37;0,37;0,00%;0,37;0,38;1;99;36,62;
2008-06-12;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,37;0,38;0;0;0,00;
2008-06-13;0,37;0,37;0,37;0,37;0,37;0,37;0,00%;0,36;0,38;3;2344;867,15;
2008-06-16;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-06-17;0,37;0,37;0,37;0,37;0,37;0,37;0,00%;0,37;0,38;1;99;36,62;
2008-06-18;0,37;0,37;0,38;0,36;0,37;0,37;0,00%;0,37;0,38;11;4371;1603,25;
2008-06-19;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,37;0;0;0,00;
2008-06-20;0,36;0,36;0,36;0,36;0,37;0,36;-3,85%;0,36;0,37;5;2409;856,92;
2008-06-25;0,00;0,36;0,00;0,00;0,36;0,36;0,00%;0,36;0,38;0;0;0,00;
2008-06-26;0,37;0,37;0,38;0,37;0,36;0,38;8,00%;0,37;0,40;6;3800;1417,75;
2008-06-27;0,37;0,37;0,37;0,37;0,38;0,37;-3,70%;0,36;0,38;2;424;156,86;
2008-06-30;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,37;0,38;0;0;0,00;
2008-07-01;0,37;0,37;0,37;0,37;0,37;0,37;0,00%;0,37;0,38;1;1948;720,66;
2008-07-02;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,37;0,40;0;0;0,00;
2008-07-03;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,37;0,38;0;0;0,00;
2008-07-04;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,37;0,38;0;0;0,00;
2008-07-07;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-07-08;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-07-09;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-07-10;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-07-11;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-07-14;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,40;0;0;0,00;
2008-07-15;0,36;0,36;0,36;0,36;0,37;0,36;-3,85%;0,36;0,37;3;1000;355,72;
2008-07-16;0,38;0,37;0,38;0,37;0,36;0,38;8,00%;0,37;0,40;3;1400;525,04;
2008-07-17;0,36;0,37;0,37;0,36;0,38;0,36;-7,41%;0,36;0,38;2;830;302,36;
2008-07-18;0,00;0,36;0,00;0,00;0,36;0,36;0,00%;0,36;0,38;0;0;0,00;
2008-07-21;0,00;0,36;0,00;0,00;0,36;0,36;0,00%;0,36;0,38;0;0;0,00;
2008-07-22;0,00;0,36;0,00;0,00;0,36;0,36;0,00%;0,36;0,38;0;0;0,00;
2008-07-23;0,00;0,36;0,00;0,00;0,36;0,36;0,00%;0,36;0,38;0;0;0,00;
2008-07-24;0,38;0,38;0,38;0,38;0,36;0,38;8,00%;0,36;0,38;1;10;3,84;
2008-07-25;0,38;0,38;0,38;0,38;0,38;0,38;0,00%;0,37;0,40;1;200;76,84;
2008-07-28;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,37;0,38;0;0;0,00;
2008-07-29;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-07-30;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,37;0,38;0;0;0,00;
2008-07-31;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,37;0,38;0;0;0,00;
2008-08-01;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,37;0,38;0;0;0,00;
2008-08-04;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-08-05;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-08-06;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-08-07;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-08-08;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-08-11;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-08-12;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-08-13;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,34;0,38;0;0;0,00;
2008-08-14;0,00;0,38;0,00;0,00;0,38;0,38;0,00%;0,36;0,38;0;0;0,00;
2008-08-15;0,37;0,37;0,37;0,37;0,38;0,37;-3,70%;0,37;0,38;1;200;73,99;
2008-08-18;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-08-19;0,37;0,37;0,37;0,36;0,37;0,37;0,00%;0,36;0,38;6;1508;550,71;
2008-08-20;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-08-21;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-08-22;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,37;0,38;0;0;0,00;
2008-08-25;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-08-26;0,00;0,37;0,00;0,00;0,37;0,37;0,00%;0,36;0,38;0;0;0,00;
2008-08-27;0,37;0,38;0,38;0,36;0,37;0,37;0,00%;0,36;0,38;4;210;77,12;
2008-08-28;0,41;0,41;0,41;0,41;0,37;0,41;11,54%;0,40;0,41;10;7977;3291,57;
2008-08-29;0,41;0,41;0,41;0,41;0,41;0,41;0,00%;0,40;0,41;2;334;137,82;
2008-09-01;0,00;0,41;0,00;0,00;0,41;0,41;0,00%;0,40;0,41;0;0;0,00;
2008-09-02;0,40;0,40;0,40;0,40;0,41;0,40;-3,45%;0,40;0,41;1;150;59,76;
