SECURITY DETAIL VIEW (EQUITY)
Latvijas kuģniecība (LSC1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: LSC1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;1,69;1,69;1,69;1,69;1,69;1,69;0,00%;1,69;1,71;1;200;338,64;
2008-05-20;1,70;1,69;1,71;1,69;1,69;1,71;0,84%;1,69;1,72;10;15502;26289,62;
2008-05-21;1,69;1,69;1,69;1,69;1,71;1,69;-0,83%;1,69;1,71;3;25000;42671,93;
2008-05-22;1,71;1,71;1,72;1,71;1,69;1,71;0,84%;1,71;1,72;7;51476;87900,41;
2008-05-23;1,71;1,71;1,71;1,69;1,71;1,71;0,00%;1,69;1,71;4;7011;11970,75;
2008-05-26;1,70;1,71;1,71;1,69;1,71;1,69;-0,83%;1,69;1,71;3;3232;5486,71;
2008-05-27;1,71;1,71;1,71;1,69;1,69;1,71;0,84%;1,69;1,72;9;17083;29148,62;
2008-05-28;1,71;1,71;1,71;1,71;1,71;1,71;0,00%;1,69;1,71;1;1000;1707,45;
2008-05-29;1,71;1,69;1,71;1,69;1,71;1,71;0,00%;1,69;1,72;9;15368;26210,85;
2008-05-30;1,71;1,71;1,71;1,71;1,71;1,71;0,00%;1,71;1,72;5;14965;25551,93;
2008-06-02;1,68;1,71;1,71;1,68;1,71;1,68;-1,67%;0,00;1,68;8;12850;21622,24;
2008-06-03;1,70;1,68;1,72;1,68;1,68;1,72;2,54%;1,66;1,72;9;13738;23377,56;
2008-06-04;1,71;1,71;1,72;1,69;1,72;1,72;0,00%;1,69;1,72;4;2747;4688,46;
2008-06-05;1,72;1,72;1,72;1,69;1,72;1,69;-1,65%;1,69;1,74;10;15903;27365,57;
2008-06-06;1,72;1,71;1,74;1,69;1,69;1,72;1,68%;1,71;1,72;13;18689;32220,36;
2008-06-09;1,69;1,69;1,69;1,68;1,72;1,68;-2,48%;1,68;1,71;6;1209;2044,25;
2008-06-10;1,70;1,68;1,71;1,68;1,68;1,71;1,69%;1,68;1,72;14;30540;51901,53;
2008-06-11;1,69;1,69;1,69;1,69;1,71;1,69;-0,83%;1,69;1,71;4;1000;1693,22;
2008-06-12;1,71;1,71;1,71;1,71;1,69;1,71;0,84%;1,69;1,71;8;38826;66293,31;
2008-06-13;1,72;1,71;1,72;1,69;1,71;1,69;-0,83%;1,69;1,72;9;37043;63719,37;
2008-06-16;1,72;1,71;1,72;1,71;1,69;1,72;1,68%;1,71;1,74;11;25710;44243,35;
2008-06-17;1,72;1,72;1,72;1,69;1,72;1,69;-1,65%;1,69;1,72;9;6287;10804,25;
2008-06-18;1,72;1,72;1,72;1,72;1,69;1,72;1,68%;1,72;1,74;4;5500;9469,21;
2008-06-19;1,72;1,72;1,72;1,72;1,72;1,72;0,00%;1,72;1,74;1;950;1635,59;
2008-06-20;1,72;1,72;1,72;1,72;1,72;1,72;0,00%;1,72;1,74;6;16280;28028,87;
2008-06-25;1,74;1,74;1,74;1,74;1,72;1,74;0,83%;1,74;1,75;4;3899;6768,29;
2008-06-26;1,74;1,75;1,75;1,74;1,74;1,74;0,00%;1,74;1,75;5;3125;5438,93;
2008-06-27;1,72;1,74;1,74;1,72;1,74;1,72;-0,82%;1,72;1,75;5;7110;12244,64;
2008-06-30;1,74;1,74;1,75;1,74;1,72;1,75;1,65%;1,74;1,75;3;480;833,38;
2008-07-01;1,73;1,74;1,74;1,72;1,75;1,74;-0,81%;1,72;1,74;9;7500;12983,99;
2008-07-02;0,00;1,74;0,00;0,00;1,74;1,74;0,00%;1,72;1,75;0;0;0,00;
2008-07-03;1,72;1,72;1,72;1,71;1,74;1,72;-0,82%;1,72;1,74;9;26866;46229,39;
2008-07-04;1,74;1,72;1,75;1,72;1,72;1,74;0,83%;1,72;1,76;9;16382;28460,45;
2008-07-07;1,72;1,72;1,72;1,72;1,74;1,72;-0,82%;1,71;1,74;1;1009;1737,17;
2008-07-08;1,74;1,72;1,74;1,72;1,72;1,74;0,83%;1,72;1,74;5;9330;16187,44;
2008-07-09;1,72;1,72;1,72;1,72;1,74;1,72;-0,82%;1,72;1,74;6;5270;9073,23;
2008-07-10;1,72;1,72;1,72;1,72;1,72;1,72;0,00%;1,71;1,74;3;3490;6008,65;
2008-07-11;1,75;1,74;1,76;1,72;1,72;1,76;2,48%;1,74;1,76;20;31856;55685,71;
2008-07-14;1,75;1,75;1,75;1,75;1,76;1,75;-0,81%;1,75;1,76;4;20206;35363,17;
2008-07-15;1,75;1,74;1,76;1,74;1,75;1,76;0,81%;1,75;1,76;4;160;279,81;
2008-07-16;1,75;1,76;1,76;1,74;1,76;1,74;-1,61%;1,74;1,75;6;9800;17147,74;
2008-07-17;1,75;1,74;1,76;1,74;1,74;1,76;1,64%;1,74;1,76;13;168119;294331,56;
2008-07-18;1,74;1,74;1,74;1,74;1,76;1,74;-1,61%;1,74;1,75;3;2070;3593,32;
2008-07-21;1,74;1,74;1,74;1,74;1,74;1,74;0,00%;1,72;1,74;9;7508;13033,16;
2008-07-22;1,72;1,72;1,72;1,72;1,74;1,72;-0,82%;1,72;1,74;6;2349;4044,21;
2008-07-23;1,77;1,76;1,78;1,75;1,72;1,78;3,31%;1,76;1,78;24;51034;90243,03;
2008-07-24;1,74;1,76;1,76;1,74;1,78;1,74;-2,40%;1,74;1,75;8;21200;36875,15;
2008-07-25;1,76;1,74;1,78;1,74;1,74;1,75;0,82%;1,75;1,76;11;126818;223736,55;
2008-07-28;1,75;1,75;1,75;1,75;1,75;1,75;0,00%;1,75;1,78;5;2412;4221,32;
2008-07-29;1,75;1,75;1,75;1,75;1,75;1,75;0,00%;1,75;1,76;1;2144;3752,28;
2008-07-30;1,75;1,75;1,75;1,75;1,75;1,75;0,00%;1,75;1,78;9;6860;12005,91;
