SECURITY DETAIL VIEW (EQUITY)
Latvijas tilti (LTT1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: LTT1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;13,09;0,00;0,00;13,09;13,09;0,00%;11,40;13,09;0;0;0,00;
2008-05-20;11,38;11,40;11,40;11,38;13,09;11,38;-13,04%;11,38;12,08;3;100;1138,44;
2008-05-21;11,67;11,67;11,67;11,67;11,38;11,67;2,50%;9,96;11,67;2;40;466,70;
2008-05-22;10,73;10,70;11,38;10,67;11,67;11,38;-2,44%;11,38;12,08;4;72;772,48;
2008-05-23;10,71;10,71;10,71;10,67;11,38;10,71;-5,88%;10,26;11,31;7;286;3062,13;
2008-05-26;0,00;10,71;0,00;0,00;10,71;10,71;0,00%;10,70;12,08;0;0;0,00;
2008-05-27;10,45;10,71;10,71;10,24;10,71;10,24;-4,38%;9,39;10,43;7;910;9505,64;
2008-05-28;10,70;10,61;10,71;10,61;10,24;10,71;4,58%;10,22;10,87;5;330;3532,14;
2008-05-29;10,35;10,71;10,71;10,24;10,71;10,24;-4,38%;10,17;10,66;5;440;4555,61;
2008-05-30;0,00;10,24;0,00;0,00;10,24;10,24;0,00%;9,99;10,32;0;0;0,00;
2008-06-02;9,96;9,97;9,97;9,96;10,24;9,96;-2,78%;9,25;10,29;2;30;298,95;
2008-06-03;0,00;9,96;0,00;0,00;9,96;9,96;0,00%;0,00;10,67;0;0;0,00;
2008-06-04;9,01;9,28;9,42;8,82;9,96;9,42;-5,43%;8,62;9,42;33;410;3692,64;
2008-06-05;0,00;9,42;0,00;0,00;9,42;9,42;0,00%;8,98;10,27;0;0;0,00;
2008-06-06;8,72;8,84;8,84;8,68;9,42;8,82;-6,34%;8,84;9,25;10;440;3838,34;
