SECURITY DETAIL VIEW (EQUITY)
Olainfarm (OLF1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: OLF1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,13;2,13;2,13;2,13;2,13;2,13;0,00%;2,13;2,18;1;23;49,09;
2008-05-20;2,13;2,13;2,13;2,13;2,13;2,13;0,00%;2,13;2,18;2;1600;3414,89;
2008-05-21;0,00;2,13;0,00;0,00;2,13;2,13;0,00%;2,12;2,15;0;0;0,00;
2008-05-22;0,00;2,13;0,00;0,00;2,13;2,13;0,00%;2,13;2,18;0;0;0,00;
2008-05-23;1,95;2,13;2,13;1,84;2,13;1,98;-7,33%;1,94;1,99;24;5386;10500,44;
2008-05-26;0,00;1,98;0,00;0,00;1,98;1,98;0,00%;1,95;1,99;0;0;0,00;
2008-05-27;2,03;2,02;2,03;1,99;1,98;2,03;2,88%;2,02;2,05;10;2605;5295,08;
2008-05-28;2,06;2,06;2,06;2,06;2,03;2,06;1,40%;2,06;2,11;2;50;103,16;
2008-05-29;1,86;2,06;2,06;1,78;2,06;1,85;-10,34%;1,85;1,91;57;16788;31286,32;
2008-05-30;1,97;2,06;2,06;1,95;1,85;1,98;6,92%;1,96;2,02;6;1445;2849,51;
2008-06-02;1,95;1,95;1,95;1,95;1,98;1,95;-1,44%;1,91;1,95;1;100;194,93;
2008-06-03;1,85;1,82;1,85;1,82;1,95;1,85;-5,11%;1,68;1,85;2;570;1052,93;
2008-06-04;1,79;1,79;1,79;1,79;1,85;1,79;-3,08%;1,78;1,79;1;580;1039,83;
2008-06-05;1,84;1,84;1,84;1,84;1,79;1,84;2,38%;1,81;1,84;1;30;55,07;
2008-06-06;1,82;1,82;1,82;1,82;1,84;1,82;-0,78%;1,82;1,85;3;2137;3892,07;
2008-06-09;1,85;1,85;1,85;1,85;1,82;1,85;1,56%;1,85;1,89;5;2410;4457,86;
2008-06-10;1,75;1,72;1,78;1,71;1,85;1,78;-3,85%;1,78;1,84;7;4501;7861,65;
2008-06-11;1,85;1,85;1,85;1,85;1,78;1,85;4,00%;1,82;1,85;2;60;110,98;
2008-06-12;1,84;1,84;1,84;1,84;1,85;1,84;-0,77%;1,82;1,84;2;300;550,65;
2008-06-13;1,82;1,82;1,82;1,82;1,84;1,82;-0,78%;1,82;1,85;4;2571;4682,50;
2008-06-16;1,77;1,74;1,79;1,74;1,82;1,79;-1,56%;1,76;1,84;13;1190;2100,73;
2008-06-17;1,75;1,76;1,76;1,74;1,79;1,74;-3,17%;1,74;1,76;5;3480;6102,13;
