SECURITY DETAIL VIEW (EQUITY)
Rīgas kuģu būvētava (RKB1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: RKB1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,78;0,78;0,78;0,78;0,77;0,78;1,85%;0,78;0,80;1;50;39,13;
2008-05-20;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,78;0,80;0;0;0,00;
2008-05-21;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,78;0,80;0;0;0,00;
2008-05-22;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,78;0,80;0;0;0,00;
2008-05-23;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,78;0,80;0;0;0,00;
2008-05-26;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,78;0,80;0;0;0,00;
2008-05-27;0,78;0,78;0,78;0,78;0,78;0,78;0,00%;0,78;0,80;2;750;586,93;
2008-05-28;0,78;0,78;0,78;0,78;0,78;0,78;0,00%;0,77;0,80;3;2125;1662,98;
2008-05-29;0,77;0,77;0,77;0,77;0,78;0,77;-1,82%;0,77;0,80;1;90;69,15;
2008-05-30;0,00;0,77;0,00;0,00;0,77;0,77;0,00%;0,78;0,80;0;0;0,00;
2008-06-02;0,76;0,71;0,78;0,71;0,77;0,78;1,85%;0,77;0,78;20;7950;6005,94;
2008-06-03;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,78;0,80;0;0;0,00;
2008-06-04;0,77;0,77;0,77;0,77;0,78;0,77;-1,82%;0,77;0,80;1;1;0,77;
2008-06-05;0,79;0,78;0,80;0,78;0,77;0,80;3,70%;0,77;0,80;2;1500;1177,84;
2008-06-06;0,00;0,80;0,00;0,00;0,80;0,80;0,00%;0,78;0,80;0;0;0,00;
2008-06-09;0,80;0,80;0,81;0,80;0,80;0,81;1,79%;0,81;0,83;3;5591;4499,35;
2008-06-10;0,81;0,81;0,81;0,81;0,81;0,81;0,00%;0,78;0,81;1;3000;2433,11;
2008-06-11;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,80;0,83;0;0;0,00;
2008-06-12;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,80;0,81;0;0;0,00;
2008-06-13;0,81;0,81;0,81;0,81;0,81;0,81;0,00%;0,81;0,83;2;2000;1622,07;
2008-06-16;0,83;0,83;0,83;0,83;0,81;0,83;1,75%;0,81;0,83;1;1000;825,27;
2008-06-17;0,00;0,83;0,00;0,00;0,83;0,83;0,00%;0,81;0,83;0;0;0,00;
2008-06-18;0,83;0,83;0,85;0,83;0,83;0,85;3,45%;0,84;0,85;10;4700;3895,81;
2008-06-19;0,84;0,84;0,84;0,84;0,85;0,84;-1,67%;0,83;0,84;1;200;167,90;
2008-06-20;0,84;0,84;0,84;0,84;0,84;0,84;0,00%;0,83;0,84;1;100;83,95;
2008-06-25;0,85;0,85;0,85;0,85;0,84;0,85;1,69%;0,83;0,84;3;3000;2561,17;
2008-06-26;0,84;0,84;0,84;0,84;0,85;0,84;-1,67%;0,84;0,85;1;300;251,85;
2008-06-27;0,84;0,84;0,84;0,84;0,84;0,84;0,00%;0,84;0,85;4;850;713,57;
2008-06-30;0,84;0,84;0,85;0,84;0,84;0,85;1,69%;0,83;0,85;3;360;303,68;
2008-07-01;0,84;0,83;0,84;0,83;0,85;0,84;-1,67%;0,81;0,84;6;1312;1096,98;
2008-07-02;0,00;0,84;0,00;0,00;0,84;0,84;0,00%;0,81;0,84;0;0;0,00;
2008-07-03;0,00;0,84;0,00;0,00;0,84;0,84;0,00%;0,81;0,84;0;0;0,00;
2008-07-04;0,00;0,84;0,00;0,00;0,84;0,84;0,00%;0,81;0,84;0;0;0,00;
2008-07-07;0,00;0,84;0,00;0,00;0,84;0,84;0,00%;0,81;0,83;0;0;0,00;
2008-07-08;0,00;0,84;0,00;0,00;0,84;0,84;0,00%;0,81;0,84;0;0;0,00;
2008-07-09;0,00;0,84;0,00;0,00;0,84;0,84;0,00%;0,80;0,83;0;0;0,00;
2008-07-10;0,80;0,80;0,80;0,80;0,84;0,80;-5,08%;0,80;0,81;1;1363;1086,05;
2008-07-11;0,00;0,80;0,00;0,00;0,80;0,80;0,00%;0,78;0,80;0;0;0,00;
2008-07-14;0,78;0,80;0,80;0,75;0,80;0,75;-5,36%;0,75;0,78;7;4150;3243,44;
2008-07-15;0,75;0,75;0,75;0,75;0,75;0,75;0,00%;0,74;0,75;1;3000;2262,37;
2008-07-16;0,00;0,75;0,00;0,00;0,75;0,75;0,00%;0,74;0,75;0;0;0,00;
2008-07-17;0,73;0,73;0,74;0,71;0,75;0,71;-5,66%;0,71;0,74;7;6442;4686,88;
2008-07-18;0,00;0,71;0,00;0,00;0,71;0,71;0,00%;0,71;0,74;0;0;0,00;
2008-07-21;0,73;0,73;0,73;0,73;0,71;0,73;2,00%;0,71;0,73;1;1100;798,23;
2008-07-22;0,70;0,71;0,71;0,68;0,73;0,68;-5,88%;0,68;0,70;7;3800;2652,23;
2008-07-23;0,68;0,68;0,68;0,68;0,68;0,68;0,00%;0,68;0,70;1;102;69,66;
2008-07-24;0,70;0,70;0,70;0,70;0,68;0,70;2,08%;0,68;0,70;2;1400;976,09;
2008-07-25;0,70;0,70;0,70;0,70;0,70;0,70;0,00%;0,68;0,70;3;6572;4582,05;
2008-07-28;0,68;0,68;0,68;0,67;0,70;0,67;-4,08%;0,67;0,70;4;1398;950,54;
2008-07-29;0,68;0,68;0,68;0,67;0,67;0,67;0,00%;0,67;0,68;3;600;408,36;
2008-07-30;0,66;0,67;0,67;0,65;0,67;0,67;0,00%;0,64;0,65;10;7220;4784,26;
2008-07-31;0,00;0,67;0,00;0,00;0,67;0,67;0,00%;0,64;0,65;0;0;0,00;
2008-08-01;0,63;0,64;0,64;0,63;0,67;0,63;-6,38%;0,61;0,63;9;5160;3252,54;
2008-08-04;0,61;0,61;0,61;0,60;0,63;0,60;-4,55%;0,60;0,61;5;3260;1994,44;
2008-08-05;0,57;0,58;0,58;0,55;0,60;0,55;-7,14%;0,55;0,57;10;9600;5518,61;
2008-08-06;0,59;0,57;0,60;0,57;0,55;0,60;7,69%;0,57;0,60;3;500;295,96;
2008-08-07;0,58;0,57;0,58;0,57;0,60;0,58;-2,38%;0,57;0,60;5;2500;1451,33;
2008-08-08;0,57;0,57;0,57;0,57;0,58;0,57;-2,44%;0,55;0,57;2;4650;2646,54;
2008-08-11;0,00;0,57;0,00;0,00;0,57;0,57;0,00%;0,55;0,57;0;0;0,00;
2008-08-12;0,60;0,60;0,60;0,60;0,57;0,60;5,00%;0,57;0,60;3;2000;1195,21;
2008-08-13;0,57;0,57;0,57;0,57;0,60;0,57;-4,76%;0,54;0,57;4;3300;1878,19;
2008-08-14;0,57;0,57;0,57;0,57;0,57;0,57;0,00%;0,55;0,57;1;3000;1707,45;
2008-08-15;0,63;0,57;0,65;0,57;0,57;0,65;15,00%;0,64;0,65;30;37566;23629,92;
2008-08-18;0,67;0,67;0,67;0,67;0,65;0,67;2,17%;0,64;0,67;2;900;601,87;
2008-08-19;0,00;0,67;0,00;0,00;0,67;0,67;0,00%;0,64;0,67;0;0;0,00;
2008-08-20;0,00;0,67;0,00;0,00;0,67;0,67;0,00%;0,64;0,67;0;0;0,00;
2008-08-21;0,00;0,67;0,00;0,00;0,67;0,67;0,00%;0,64;0,67;0;0;0,00;
2008-08-22;0,65;0,65;0,65;0,65;0,67;0,65;-2,13%;0,65;0,67;2;809;529,51;
2008-08-25;0,00;0,65;0,00;0,00;0,65;0,65;0,00%;0,64;0,67;0;0;0,00;
2008-08-26;0,00;0,65;0,00;0,00;0,65;0,65;0,00%;0,64;0,67;0;0;0,00;
2008-08-27;0,67;0,65;0,67;0,65;0,65;0,67;2,17%;0,65;0,67;7;6700;4466,39;
2008-08-28;0,67;0,67;0,67;0,67;0,67;0,67;0,00%;0,65;0,67;1;1000;668,75;
2008-08-29;0,67;0,67;0,67;0,67;0,67;0,67;0,00%;0,65;0,67;3;1900;1270,62;
2008-09-01;0,67;0,67;0,68;0,67;0,67;0,68;2,13%;0,65;0,68;4;6710;4487,45;
2008-09-02;0,65;0,65;0,65;0,63;0,68;0,63;-8,33%;0,60;0,63;9;11300;7303,60;
