SECURITY DETAIL VIEW (EQUITY)
SAF Tehnika (SAF1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: SAF1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;1,46;1,47;1,48;1,45;1,47;1,45;-0,97%;1,44;1,47;4;800;1164,01;
2008-05-20;1,48;1,47;1,48;1,47;1,45;1,48;1,96%;1,45;1,48;4;943;1392,59;
2008-05-21;1,46;1,47;1,47;1,45;1,48;1,45;-1,92%;1,45;1,47;2;100;145,84;
2008-05-22;0,00;1,45;0,00;0,00;1,45;1,45;0,00%;1,45;1,49;0;0;0,00;
2008-05-23;0,00;1,45;0,00;0,00;1,45;1,45;0,00%;1,45;1,49;0;0;0,00;
2008-05-26;1,47;1,47;1,47;1,47;1,45;1,47;0,98%;1,45;1,49;1;800;1172,45;
2008-05-27;1,48;1,48;1,48;1,48;1,47;1,48;0,97%;1,45;1,48;1;200;295,96;
2008-05-28;1,47;1,47;1,47;1,47;1,48;1,47;-0,96%;1,47;1,49;1;25;36,64;
2008-05-29;1,46;1,47;1,47;1,45;1,47;1,45;-0,97%;1,45;1,47;3;300;438,24;
2008-05-30;1,43;1,45;1,45;1,42;1,45;1,45;0,00%;1,44;1,45;16;3210;4599,86;
2008-06-02;1,40;1,42;1,42;1,38;1,45;1,39;-3,92%;1,37;1,41;15;2965;4144,83;
2008-06-03;1,47;1,47;1,47;1,47;1,39;1,47;5,10%;1,42;1,47;1;300;439,67;
2008-06-04;1,39;1,39;1,41;1,37;1,47;1,41;-3,88%;1,41;1,42;20;3436;4787,84;
2008-06-05;1,43;1,42;1,44;1,42;1,41;1,44;2,02%;1,42;1,44;2;300;430,28;
2008-06-06;0,00;1,44;0,00;0,00;1,44;1,44;0,00%;1,41;1,44;0;0;0,00;
2008-06-09;0,00;1,44;0,00;0,00;1,44;1,44;0,00%;1,39;1,42;0;0;0,00;
2008-06-10;1,44;1,44;1,44;1,44;1,44;1,44;0,00%;1,41;1,44;1;100;143,71;
2008-06-11;0,00;1,44;0,00;0,00;1,44;1,44;0,00%;1,42;1,45;0;0;0,00;
2008-06-12;1,45;1,44;1,45;1,44;1,44;1,45;0,99%;1,42;1,45;5;700;1013,08;
2008-06-13;1,47;1,47;1,47;1,47;1,45;1,47;0,98%;1,44;1,47;1;200;293,11;
2008-06-16;1,41;1,44;1,44;1,37;1,47;1,39;-4,85%;1,39;1,41;16;2400;3382,17;
2008-06-17;0,00;1,39;0,00;0,00;1,39;1,39;0,00%;1,41;1,42;0;0;0,00;
2008-06-18;1,41;1,42;1,42;1,41;1,39;1,41;1,02%;1,39;1,41;5;750;1057,91;
2008-06-19;1,41;1,41;1,41;1,41;1,41;1,41;0,00%;1,41;1,42;1;12;16,90;
2008-06-20;1,41;1,41;1,41;1,41;1,41;1,41;0,00%;1,41;1,42;4;450;633,89;
2008-06-25;0,00;1,41;0,00;0,00;1,41;1,41;0,00%;1,39;1,41;0;0;0,00;
2008-06-26;0,00;1,41;0,00;0,00;1,41;1,41;0,00%;1,39;1,41;0;0;0,00;
2008-06-27;0,00;1,41;0,00;0,00;1,41;1,41;0,00%;1,39;1,42;0;0;0,00;
