SECURITY DETAIL VIEW (EQUITY)
Ventspils nafta (VNF1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: VNF1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,85;2,85;2,85;2,85;2,89;2,85;-1,48%;2,85;2,93;5;271;771,20;
2008-05-20;2,85;2,85;2,85;2,85;2,85;2,85;0,00%;2,85;2,95;1;77;219,12;
2008-05-21;2,86;2,86;2,86;2,86;2,85;2,86;0,50%;2,86;2,89;2;81;231,66;
2008-05-22;2,86;2,86;2,86;2,86;2,86;2,86;0,00%;2,86;2,95;4;144;411,84;
2008-05-23;2,85;2,86;2,86;2,85;2,86;2,85;-0,50%;2,85;2,90;8;918;2612,82;
2008-05-26;2,83;2,82;2,85;2,80;2,85;2,85;0,00%;2,85;2,89;12;478;1351,81;
2008-05-27;2,84;2,85;2,85;2,82;2,85;2,82;-1,00%;2,82;2,85;11;628;1785,80;
2008-05-28;2,85;2,85;2,86;2,85;2,82;2,85;1,01%;2,85;2,90;4;77;219,28;
2008-05-29;2,86;2,85;2,87;2,83;2,85;2,83;-0,50%;2,82;2,86;14;440;1259,09;
2008-05-30;2,82;2,82;2,82;2,82;2,83;2,82;-0,50%;2,82;2,83;5;118;332,44;
2008-06-02;2,79;2,80;2,80;2,77;2,82;2,77;-1,52%;2,77;2,80;8;70716;196253,29;
2008-06-03;2,77;2,77;2,77;2,77;2,77;2,77;0,00%;2,77;2,80;3;36;99,89;
2008-06-04;2,77;2,77;2,77;2,77;2,77;2,77;0,00%;2,77;2,80;3;119;330,18;
2008-06-05;2,78;2,77;2,79;2,77;2,77;2,77;0,00%;2,77;2,82;6;297;824,58;
2008-06-06;2,77;2,77;2,77;2,77;2,77;2,77;0,00%;2,77;2,82;4;560;1553,78;
2008-06-09;2,77;2,77;2,77;2,77;2,77;2,77;0,00%;2,77;2,82;3;112;310,76;
2008-06-10;2,77;2,77;2,77;2,77;2,77;2,77;0,00%;2,77;2,82;2;100;277,46;
2008-06-11;0,00;2,77;0,00;0,00;2,77;2,77;0,00%;2,77;2,82;0;0;0,00;
2008-06-12;2,78;2,77;2,79;2,77;2,77;2,77;0,00%;2,77;2,80;6;303;840,92;
2008-06-13;2,77;2,77;2,77;2,77;2,77;2,77;0,00%;2,77;2,82;1;60;166,48;
2008-06-16;2,85;2,76;2,87;2,76;2,77;2,85;2,56%;2,85;2,96;15;11919;33952,55;
2008-06-17;2,87;2,90;2,90;2,86;2,85;2,86;0,50%;2,86;2,90;4;167;478,75;
2008-06-18;2,85;2,86;2,86;2,85;2,86;2,85;-0,50%;2,83;2,85;10;199;567,73;
2008-06-19;2,84;2,83;2,85;2,83;2,85;2,85;0,00%;2,85;2,86;4;156;443,41;
2008-06-20;2,85;2,85;2,85;2,85;2,85;2,85;0,00%;2,85;2,86;2;58;165,05;
2008-06-25;2,85;2,85;2,85;2,85;2,85;2,85;0,00%;2,85;2,86;4;103;293,11;
2008-06-26;2,84;2,85;2,85;2,83;2,85;2,83;-0,50%;2,82;2,83;12;368;1044,99;
2008-06-27;2,85;2,85;2,86;2,85;2,83;2,85;0,50%;2,85;2,86;5;53;150,87;
2008-06-30;2,80;2,83;2,83;2,77;2,85;2,77;-2,50%;2,77;2,80;11;978;2741,16;
2008-07-01;2,84;2,82;2,85;2,82;2,77;2,82;1,54%;2,82;2,85;14;1116;3168,93;
2008-07-02;2,79;2,80;2,80;2,77;2,82;2,77;-1,52%;2,77;2,82;8;282;786,04;
2008-07-03;2,82;2,77;2,83;2,77;2,77;2,83;2,05%;2,83;2,85;11;2433;6868,63;
2008-07-04;2,83;2,83;2,83;2,83;2,83;2,83;0,00%;2,83;2,85;2;10052;28462,39;
2008-07-07;2,81;2,83;2,83;2,79;2,83;2,79;-1,51%;2,79;2,83;5;59;165,59;
2008-07-08;2,78;2,79;2,79;2,77;2,79;2,77;-0,51%;2,77;2,79;5;140;389,80;
2008-07-09;2,75;2,77;2,77;2,73;2,77;2,73;-1,54%;2,73;2,76;7;210;577,97;
2008-07-10;2,74;2,75;2,76;2,73;2,73;2,73;0,00%;2,73;2,76;9;1133;3105,25;
2008-07-11;2,80;2,80;2,82;2,80;2,73;2,82;3,13%;2,82;2,83;15;8307;23286,49;
2008-07-14;2,83;2,79;2,83;2,79;2,82;2,83;0,51%;2,80;2,86;5;538;1521,22;
