SECURITY DETAIL VIEW (EQUITY)
Valmieras stikla šķiedra (VSS1R)
Period: 2008-05-19 - 2008-11-19
Currency: LVL
Marketplace: RSE
Name: VSS1R
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,78;0,81;0;0;0,00;
2008-05-20;0,81;0,81;0,81;0,81;0,81;0,81;0,00%;0,80;0,81;2;100;81,10;
2008-05-21;0,81;0,81;0,81;0,81;0,81;0,81;0,00%;0,78;0,81;2;800;648,83;
2008-05-22;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,78;0,81;0;0;0,00;
2008-05-23;0,81;0,81;0,81;0,81;0,81;0,81;0,00%;0,78;0,81;1;500;405,52;
2008-05-26;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,78;0,81;0;0;0,00;
2008-05-27;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,78;0,80;0;0;0,00;
2008-05-28;0,78;0,78;0,78;0,78;0,81;0,78;-3,51%;0,78;0,81;1;22;17,22;
2008-05-29;0,81;0,81;0,81;0,81;0,78;0,81;3,64%;0,78;0,81;2;400;324,41;
2008-05-30;0,81;0,81;0,84;0,78;0,81;0,81;0,00%;0,78;0,81;23;12790;10341,86;
2008-06-02;0,78;0,78;0,78;0,78;0,81;0,78;-3,51%;0,77;0,78;6;2200;1721,67;
2008-06-03;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,77;0,78;0;0;0,00;
2008-06-04;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,77;0,78;0;0;0,00;
2008-06-05;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,77;0,78;0;0;0,00;
2008-06-06;0,78;0,78;0,78;0,78;0,78;0,78;0,00%;0,77;0,78;7;2750;2152,09;
2008-06-09;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,77;0,78;0;0;0,00;
2008-06-10;0,78;0,78;0,78;0,78;0,78;0,78;0,00%;0,77;0,78;1;550;430,42;
2008-06-11;0,78;0,78;0,78;0,78;0,78;0,78;0,00%;0,77;0,78;1;700;547,81;
2008-06-12;0,79;0,78;0,80;0,77;0,78;0,77;-1,82%;0,77;0,78;14;4725;3729,35;
2008-06-13;0,00;0,77;0,00;0,00;0,77;0,77;0,00%;0,77;0,78;0;0;0,00;
2008-06-16;0,78;0,78;0,78;0,78;0,77;0,78;1,85%;0,78;0,80;6;3100;2426,00;
2008-06-17;0,80;0,80;0,80;0,80;0,78;0,80;1,82%;0,78;0,80;3;800;637,45;
2008-06-18;0,77;0,80;0,80;0,77;0,80;0,77;-3,57%;0,77;0,78;10;4300;3323,83;
2008-06-19;0,81;0,78;0,81;0,78;0,77;0,81;5,56%;0,80;0,81;21;10460;8427,10;
2008-06-20;0,81;0,81;0,81;0,80;0,81;0,81;0,00%;0,80;0,81;10;6330;5112,52;
2008-06-25;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,80;0,81;0;0;0,00;
2008-06-26;0,81;0,81;0,81;0,81;0,81;0,81;0,00%;0,80;0,81;3;3000;2433,11;
2008-06-27;0,79;0,81;0,81;0,77;0,81;0,77;-5,26%;0,77;0,78;13;7700;6069,97;
2008-06-30;0,00;0,77;0,00;0,00;0,77;0,77;0,00%;0,75;0,78;0;0;0,00;
2008-07-01;0,77;0,77;0,77;0,77;0,77;0,77;0,00%;0,75;0,78;2;700;537,85;
2008-07-02;0,78;0,78;0,78;0,78;0,77;0,78;1,85%;0,77;0,78;1;1000;782,58;
