SECURITY DETAIL VIEW (EQUITY)
Alita (ALT1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: ALT1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;0,91;0,00;0,00;0,91;0,91;0,00%;0,00;0,87;0;0;0,00;
2008-05-20;0,00;0,91;0,00;0,00;0,91;0,91;0,00%;0,74;0,87;0;0;0,00;
2008-05-21;0,00;0,91;0,00;0,00;0,91;0,91;0,00%;0,75;0,87;0;0;0,00;
2008-05-22;0,77;0,76;0,87;0,76;0,91;0,87;-4,76%;0,77;0,87;2;1315;1017,44;
2008-05-23;0,00;0,87;0,00;0,00;0,87;0,87;0,00%;0,74;0,87;0;0;0,00;
2008-05-26;0,74;0,74;0,74;0,74;0,87;0,74;-14,33%;0,75;0,87;2;1638;1214,49;
2008-05-27;0,00;0,74;0,00;0,00;0,74;0,74;0,00%;0,75;0,00;0;0;0,00;
2008-05-28;0,00;0,74;0,00;0,00;0,74;0,74;0,00%;0,74;0,00;0;0;0,00;
2008-05-29;0,74;0,75;0,75;0,73;0,74;0,73;-1,95%;0,75;0,75;3;2000;1481,16;
2008-05-30;0,00;0,73;0,00;0,00;0,73;0,73;0,00%;0,75;0,84;0;0;0,00;
2008-06-02;0,74;0,75;0,75;0,72;0,73;0,72;-0,79%;0,64;0,75;6;1698;1255,17;
2008-06-03;0,72;0,72;0,72;0,72;0,72;0,72;0,00%;0,72;0,72;1;500;362,03;
2008-06-04;0,71;0,72;0,72;0,71;0,72;0,71;-2,00%;0,67;0,71;2;88;62,66;
2008-06-05;0,67;0,67;0,67;0,67;0,71;0,67;-6,12%;0,67;0,71;2;1400;932,58;
2008-06-06;0,70;0,71;0,71;0,68;0,67;0,68;2,17%;0,70;0,76;9;3357;2345,86;
2008-06-09;0,00;0,68;0,00;0,00;0,68;0,68;0,00%;0,64;0,70;0;0;0,00;
2008-06-10;0,00;0,68;0,00;0,00;0,68;0,68;0,00%;0,65;0,70;0;0;0,00;
2008-06-11;0,65;0,64;0,65;0,64;0,68;0,65;-4,26%;0,65;0,69;5;3001;1948,91;
2008-06-12;0,65;0,65;0,65;0,65;0,65;0,65;0,00%;0,64;0,65;1;900;586,48;
2008-06-13;0,65;0,65;0,65;0,65;0,65;0,65;0,00%;0,64;0,69;1;1300;847,14;
2008-06-16;0,61;0,61;0,62;0,61;0,65;0,62;-4,44%;0,61;0,69;8;4400;2705,05;
2008-06-17;0,00;0,62;0,00;0,00;0,62;0,62;0,00%;0,61;0,69;0;0;0,00;
2008-06-18;0,69;0,69;0,69;0,69;0,62;0,69;11,16%;0,61;0,69;1;107;74,06;
2008-06-19;0,62;0,60;0,69;0,60;0,69;0,69;0,00%;0,64;0,69;2;25;15,58;
2008-06-20;0,66;0,68;0,68;0,64;0,69;0,64;-7,95%;0,61;0,64;5;1707;1118,76;
2008-06-25;0,00;0,64;0,00;0,00;0,64;0,64;0,00%;0,60;0,69;0;0;0,00;
2008-06-26;0,00;0,64;0,00;0,00;0,64;0,64;0,00%;0,64;0,69;0;0;0,00;
2008-06-27;0,63;0,69;0,69;0,62;0,64;0,62;-2,27%;0,60;0,62;3;750;470,49;
2008-06-30;0,00;0,62;0,00;0,00;0,62;0,62;0,00%;0,61;0,69;0;0;0,00;
2008-07-01;0,00;0,62;0,00;0,00;0,62;0,62;0,00%;0,59;0,62;0;0;0,00;
2008-07-02;0,62;0,62;0,62;0,62;0,62;0,62;0,00%;0,61;0,62;2;1000;622,68;
2008-07-03;0,00;0,62;0,00;0,00;0,62;0,62;0,00%;0,59;0,62;0;0;0,00;
2008-07-04;0,62;0,61;0,62;0,61;0,62;0,62;0,00%;0,61;0,62;4;177;109,17;
2008-07-07;0,00;0,62;0,00;0,00;0,62;0,62;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,00;0,62;0,00;0,00;0,62;0,62;0,00%;0,61;0,63;0;0;0,00;
2008-07-09;0,61;0,61;0,61;0,61;0,62;0,61;-1,40%;0,61;0,62;1;2000;1227,99;
2008-07-10;0,00;0,61;0,00;0,00;0,61;0,61;0,00%;0,61;0,62;0;0;0,00;
2008-07-11;0,00;0,61;0,00;0,00;0,61;0,61;0,00%;0,61;0,62;0;0;0,00;
2008-07-14;0,61;0,61;0,61;0,61;0,61;0,61;0,00%;0,61;0,62;2;1000;613,99;
2008-07-15;0,00;0,61;0,00;0,00;0,61;0,61;0,00%;0,61;0,62;0;0;0,00;
2008-07-16;0,00;0,61;0,00;0,00;0,61;0,61;0,00%;0,61;0,62;0;0;0,00;
2008-07-17;0,00;0,61;0,00;0,00;0,61;0,61;0,00%;0,61;0,62;0;0;0,00;
2008-07-18;0,00;0,61;0,00;0,00;0,61;0,61;0,00%;0,61;0,62;0;0;0,00;
2008-07-21;0,61;0,61;0,61;0,61;0,61;0,61;-0,94%;0,52;0,61;2;228;139,83;
2008-07-22;0,62;0,62;0,62;0,62;0,61;0,62;2,38%;0,00;0,62;1;200;124,54;
2008-07-23;0,00;0,62;0,00;0,00;0,62;0,62;0,00%;0,53;0,61;0;0;0,00;
2008-07-24;0,62;0,62;0,62;0,62;0,62;0,62;-0,93%;0,62;0,62;2;200;123,38;
2008-07-25;0,58;0,58;0,64;0,58;0,62;0,64;3,29%;0,58;0,64;2;292;170,30;
2008-07-28;0,54;0,63;0,63;0,54;0,64;0,62;-2,27%;0,56;0,62;3;4148;2259,77;
2008-07-29;0,00;0,62;0,00;0,00;0,62;0,62;0,00%;0,58;0,62;0;0;0,00;
2008-07-30;0,58;0,58;0,58;0,58;0,62;0,58;-6,98%;0,54;0,61;1;1000;579,24;
2008-07-31;0,00;0,58;0,00;0,00;0,58;0,58;0,00%;0,58;0,62;0;0;0,00;
2008-08-01;0,00;0,58;0,00;0,00;0,58;0,58;0,00%;0,51;0,62;0;0;0,00;
2008-08-04;0,00;0,58;0,00;0,00;0,58;0,58;0,00%;0,52;0,61;0;0;0,00;
2008-08-05;0,58;0,58;0,58;0,58;0,58;0,58;0,00%;0,52;0,58;1;1000;579,24;
2008-08-06;0,56;0,58;0,58;0,52;0,58;0,52;-10,00%;0,51;0,56;4;3600;2023,00;
2008-08-07;0,51;0,52;0,52;0,51;0,52;0,51;-2,22%;0,49;0,57;10;4637;2377,82;
2008-08-08;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,45;0,52;0;0;0,00;
2008-08-11;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,49;0,57;0;0;0,00;
2008-08-12;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,50;0,52;0;0;0,00;
2008-08-13;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,50;0,57;0;0;0,00;
2008-08-14;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,50;0,57;0;0;0,00;
2008-08-15;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,00;0,00;0;0;0,00;
2008-08-18;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,50;0,55;0;0;0,00;
2008-08-19;0,51;0,51;0,55;0,51;0,51;0,51;0,00%;0,50;0,54;7;25067;12747,19;
2008-08-20;0,52;0,54;0,54;0,52;0,51;0,54;5,11%;0,54;0,55;10;11111;5809,87;
2008-08-21;0,55;0,54;0,57;0,54;0,54;0,57;5,95%;0,54;0,57;6;9016;5060,99;
