SECURITY DETAIL VIEW (EQUITY)
Apranga (APG1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: APG1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,42;2,53;2,53;2,38;2,49;2,39;-3,84%;2,39;2,40;74;32025;77456,16;
2008-05-20;2,34;2,40;2,40;2,29;2,39;2,36;-1,33%;2,32;2,36;72;26096;60973,09;
2008-05-21;2,33;2,36;2,36;2,32;2,36;2,33;-1,23%;2,33;2,34;29;10666;24867,53;
2008-05-22;2,29;2,33;2,33;2,29;2,33;2,29;-1,74%;2,29;2,29;52;19439;44576,55;
2008-05-23;2,30;2,29;2,36;2,26;2,29;2,36;3,03%;2,34;2,36;88;27357;62888,16;
2008-05-26;2,45;2,37;2,51;2,37;2,36;2,50;5,89%;2,50;2,51;80;16582;40675,12;
2008-05-27;2,55;2,54;2,61;2,50;2,50;2,52;0,81%;2,51;2,52;84;21078;53761,99;
2008-05-28;2,51;2,52;2,52;2,49;2,52;2,51;-0,57%;2,51;2,52;20;4657;11681,43;
2008-05-29;2,45;2,51;2,51;2,39;2,51;2,46;-1,73%;2,46;2,46;15;3104;7612,70;
2008-05-30;2,27;2,46;2,46;2,20;2,46;2,26;-8,24%;2,26;2,27;375;128329;291776,27;
2008-06-02;2,19;2,24;2,24;2,04;2,26;2,21;-2,31%;2,21;2,23;111;28601;62748,95;
2008-06-03;2,20;2,20;2,21;2,20;2,21;2,21;0,26%;2,21;2,22;18;3429;7555,57;
2008-06-04;2,18;2,20;2,20;2,17;2,21;2,18;-1,57%;2,18;2,18;57;17899;39039,10;
2008-06-05;2,17;2,18;2,19;2,15;2,18;2,17;-0,40%;2,15;2,17;57;21393;46431,70;
2008-06-06;2,22;2,17;2,26;2,17;2,17;2,26;4,14%;2,26;2,26;53;14251;31600,31;
2008-06-09;2,22;2,26;2,26;2,19;2,26;2,23;-1,28%;2,20;2,23;25;4379;9712,45;
2008-06-10;2,21;2,23;2,23;2,19;2,23;2,23;-0,13%;2,18;2,23;24;6752;14922,30;
2008-06-11;2,21;2,19;2,23;2,19;2,23;2,22;-0,52%;2,19;2,22;20;11561;25563,04;
2008-06-12;2,17;2,19;2,21;2,17;2,22;2,17;-2,09%;2,17;2,20;45;21843;47453,92;
2008-06-13;2,17;2,20;2,22;2,16;2,17;2,16;-0,27%;2,16;2,17;29;14400;31303,27;
2008-06-16;2,21;2,20;2,22;2,19;2,16;2,19;1,20%;2,19;2,20;21;6328;13973,77;
2008-06-17;2,17;2,19;2,19;2,17;2,19;2,18;-0,66%;2,17;2,18;17;4584;9965,46;
2008-06-18;2,16;2,18;2,18;2,14;2,18;2,14;-1,46%;2,14;2,16;38;16574;35748,84;
2008-06-19;2,11;2,13;2,14;2,06;2,14;2,09;-2,30%;2,09;2,09;54;17037;35954,12;
2008-06-20;2,07;2,08;2,08;2,04;2,09;2,06;-1,80%;2,05;2,06;30;11433;23662,49;
2008-06-25;2,02;2,05;2,05;1,98;2,06;2,01;-2,11%;2,01;2,02;57;35606;72004,55;
2008-06-26;2,00;2,00;2,00;1,99;2,01;2,00;-0,72%;1,99;2,00;29;7042;14065,38;
2008-06-27;1,97;2,00;2,00;1,95;2,00;1,97;-1,30%;1,97;1,98;53;20104;39553,27;
2008-06-30;1,89;1,97;1,97;1,85;1,97;1,88;-4,55%;1,87;1,88;86;26742;50463,73;
2008-07-01;1,85;1,88;1,91;1,81;1,88;1,84;-2,46%;1,82;1,84;71;22195;40987,19;
2008-07-02;1,84;1,84;1,87;1,83;1,84;1,84;0,00%;1,84;1,84;64;21120;38923,82;
2008-07-03;1,78;1,84;1,85;1,74;1,84;1,76;-4,10%;1,76;1,79;64;18734;33394,00;
2008-07-04;1,74;1,74;1,75;1,71;1,76;1,75;-0,82%;1,74;1,75;54;22629;39328,19;
2008-07-07;0,00;1,75;0,00;0,00;1,75;1,75;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;1,70;1,74;1,74;1,68;1,75;1,68;-3,81%;1,65;1,68;48;14488;24693,96;
2008-07-09;1,70;1,69;1,71;1,66;1,68;1,68;-0,17%;1,67;1,68;81;55275;93796,53;
2008-07-10;1,68;1,68;1,69;1,68;1,68;1,68;0,00%;1,67;1,68;40;19649;33027,17;
2008-07-11;1,69;1,68;1,72;1,67;1,68;1,68;0,17%;1,67;1,68;66;66063;111165,43;
2008-07-14;1,67;1,70;1,70;1,67;1,68;1,67;-0,69%;1,67;1,68;27;6780;11341,75;
2008-07-15;1,63;1,67;1,67;1,60;1,67;1,64;-1,56%;1,62;1,64;25;9215;15037,33;
2008-07-16;1,58;1,64;1,64;1,55;1,64;1,58;-3,53%;1,58;1,59;55;50782;80846,08;
2008-07-17;1,55;1,59;1,59;1,51;1,58;1,51;-4,94%;1,49;1,51;61;31073;48039,71;
2008-07-18;1,55;1,52;1,59;1,52;1,51;1,56;3,46%;1,54;1,56;108;46142;71498,02;
