SECURITY DETAIL VIEW (EQUITY)
Agrowill Group (AVG1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: AVG1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;1,45;0,00;0,00;1,45;1,45;0,00%;1,43;1,45;1;35000;50683,50;
2008-05-20;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,43;1,45;1;200;289,62;
2008-05-21;1,45;1,45;1,46;1,45;1,45;1,46;0,80%;1,45;1,46;2;795;1154,72;
2008-05-22;1,45;1,45;1,45;1,45;1,46;1,45;-0,79%;1,45;1,46;1;200;289,62;
2008-05-23;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,43;1,46;2;1500;2172,15;
2008-05-26;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,43;1,46;1;200;289,62;
2008-05-27;1,46;1,46;1,46;1,46;1,45;1,46;1,00%;1,45;1,49;3;330;482,65;
2008-05-28;1,45;1,48;1,48;1,42;1,46;1,45;-0,99%;1,45;1,46;6;2000;2891,71;
2008-05-29;1,46;1,46;1,46;1,46;1,45;1,46;1,00%;1,45;1,46;1;22;32,18;
2008-05-30;1,46;1,46;1,46;1,46;1,46;1,46;0,00%;1,45;1,48;1;300;438,77;
2008-06-02;1,46;1,46;1,46;1,46;1,46;1,46;0,00%;1,45;1,51;2;760;1111,56;
2008-06-03;0,00;1,46;0,00;0,00;1,46;1,46;0,00%;1,46;1,51;0;0;0,00;
2008-06-04;1,49;1,49;1,49;1,49;1,46;1,49;1,98%;1,46;1,50;1;300;447,46;
2008-06-05;1,49;1,49;1,49;1,49;1,49;1,49;0,00%;1,49;1,52;1;300;447,46;
2008-06-06;1,49;1,49;1,49;1,49;1,49;1,49;0,19%;1,51;1,52;1;460;687,44;
2008-06-09;1,51;1,50;1,52;1,50;1,49;1,52;1,74%;1,51;1,53;3;150;226,92;
2008-06-10;1,66;1,55;1,74;1,53;1,52;1,61;5,71%;1,61;1,67;22;8895;14807,01;
2008-06-11;1,71;1,67;1,74;1,67;1,61;1,68;4,50%;1,65;1,68;8;2490;4251,97;
2008-06-12;1,68;1,68;1,68;1,68;1,68;1,68;0,00%;1,68;1,73;4;511;858,38;
2008-06-13;1,68;1,68;1,68;1,68;1,68;1,68;0,00%;1,62;1,68;1;42;70,55;
2008-06-16;1,68;1,68;1,68;1,68;1,68;1,68;0,00%;1,68;1,68;6;1600;2687,67;
2008-06-17;1,73;1,68;1,74;1,68;1,68;1,74;3,45%;1,71;1,74;26;8797;15262,67;
2008-06-18;1,75;1,74;1,80;1,73;1,74;1,76;1,50%;1,76;1,76;50;30999;54224,86;
2008-06-19;1,78;1,80;1,80;1,77;1,76;1,77;0,49%;1,75;1,77;10;4230;7534,49;
2008-06-20;1,77;1,77;1,79;1,74;1,77;1,74;-1,80%;1,74;1,77;12;4362;7720,66;
2008-06-25;1,74;1,75;1,76;1,74;1,74;1,76;1,16%;1,75;1,76;5;1513;2639,00;
2008-06-26;1,74;1,76;1,77;1,72;1,76;1,74;-1,32%;1,73;1,76;12;2963;5163,90;
2008-06-27;1,73;1,74;1,74;1,73;1,74;1,73;-0,67%;1,73;1,74;5;1800;3115,44;
2008-06-30;1,77;1,74;1,78;1,74;1,73;1,78;3,19%;1,77;1,78;29;8961;15861,04;
2008-07-01;1,80;1,80;1,81;1,78;1,78;1,78;0,16%;1,78;1,80;50;53605;96371,28;
2008-07-02;1,86;1,82;1,88;1,82;1,78;1,88;5,52%;1,88;1,88;81;64042;119222,39;
2008-07-03;1,98;1,97;2,14;1,88;1,88;2,02;7,08%;2,02;2,03;97;83183;164397,17;
2008-07-04;2,15;2,03;2,23;2,03;2,02;2,17;7,76%;2,16;2,17;299;149803;322380,31;
2008-07-07;0,00;2,17;0,00;0,00;2,17;2,17;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;2,16;2,19;2,23;2,03;2,17;2,14;-1,33%;2,14;2,14;134;55763;120195,07;
2008-07-09;2,15;2,14;2,18;2,09;2,14;2,14;0,00%;2,13;2,14;78;42889;92138,61;
2008-07-10;2,13;2,16;2,16;2,11;2,14;2,11;-1,35%;2,09;2,11;32;12630;26942,66;
2008-07-11;2,06;2,10;2,10;2,04;2,11;2,09;-1,23%;2,09;2,09;31;10767;22211,97;
2008-07-14;2,12;2,11;2,15;2,11;2,09;2,13;1,80%;2,11;2,14;37;11115;23548,57;
2008-07-15;2,06;2,13;2,13;2,06;2,13;2,06;-3,13%;2,06;2,06;39;83172;171265,28;
2008-07-16;1,92;2,03;2,04;1,84;2,06;1,90;-7,88%;1,87;1,90;78;73118;144617,66;
2008-07-17;1,89;1,88;1,93;1,87;1,90;1,92;1,07%;1,89;1,92;39;14387;27204,01;
2008-07-18;1,87;1,90;1,90;1,85;1,92;1,85;-3,47%;1,83;1,85;6;1884;3522,58;
2008-07-21;1,88;1,87;1,88;1,85;1,85;1,88;1,72%;1,85;1,88;16;7795;14635,70;
2008-07-22;1,83;1,87;1,87;1,80;1,88;1,80;-4,31%;1,80;1,82;34;12173;22276,29;
2008-07-23;1,79;1,79;1,80;1,77;1,80;1,80;-0,32%;1,78;1,80;20;13903;24851,25;
2008-07-24;1,80;1,81;1,82;1,80;1,80;1,80;0,16%;1,80;1,82;19;11593;20869,81;
2008-07-25;1,85;1,80;1,87;1,80;1,80;1,84;2,42%;1,84;1,85;25;207062;389570,72;
2008-07-28;1,85;1,86;1,86;1,82;1,84;1,84;-0,16%;1,82;1,84;14;39800;73241,05;
2008-07-29;1,83;1,85;1,85;1,80;1,84;1,80;-1,89%;1,80;1,82;25;11262;20589,21;
2008-07-30;1,80;1,80;1,81;1,80;1,80;1,80;-0,48%;1,80;1,82;19;31600;56783,20;
2008-07-31;1,85;1,80;1,90;1,80;1,80;1,88;4,84%;1,86;1,88;21;6865;12685,83;
2008-08-01;1,83;1,88;1,88;1,81;1,88;1,82;-3,08%;1,82;1,84;14;4969;9117,48;
2008-08-04;1,84;1,84;1,84;1,82;1,82;1,82;0,00%;1,82;1,84;3;550;1010,05;
2008-08-05;1,83;1,84;1,84;1,82;1,82;1,82;-0,16%;1,82;1,84;8;1813;3324,44;
