SECURITY DETAIL VIEW (EQUITY)
City Service AB (CTS1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: CTS1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,78;2,82;2,82;2,77;2,81;2,77;-1,55%;2,78;2,79;12;8219;22854,10;
2008-05-20;2,77;2,78;2,78;2,75;2,77;2,75;-0,52%;2,72;2,77;15;11310;31284,77;
2008-05-21;2,69;2,71;2,72;2,66;2,75;2,68;-2,63%;2,68;2,71;9;2576;6918,31;
2008-05-22;2,64;2,71;2,71;2,61;2,68;2,66;-0,54%;2,65;2,71;4;650;1718,24;
2008-05-23;2,73;2,74;2,75;2,68;2,66;2,71;1,63%;2,68;2,73;11;3000;8190,45;
2008-05-26;2,72;2,75;2,77;2,69;2,71;2,77;2,46%;2,72;2,77;12;2182;5934,02;
2008-05-27;2,78;2,78;2,81;2,77;2,77;2,77;-0,21%;2,77;2,78;17;9783;27190,52;
2008-05-28;2,79;2,77;2,81;2,75;2,77;2,81;1,46%;2,78;2,82;5;955;2659,80;
2008-05-29;2,76;2,79;2,79;2,75;2,81;2,75;-2,06%;2,73;2,78;5;619;1706,83;
2008-05-30;2,73;2,73;2,74;2,72;2,75;2,74;-0,53%;2,72;2,75;4;930;2535,30;
2008-06-02;2,74;2,75;2,75;2,74;2,74;2,74;0,00%;2,74;2,75;5;155;424,67;
2008-06-03;0,00;2,74;0,00;0,00;2,74;2,74;0,00%;2,72;2,74;0;0;0,00;
2008-06-04;2,73;2,74;2,86;2,72;2,74;2,84;3,70%;2,78;2,84;20;174423;476451,17;
2008-06-05;2,81;2,84;2,84;2,79;2,84;2,79;-1,53%;2,81;2,84;7;1140;3202,57;
2008-06-06;2,82;2,81;2,84;2,81;2,79;2,84;1,45%;2,83;2,84;7;1505;4251,20;
2008-06-09;2,79;2,81;2,81;2,78;2,84;2,78;-1,94%;2,78;2,82;12;4075;11364,89;
2008-06-10;2,78;2,78;2,78;2,75;2,78;2,75;-1,04%;2,75;2,79;6;895;2486,24;
2008-06-11;2,72;2,72;2,74;2,72;2,75;2,72;-1,05%;2,69;2,74;6;1980;5393,01;
2008-06-12;2,74;2,75;2,75;2,72;2,72;2,72;0,00%;2,71;2,74;5;1210;3311,52;
2008-06-13;2,72;2,72;2,74;2,72;2,72;2,72;0,00%;2,69;2,74;6;930;2533,60;
2008-06-16;2,70;2,71;2,71;2,69;2,72;2,69;-1,06%;2,69;2,72;2;181;487,97;
2008-06-17;2,69;2,69;2,69;2,69;2,69;2,69;-0,22%;2,69;2,74;3;200;538,06;
2008-06-18;2,72;2,69;2,78;2,69;2,69;2,78;3,45%;2,72;2,78;9;8653;23551,67;
2008-06-19;2,74;2,77;2,77;2,72;2,78;2,77;-0,52%;2,72;2,78;6;660;1808,10;
2008-06-20;2,81;2,77;2,84;2,77;2,77;2,84;2,83%;2,78;2,84;4;507;1426,30;
2008-06-25;2,78;2,78;2,78;2,78;2,84;2,78;-2,24%;2,75;2,81;1;200;556,07;
2008-06-26;2,75;2,75;2,75;2,75;2,78;2,75;-0,94%;2,75;2,76;1;90;247,89;
2008-06-27;2,75;2,75;2,75;2,75;2,75;2,75;-0,11%;2,75;2,77;2;700;1925,97;
2008-06-30;2,74;2,74;2,74;2,74;2,75;2,74;-0,53%;2,72;2,75;1;200;547,38;
2008-07-01;2,74;2,74;2,74;2,74;2,74;2,74;0,00%;2,74;2,75;2;150;410,54;
2008-07-02;2,73;2,73;2,73;2,73;2,74;2,73;-0,32%;2,73;2,75;2;220;600,21;
2008-07-03;2,72;2,72;2,74;2,69;2,73;2,69;-1,27%;2,65;2,71;5;1253;3412,56;
2008-07-04;2,65;2,67;2,67;2,65;2,69;2,65;-1,51%;2,65;2,68;5;196;520,25;
2008-07-07;0,00;2,65;0,00;0,00;2,65;2,65;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;2,63;2,64;2,64;2,61;2,65;2,61;-1,75%;2,55;2,63;9;1980;5199,24;
2008-07-09;2,54;2,55;2,55;2,52;2,61;2,52;-3,33%;2,49;2,52;10;3737;9482,62;
2008-07-10;2,45;2,49;2,49;2,37;2,52;2,37;-5,75%;2,37;2,43;6;1556;3817,54;
2008-07-11;2,34;2,35;2,43;2,27;2,37;2,40;1,22%;2,35;2,40;23;22721;56017,77;
2008-07-14;2,46;2,46;2,46;2,45;2,40;2,46;2,41%;2,43;2,52;14;2090;5140,55;
2008-07-15;2,44;2,49;2,49;2,39;2,46;2,40;-2,35%;2,40;2,45;7;1304;3184,66;
2008-07-16;2,40;2,40;2,40;2,32;2,40;2,39;-0,60%;2,35;2,40;13;19035;45605,74;
2008-07-17;2,40;2,40;2,40;2,40;2,39;2,40;0,61%;2,33;2,37;1;90;216,35;
2008-07-18;2,32;2,32;2,32;2,32;2,40;2,32;-3,61%;2,31;2,32;8;1235;2862,03;
2008-07-21;2,33;2,29;2,33;2,29;2,32;2,32;0,00%;2,32;2,34;5;871;2026,44;
2008-07-22;2,32;2,30;2,34;2,30;2,32;2,34;1,13%;2,26;2,34;8;2570;5973,84;
2008-07-23;2,29;2,29;2,29;2,29;2,34;2,29;-2,22%;2,29;2,33;1;100;229,09;
2008-07-24;2,35;2,36;2,37;2,32;2,29;2,32;1,14%;2,29;2,35;9;1642;3853,22;
2008-07-25;2,32;2,33;2,33;2,32;2,32;2,32;0,13%;2,32;2,33;3;489;1135,73;
2008-07-28;2,29;2,32;2,32;2,28;2,32;2,29;-1,50%;2,28;2,29;5;1139;2612,47;
2008-07-29;2,27;2,27;2,27;2,27;2,29;2,27;-0,51%;2,26;2,31;1;500;1136,76;
2008-07-30;2,32;2,31;2,32;2,31;2,27;2,32;2,17%;2,30;2,32;6;2120;4915,78;
2008-07-31;2,34;2,29;2,39;2,29;2,32;2,39;2,87%;2,37;2,40;10;1591;3715,85;
2008-08-01;2,38;2,40;2,40;2,33;2,39;2,33;-2,42%;2,34;2,39;3;381;906,39;
2008-08-04;2,33;2,30;2,33;2,30;2,33;2,33;0,12%;2,30;2,38;2;537;1248,70;
2008-08-05;2,34;2,32;2,38;2,32;2,33;2,32;-0,74%;2,30;2,37;3;383;897,61;
2008-08-06;0,00;2,32;0,00;0,00;2,32;2,32;0,00%;2,33;2,37;0;0;0,00;
2008-08-07;2,33;2,33;2,33;2,33;2,32;2,33;0,75%;2,29;2,33;1;370;863,70;
2008-08-08;0,00;2,33;0,00;0,00;2,33;2,33;0,00%;2,30;2,33;0;0;0,00;
2008-08-11;2,32;2,32;2,32;2,32;2,33;2,32;-0,50%;2,30;2,32;1;5;11,61;
2008-08-12;2,33;2,33;2,33;2,33;2,32;2,33;0,37%;2,32;2,37;2;390;909,26;
2008-08-13;2,30;2,32;2,32;2,29;2,33;2,29;-1,86%;2,29;2,32;18;4588;10552,36;
2008-08-14;2,29;2,29;2,29;2,29;2,29;2,29;0,00%;2,29;2,32;6;1500;3432,00;
2008-08-15;0,00;2,29;0,00;0,00;2,29;2,29;0,00%;0,00;0,00;0;0;0,00;
2008-08-18;2,33;2,32;2,38;2,30;2,29;2,30;0,63%;2,29;2,30;6;610;1419,52;
2008-08-19;2,29;2,29;2,30;2,29;2,30;2,29;-0,63%;2,27;2,30;7;16156;37114,05;
2008-08-20;2,31;2,30;2,32;2,30;2,29;2,32;1,27%;2,32;2,37;6;2100;4851,14;
2008-08-21;2,36;2,34;2,38;2,34;2,32;2,38;2,75%;2,33;2,40;6;6111;14420,24;
2008-08-22;2,38;2,40;2,40;2,35;2,38;2,39;0,49%;2,39;2,40;18;7771;18488,92;
2008-08-25;2,52;2,40;2,61;2,40;2,39;2,49;4,12%;2,49;2,52;18;9204;23175,47;
2008-08-26;2,49;2,49;2,56;2,43;2,49;2,43;-2,33%;2,43;2,49;8;1160;2888,25;
2008-08-27;2,46;2,46;2,46;2,46;2,43;2,46;1,19%;2,43;2,46;1;100;246,18;
2008-08-28;2,43;2,43;2,43;2,42;2,46;2,42;-1,76%;2,43;2,49;6;1500;3645,59;
2008-08-29;2,44;2,43;2,46;2,42;2,42;2,46;1,80%;2,43;2,46;8;7786;19126,26;
2008-09-01;2,53;2,47;2,61;2,47;2,46;2,51;1,76%;2,51;2,56;11;2181;5521,42;
2008-09-02;2,52;2,52;2,60;2,51;2,51;2,60;3,82%;2,51;2,59;8;900;2266,21;
2008-09-03;2,58;2,60;2,60;2,52;2,60;2,58;-0,89%;2,52;2,60;9;1695;4371,55;
2008-09-04;2,51;2,52;2,52;2,49;2,58;2,51;-2,81%;2,51;2,55;11;27750;71342,97;
2008-09-05;2,49;2,49;2,49;2,49;2,51;2,49;-0,58%;2,46;2,49;5;900;2241,66;
2008-09-08;2,49;2,49;2,49;2,49;2,49;2,49;0,00%;2,49;2,54;3;1600;3985,17;
2008-09-09;2,52;2,52;2,52;2,52;2,49;2,52;1,16%;2,49;2,55;5;1745;4396,87;
2008-09-10;2,52;2,52;2,52;2,52;2,52;2,52;0,00%;2,46;2,53;1;5229;13175,48;
2008-09-11;2,50;2,51;2,52;2,48;2,52;2,52;0,00%;2,48;2,52;10;3024;7567,76;
2008-09-12;2,52;2,52;2,52;2,52;2,52;2,52;0,00%;2,46;2,52;1;200;503,94;
2008-09-15;2,34;2,46;2,46;2,29;2,52;2,32;-7,93%;2,32;2,33;11;2320;5432,55;
2008-09-16;2,32;2,35;2,35;2,30;2,32;2,30;-0,75%;2,30;2,31;14;1934;4488,98;
2008-09-17;2,28;2,33;2,33;2,24;2,30;2,24;-2,64%;2,21;2,22;9;1739;3962,50;
2008-09-18;2,19;2,21;2,21;2,14;2,24;2,14;-4,39%;2,14;2,20;6;996;2182,00;
2008-09-19;2,21;2,22;2,23;2,19;2,14;2,19;2,03%;2,19;2,20;7;1612;3559,82;
2008-09-22;2,22;2,23;2,23;2,22;2,19;2,22;1,32%;2,21;2,24;3;730;1622,16;
2008-09-23;2,17;2,23;2,23;2,06;2,22;2,06;-7,19%;2,09;2,17;7;1265;2744,79;
2008-09-24;2,00;2,06;2,09;1,97;2,06;1,98;-3,52%;1,96;1,98;28;8560;17094,37;
2008-09-25;2,02;2,03;2,06;2,00;1,98;2,00;0,73%;2,06;2,11;10;1083;2188,14;
2008-09-26;2,07;2,03;2,11;2,00;2,00;2,09;4,35%;2,03;2,11;6;1240;2570,78;
2008-09-29;1,96;2,07;2,10;1,91;2,09;1,91;-8,33%;1,89;1,94;7;1213;2379,87;
2008-09-30;1,77;1,87;1,87;1,74;1,91;1,78;-6,82%;1,75;1,80;30;32865;58045,83;
2008-10-01;1,81;1,79;1,85;1,78;1,78;1,85;3,90%;1,80;1,84;16;1831;3319,93;
2008-10-02;1,79;1,80;1,81;1,78;1,85;1,81;-2,19%;1,81;1,84;10;1599;2861,87;
2008-10-03;1,72;1,82;1,82;1,71;1,81;1,71;-5,60%;1,71;1,73;25;16990;29233,54;
2008-10-06;1,65;1,74;1,74;1,52;1,71;1,52;-11,19%;1,51;1,52;20;13773;22787,40;
2008-10-07;1,39;1,52;1,52;1,34;1,52;1,34;-11,83%;1,30;1,36;27;6345;8844,76;
2008-10-08;1,21;1,32;1,32;1,16;1,34;1,24;-7,36%;1,24;1,25;25;6298;7635,06;
2008-10-09;1,31;1,29;1,35;1,25;1,24;1,31;5,61%;1,31;1,32;60;19381;25369,09;
2008-10-10;1,34;1,33;1,37;1,29;1,31;1,36;3,98%;1,31;1,36;20;6421;8629,31;
2008-10-13;1,38;1,39;1,39;1,36;1,36;1,38;1,70%;1,38;1,38;18;5399;7434,33;
2008-10-14;1,53;1,50;1,56;1,50;1,38;1,53;10,88%;1,53;1,56;27;7053;10796,66;
2008-10-15;1,52;1,56;1,56;1,42;1,53;1,52;-0,75%;1,45;1,52;7;1789;2715,29;
2008-10-16;1,42;1,37;1,45;1,37;1,52;1,45;-4,94%;1,38;1,45;2;154;218,63;
2008-10-17;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,37;1,45;3;990;1433,62;
2008-10-20;0,00;1,45;0,00;0,00;1,45;1,45;0,00%;1,38;1,45;0;0;0,00;
2008-10-21;1,44;1,45;1,45;1,40;1,45;1,40;-3,00%;1,40;1,45;3;500;718,55;
2008-10-22;1,38;1,38;1,38;1,38;1,40;1,38;-2,06%;1,37;1,38;3;270;371,44;
2008-10-23;1,28;1,37;1,37;1,25;1,38;1,25;-9,47%;1,25;1,30;9;921;1182,70;
2008-10-24;1,16;1,17;1,17;1,14;1,25;1,16;-7,21%;1,14;1,16;12;2970;3447,20;
2008-10-27;1,15;1,16;1,16;1,14;1,16;1,14;-1,00%;1,02;1,14;2;110;126,56;
2008-10-28;1,13;1,13;1,13;1,07;1,14;1,07;-6,33%;1,07;1,11;3;815;919,69;
2008-10-29;0,00;1,07;0,00;0,00;1,07;1,07;0,00%;1,07;1,16;0;0;0,00;
2008-10-30;1,16;1,16;1,16;1,16;1,07;1,16;8,11%;1,12;1,16;7;1542;1786,38;
2008-10-31;1,14;1,16;1,16;1,07;1,16;1,07;-7,50%;1,09;1,16;3;760;866,54;
2008-11-03;0,00;1,07;0,00;0,00;1,07;1,07;0,00%;0,00;0,00;0;0;0,00;
2008-11-04;0,00;1,07;0,00;0,00;1,07;1,07;0,00%;1,10;1,16;0;0;0,00;
2008-11-05;1,07;1,10;1,10;1,07;1,07;1,07;0,00%;1,06;1,07;16;56061;60112,32;
2008-11-06;1,07;1,07;1,07;1,06;1,07;1,07;0,00%;1,06;1,07;5;1694;1809,57;
2008-11-07;0,00;1,07;0,00;0,00;1,07;1,07;0,00%;1,07;1,13;0;0;0,00;
2008-11-10;1,01;1,07;1,07;0,98;1,07;1,01;-5,95%;0,99;1,01;12;5921;6009,65;
2008-11-11;1,01;1,04;1,04;1,00;1,01;1,01;0,00%;1,01;1,02;3;1600;1614,34;
2008-11-12;1,01;1,00;1,01;1,00;1,01;1,01;0,00%;0,99;1,01;7;12640;12757,59;
2008-11-13;0,98;0,99;0,99;0,98;1,01;0,98;-2,30%;0,98;1,01;4;504;496,41;
2008-11-14;1,00;1,00;1,00;1,00;0,98;1,00;2,06%;0,96;1,00;3;2360;2369,67;
2008-11-17;0,93;0,96;0,96;0,87;1,00;0,93;-7,20%;0,93;1,07;5;1140;1059,26;
2008-11-18;0,93;0,93;0,96;0,87;0,93;0,87;-6,52%;0,88;1,01;6;1305;1216,51;
2008-11-19;0,92;0,88;0,93;0,88;0,87;0,92;4,98%;0,92;0,95;10;4783;4397,78;
