SECURITY DETAIL VIEW (EQUITY)
Dvarčionių keramika (DKR1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: DKR1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,73;0,73;0,73;0,73;0,73;0,73;0,00%;0,67;0,71;1;50;36,64;
2008-05-20;0,74;0,73;0,74;0,73;0,73;0,73;-0,40%;0,68;0,73;3;2057;1512,20;
2008-05-21;0,68;0,68;0,72;0,68;0,73;0,68;-7,14%;0,68;0,72;8;5139;3501,38;
2008-05-22;0,67;0,68;0,68;0,67;0,68;0,67;-1,71%;0,67;0,72;7;4498;3018,83;
2008-05-23;0,68;0,68;0,68;0,68;0,67;0,68;2,17%;0,67;0,68;2;1149;782,02;
2008-05-26;0,68;0,68;0,70;0,68;0,68;0,70;2,13%;0,68;0,70;4;1480;1012,38;
2008-05-27;0,70;0,70;0,70;0,70;0,70;0,70;0,00%;0,67;0,69;2;2083;1447,87;
2008-05-28;0,00;0,70;0,00;0,00;0,70;0,70;0,00%;0,68;0,72;0;0;0,00;
2008-05-29;0,70;0,70;0,70;0,70;0,70;0,70;0,00%;0,70;0,72;1;500;347,54;
2008-05-30;0,70;0,69;0,70;0,69;0,70;0,70;1,25%;0,69;0,70;7;2291;1593,53;
2008-06-02;0,68;0,68;0,68;0,67;0,70;0,68;-3,29%;0,67;0,68;3;1155;781,17;
2008-06-03;0,00;0,68;0,00;0,00;0,68;0,68;0,00%;0,67;0,70;0;0;0,00;
2008-06-04;0,67;0,67;0,67;0,67;0,68;0,67;-0,85%;0,68;0,71;1;199;134,29;
2008-06-05;0,68;0,68;0,69;0,68;0,67;0,68;0,86%;0,68;0,70;7;3449;2360,45;
2008-06-06;0,73;0,71;0,75;0,71;0,68;0,74;9,36%;0,72;0,74;16;12101;8810,31;
2008-06-09;0,74;0,74;0,74;0,74;0,74;0,74;-0,39%;0,71;0,74;6;4635;3449,75;
2008-06-10;0,74;0,72;0,75;0,72;0,74;0,75;1,56%;0,74;0,75;7;4410;3263,15;
2008-06-11;0,75;0,75;0,76;0,75;0,75;0,75;0,00%;0,75;0,76;6;2657;2003,36;
2008-06-12;0,00;0,75;0,00;0,00;0,75;0,75;0,00%;0,74;0,77;0;0;0,00;
2008-06-13;0,00;0,75;0,00;0,00;0,75;0,75;0,00%;0,74;0,75;0;0;0,00;
2008-06-16;0,75;0,75;0,75;0,75;0,75;0,75;-0,38%;0,72;0,75;1;259;194,28;
2008-06-17;0,74;0,71;0,75;0,71;0,75;0,74;-1,54%;0,71;0,75;4;2124;1567,35;
2008-06-18;0,72;0,73;0,75;0,71;0,74;0,71;-3,92%;0,70;0,75;20;12070;8638,15;
2008-06-19;0,76;0,75;0,78;0,75;0,71;0,75;6,12%;0,75;0,77;19;19591;14865,42;
2008-06-20;0,79;0,75;0,81;0,75;0,75;0,81;7,69%;0,80;0,81;16;12729;10062,60;
2008-06-25;0,81;0,78;0,84;0,78;0,81;0,84;3,57%;0,83;0,85;15;11128;9032,30;
2008-06-26;0,91;0,85;0,94;0,85;0,84;0,93;10,34%;0,91;0,93;54;51929;47501,13;
2008-06-27;0,97;0,93;0,98;0,93;0,93;0,96;4,06%;0,96;0,97;61;62972;60832,37;
2008-06-30;0,92;0,96;0,96;0,86;0,96;0,89;-7,21%;0,86;0,89;21;16033;14701,15;
2008-07-01;0,87;0,85;0,87;0,85;0,89;0,87;-2,91%;0,86;0,91;5;4057;3511,11;
2008-07-02;0,88;0,87;0,91;0,86;0,87;0,91;4,33%;0,88;0,91;7;5454;4772,24;
2008-07-03;0,87;0,87;0,87;0,87;0,91;0,87;-4,15%;0,84;0,87;3;2730;2374,88;
2008-07-04;0,85;0,91;0,91;0,85;0,87;0,85;-1,67%;0,85;0,90;4;1505;1286,13;
2008-07-07;0,00;0,85;0,00;0,00;0,85;0,85;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,84;0,85;0,85;0,83;0,85;0,83;-3,05%;0,83;0,84;7;4395;3687,85;
2008-07-09;0,00;0,83;0,00;0,00;0,83;0,83;0,00%;0,81;0,83;0;0;0,00;
2008-07-10;0,83;0,83;0,83;0,83;0,83;0,83;-0,35%;0,81;0,83;8;4000;3301,67;
2008-07-11;0,83;0,83;0,83;0,83;0,83;0,83;0,00%;0,80;0,83;5;1410;1163,84;
