SECURITY DETAIL VIEW (EQUITY)
Invalda (IVL1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: IVL1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;3,49;3,50;3,53;3,48;3,53;3,53;0,00%;3,49;3,53;24;9028;31494,32;
2008-05-20;3,49;3,48;3,50;3,48;3,53;3,50;-0,82%;3,49;3,50;12;7450;25981,23;
2008-05-21;3,49;3,48;3,50;3,48;3,50;3,50;0,00%;3,48;3,50;12;2819;9839,81;
2008-05-22;3,49;3,50;3,53;3,48;3,50;3,53;0,83%;3,53;3,54;26;15074;52658,10;
2008-05-23;3,54;3,55;3,59;3,52;3,53;3,56;0,82%;3,56;3,59;13;5511;19488,86;
2008-05-26;3,63;3,59;3,67;3,59;3,56;3,65;2,44%;3,62;3,65;25;9350;33933,01;
2008-05-27;3,62;3,66;3,66;3,62;3,65;3,65;0,00%;3,62;3,65;16;3629;13154,28;
2008-05-28;3,63;3,65;3,65;3,62;3,65;3,65;0,00%;3,62;3,65;8;1169;4237,68;
2008-05-29;3,64;3,63;3,69;3,63;3,65;3,69;1,19%;3,65;3,69;21;8869;32423,18;
2008-05-30;3,81;3,74;3,88;3,72;3,69;3,85;4,31%;3,79;3,85;28;5436;20711,52;
2008-06-02;3,90;3,86;3,97;3,79;3,85;3,84;-0,23%;3,77;3,82;19;2595;10108,14;
2008-06-03;0,00;3,84;0,00;0,00;3,84;3,84;0,00%;3,77;3,85;0;0;0,00;
2008-06-04;3,85;3,83;3,90;3,83;3,84;3,88;1,06%;3,88;3,89;40;9543;36765,72;
2008-06-05;3,96;3,91;4,01;3,91;3,88;3,98;2,54%;3,98;4,00;22;7441;29448,02;
2008-06-06;4,37;4,17;4,49;4,17;3,98;4,46;12,00%;4,43;4,46;125;33080;144442,30;
2008-06-09;4,51;4,36;4,55;4,34;4,46;4,53;1,62%;4,53;4,55;96;43075;194472,49;
2008-06-10;4,48;4,53;4,54;4,42;4,53;4,53;-0,06%;4,50;4,53;70;27461;122928,99;
2008-06-11;4,51;4,49;4,54;4,49;4,53;4,54;0,26%;4,52;4,54;43;20148;90864,45;
2008-06-12;4,50;4,49;4,52;4,46;4,54;4,47;-1,53%;4,47;4,49;39;19397;87331,87;
2008-06-13;4,52;4,43;4,56;4,40;4,47;4,54;1,55%;4,54;4,56;84;67046;303108,51;
2008-06-16;4,56;4,54;4,59;4,52;4,54;4,52;-0,38%;4,52;4,52;26;3651;16657,19;
2008-06-17;4,50;4,56;4,56;4,47;4,52;4,52;-0,06%;4,52;4,55;20;5200;23408,44;
2008-06-18;4,53;4,52;4,55;4,50;4,52;4,53;0,26%;4,50;4,53;40;15289;69241,37;
2008-06-19;4,54;4,53;4,55;4,53;4,53;4,55;0,32%;4,54;4,56;14;16491;74834,45;
2008-06-20;4,55;4,55;4,56;4,54;4,55;4,56;0,32%;4,56;4,56;30;7849;35726,58;
2008-06-25;4,52;4,52;4,53;4,49;4,56;4,53;-0,63%;4,52;4,53;9;3700;16719,47;
2008-06-26;4,50;4,52;4,52;4,50;4,53;4,50;-0,64%;4,50;4,51;6;9285;41816,06;
2008-06-27;4,61;4,59;4,62;4,58;4,50;4,61;2,38%;4,58;4,61;70;19144;88182,55;
2008-06-30;4,71;4,62;4,76;4,62;4,61;4,76;3,27%;4,73;4,76;65;21730;102319,26;
2008-07-01;4,89;4,76;4,95;4,76;4,76;4,87;2,25%;4,87;4,88;93;14883;72716,45;
2008-07-02;4,90;4,89;4,93;4,87;4,87;4,87;0,06%;4,87;4,89;65;16976;83205,37;
2008-07-03;4,81;4,86;4,87;4,78;4,87;4,85;-0,36%;4,81;4,85;54;19311;92849,26;
2008-07-04;4,82;4,85;4,85;4,75;4,85;4,82;-0,66%;4,78;4,82;30;7467;35954,63;
2008-07-07;0,00;4,82;0,00;0,00;4,82;4,82;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;4,78;4,82;4,82;4,72;4,82;4,78;-0,90%;4,74;4,78;16;6313;30185,10;
2008-07-09;4,72;4,78;4,78;4,52;4,78;4,69;-1,82%;4,69;4,74;21;8053;38040,17;
2008-07-10;4,59;4,69;4,69;4,58;4,69;4,60;-1,85%;4,60;4,62;23;7055;32405,28;
2008-07-11;4,60;4,60;4,60;4,60;4,60;4,60;0,00%;4,58;4,61;9;1504;6924,99;
2008-07-14;4,61;4,60;4,62;4,60;4,60;4,60;0,00%;4,61;4,62;20;5951;27408,37;
2008-07-15;4,55;4,60;4,60;4,52;4,60;4,60;0,00%;4,60;4,61;13;1580;7192,51;
2008-07-16;4,46;4,49;4,52;4,34;4,60;4,43;-3,71%;4,43;4,45;33;8184;36506,13;
2008-07-17;4,40;4,41;4,49;4,39;4,43;4,39;-1,05%;4,39;4,40;18;2684;11813,63;
2008-07-18;4,37;4,40;4,49;4,29;4,39;4,34;-0,99%;4,29;4,34;18;3650;15950,92;
2008-07-21;4,34;4,28;4,34;4,28;4,34;4,34;0,00%;4,33;4,34;30;34888;151520,85;
2008-07-22;4,33;4,32;4,34;4,28;4,34;4,33;-0,33%;4,27;4,33;38;18382;79630,32;
2008-07-23;4,31;4,27;4,34;4,27;4,33;4,27;-1,34%;4,27;4,30;18;8016;34560,40;
2008-07-24;4,32;4,27;4,40;4,27;4,27;4,40;3,05%;4,40;4,43;24;14206;61432,27;
2008-07-25;4,39;4,38;4,46;4,23;4,40;4,46;1,32%;4,39;4,49;19;5443;23907,90;
2008-07-28;4,42;4,42;4,44;4,40;4,46;4,44;-0,45%;4,43;4,46;10;4935;21795,93;
2008-07-29;4,44;4,44;4,46;4,37;4,44;4,43;-0,20%;4,43;4,46;18;3950;17540,32;
2008-07-30;4,38;4,27;4,62;4,24;4,43;4,62;4,18%;4,45;4,60;61;22915;100356,95;
2008-07-31;4,64;4,63;4,72;4,60;4,62;4,61;-0,06%;4,52;4,62;25;4731;21941,50;
2008-08-01;4,55;4,55;4,55;4,52;4,61;4,52;-2,07%;4,47;4,52;4;1599;7268,97;
2008-08-04;4,61;4,60;4,66;4,58;4,52;4,63;2,56%;4,63;4,65;13;4011;18487,35;
2008-08-05;4,60;4,60;4,65;4,41;4,63;4,57;-1,38%;4,57;4,63;28;8070;37160,55;
2008-08-06;4,63;4,58;4,69;4,58;4,57;4,63;1,39%;4,63;4,67;34;9801;45376,14;
2008-08-07;4,60;4,65;4,65;4,58;4,63;4,63;0,00%;4,63;4,68;22;5930;27294,34;
2008-08-08;4,63;4,63;4,65;4,63;4,63;4,65;0,31%;4,58;4,63;6;6000;27807,81;
2008-08-11;4,65;4,63;4,66;4,63;4,65;4,66;0,25%;4,66;4,67;9;12415;57706,84;
2008-08-12;4,74;4,66;4,78;4,66;4,66;4,75;1,93%;4,74;4,76;33;11472;54411,84;
2008-08-13;4,66;4,75;4,75;4,63;4,75;4,63;-2,44%;4,63;4,69;23;8907;41471,30;
2008-08-14;4,59;4,62;4,63;4,52;4,63;4,63;-0,13%;4,62;4,62;8;1069;4903,79;
2008-08-15;0,00;4,63;0,00;0,00;4,63;4,63;0,00%;0,00;0,00;0;0;0,00;
2008-08-18;4,54;4,56;4,56;4,52;4,63;4,53;-2,07%;4,53;4,55;17;4780;21707,53;
2008-08-19;4,57;4,53;4,63;4,52;4,53;4,63;2,24%;4,58;4,63;32;17927;81859,04;
2008-08-20;4,53;4,49;4,63;4,49;4,63;4,63;-0,13%;4,55;4,63;23;22150;100337,97;
2008-08-21;4,62;4,60;4,63;4,56;4,63;4,62;-0,19%;4,56;4,62;16;5781;26698,98;
2008-08-22;4,60;4,58;4,60;4,58;4,62;4,60;-0,31%;4,58;4,60;10;8285;38129,83;
2008-08-25;4,57;4,63;4,63;4,55;4,60;4,55;-1,26%;4,56;4,59;16;10064;45974,65;
2008-08-26;4,53;4,56;4,56;4,52;4,55;4,52;-0,64%;4,52;4,55;14;2103;9517,20;
2008-08-27;4,46;4,49;4,50;4,45;4,52;4,45;-1,60%;4,45;4,46;11;169369;755441,44;
2008-08-28;4,40;4,43;4,43;4,34;4,45;4,39;-1,17%;4,39;4,42;21;7257;31912,38;
