SECURITY DETAIL VIEW (EQUITY)
Klaipėdos nafta (KNF1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: KNF1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,26;0,26;0,26;0,26;0,25;0,26;2,27%;0,25;0,26;5;804020;209571,36;
2008-05-20;0,00;0,26;0,00;0,00;0,26;0,26;0,00%;0,25;0,26;0;0;0,00;
2008-05-21;0,26;0,26;0,26;0,25;0,26;0,26;-1,11%;0,25;0,26;7;4408;1130,42;
2008-05-22;0,26;0,26;0,26;0,26;0,26;0,26;0,00%;0,25;0,26;1;10;2,58;
2008-05-23;0,25;0,25;0,25;0,25;0,26;0,25;-2,25%;0,25;0,26;6;11000;2800,58;
2008-05-26;0,25;0,25;0,25;0,25;0,25;0,25;1,15%;0,25;0,26;1;300;76,46;
2008-05-27;0,26;0,25;0,26;0,25;0,25;0,25;0,00%;0,25;0,26;10;1110555;284519,35;
2008-05-28;0,25;0,25;0,26;0,25;0,25;0,25;0,00%;0,25;0,26;15;1756390;447656,72;
2008-05-29;0,27;0,26;0,28;0,26;0,25;0,27;4,55%;0,27;0,27;172;1168021;310701,06;
2008-05-30;0,27;0,27;0,27;0,26;0,27;0,27;0,00%;0,26;0,27;46;151396;40449,03;
2008-06-02;0,26;0,26;0,27;0,26;0,27;0,26;-1,09%;0,26;0,27;26;49843;13106,55;
2008-06-03;0,26;0,26;0,27;0,26;0,26;0,27;1,10%;0,26;0,27;7;884453;233125,65;
2008-06-04;0,27;0,27;0,28;0,27;0,27;0,28;3,26%;0,27;0,28;37;151719;41212,38;
2008-06-05;0,27;0,28;0,28;0,27;0,28;0,27;-1,05%;0,27;0,28;6;18000;4946,71;
2008-06-06;0,27;0,28;0,28;0,27;0,27;0,27;0,00%;0,27;0,27;12;21020;5713,51;
2008-06-09;0,27;0,27;0,27;0,26;0,27;0,27;0,00%;0,26;0,27;41;166689;44872,21;
2008-06-10;0,27;0,27;0,28;0,27;0,27;0,27;0,00%;0,27;0,28;49;220034;59828,56;
2008-06-11;0,27;0,27;0,27;0,27;0,27;0,27;0,00%;0,27;0,28;18;138157;37612,25;
2008-06-12;0,27;0,27;0,27;0,27;0,27;0,27;0,00%;0,27;0,27;2;25000;6806,07;
2008-06-13;0,27;0,27;0,27;0,27;0,27;0,27;-1,06%;0,27;0,27;11;25039;6718,10;
2008-06-16;0,27;0,27;0,27;0,27;0,27;0,27;-1,08%;0,26;0,27;12;41585;11080,34;
2008-06-17;0,26;0,26;0,26;0,26;0,27;0,26;-1,09%;0,26;0,27;2;10000;2635,54;
2008-06-18;0,26;0,26;0,27;0,26;0,26;0,27;1,10%;0,26;0,27;2;1540;407,44;
2008-06-19;0,26;0,26;0,27;0,26;0,27;0,27;0,00%;0,26;0,27;10;33954;8872,63;
2008-06-20;0,27;0,27;0,27;0,27;0,27;0,27;0,00%;0,26;0,27;1;3;0,80;
2008-06-25;0,00;0,27;0,00;0,00;0,27;0,27;0,00%;0,26;0,27;0;0;0,00;
2008-06-26;0,27;0,27;0,27;0,26;0,27;0,26;-1,09%;0,26;0,26;5;20970;5601,86;
2008-06-27;0,26;0,26;0,26;0,26;0,26;0,26;-1,10%;0,26;0,26;11;26130;6786,98;
2008-06-30;0,26;0,26;0,26;0,26;0,26;0,26;1,11%;0,26;0,27;3;508;133,89;
2008-07-01;0,26;0,26;0,26;0,26;0,26;0,26;0,00%;0,26;0,27;2;19996;5270,03;
2008-07-02;0,26;0,27;0,27;0,26;0,26;0,26;0,00%;0,26;0,26;11;11078;2911,83;
2008-07-03;0,26;0,26;0,26;0,26;0,26;0,26;-2,20%;0,25;0,26;17;41617;10750,44;
2008-07-04;0,26;0,26;0,26;0,26;0,26;0,26;0,00%;0,25;0,26;3;4000;1036,84;
2008-07-07;0,00;0,26;0,00;0,00;0,26;0,26;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,26;0,26;0,26;0,26;0,26;0,26;0,00%;0,25;0,26;1;5000;1288,81;
2008-07-09;0,26;0,25;0,26;0,25;0,26;0,26;0,00%;0,25;0,26;9;17980;4613,53;
2008-07-10;0,26;0,26;0,26;0,26;0,26;0,26;0,00%;0,25;0,26;5;18900;4871,70;
2008-07-11;0,26;0,26;0,26;0,26;0,26;0,26;0,00%;0,25;0,26;14;225510;58207,51;
2008-07-14;0,25;0,25;0,25;0,25;0,26;0,25;-1,12%;0,25;0,26;3;5000;1274,33;
2008-07-15;0,25;0,25;0,25;0,25;0,25;0,25;0,00%;0,25;0,25;17;21729;5492,39;
2008-07-16;0,25;0,25;0,25;0,25;0,25;0,25;-2,27%;0,25;0,25;4;160044;40769,69;
2008-07-17;0,25;0,25;0,25;0,25;0,25;0,25;1,16%;0,25;0,25;2;14609;3641,61;
2008-07-18;0,25;0,25;0,25;0,25;0,25;0,25;0,00%;0,25;0,25;8;16575;4156,84;
2008-07-21;0,25;0,25;0,25;0,25;0,25;0,25;-2,30%;0,25;0,25;10;16784;4178,06;
2008-07-22;0,24;0,25;0,25;0,23;0,25;0,23;-4,71%;0,23;0,24;22;32878;7998,99;
2008-07-23;0,24;0,24;0,24;0,23;0,23;0,24;3,70%;0,23;0,24;9;21407;5043,05;
2008-07-24;0,25;0,25;0,25;0,25;0,24;0,25;2,38%;0,24;0,25;5;4305;1072,27;
2008-07-25;0,25;0,25;0,25;0,25;0,25;0,25;1,16%;0,24;0,25;3;1250;314,96;
2008-07-28;0,25;0,25;0,25;0,25;0,25;0,25;-2,30%;0,25;0,25;1;156;38,40;
2008-07-29;0,25;0,25;0,25;0,25;0,25;0,25;1,18%;0,25;0,25;33;419578;104528,81;
2008-07-30;0,25;0,25;0,25;0,25;0,25;0,25;0,00%;0,25;0,25;5;13615;3391,13;
2008-07-31;0,25;0,25;0,25;0,25;0,25;0,25;-1,16%;0,25;0,25;4;36508;8987,43;
