SECURITY DETAIL VIEW (EQUITY)
Lietuvos dujos (LDJ1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: LDJ1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,79;0,81;0,81;0,77;0,80;0,78;-2,55%;0,78;0,81;13;6065;4773,80;
2008-05-20;0,79;0,80;0,80;0,78;0,78;0,78;0,75%;0,78;0,80;5;2350;1852,84;
2008-05-21;0,80;0,80;0,80;0,79;0,78;0,79;1,48%;0,79;0,79;11;3119;2481,25;
2008-05-22;0,79;0,79;0,79;0,79;0,79;0,79;-0,73%;0,79;0,80;1;89;70,11;
2008-05-23;0,80;0,81;0,81;0,80;0,79;0,81;2,21%;0,79;0,81;5;2095;1683,88;
2008-05-26;0,82;0,83;0,83;0,81;0,81;0,83;2,52%;0,81;0,83;8;5010;4093,63;
2008-05-27;0,81;0,83;0,83;0,81;0,83;0,81;-2,46%;0,81;0,81;17;8026;6510,30;
2008-05-28;0,83;0,81;0,84;0,81;0,81;0,84;4,68%;0,81;0,83;21;14956;12344,62;
2008-05-29;0,82;0,81;0,82;0,81;0,84;0,81;-3,78%;0,81;0,82;3;1276;1045,30;
2008-05-30;0,82;0,81;0,83;0,81;0,81;0,83;2,14%;0,81;0,83;6;3005;2454,34;
2008-06-02;0,83;0,83;0,83;0,83;0,83;0,83;0,00%;0,80;0,83;1;41;33,96;
2008-06-03;0,00;0,83;0,00;0,00;0,83;0,83;0,00%;0,82;0,83;0;0;0,00;
2008-06-04;0,81;0,82;0,82;0,81;0,83;0,81;-2,10%;0,81;0,83;5;3079;2505,56;
2008-06-05;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,81;0,83;0;0;0,00;
2008-06-06;0,81;0,81;0,81;0,81;0,81;0,81;0,36%;0,82;0,83;1;2000;1627,66;
2008-06-09;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,81;0,83;0;0;0,00;
2008-06-10;0,81;0,81;0,81;0,81;0,81;0,81;0,00%;0,81;0,83;6;5029;4089,58;
2008-06-11;0,82;0,82;0,82;0,82;0,81;0,82;1,07%;0,81;0,83;1;5000;4112,60;
2008-06-12;0,00;0,82;0,00;0,00;0,82;0,82;0,00%;0,81;0,83;0;0;0,00;
2008-06-13;0,83;0,83;0,83;0,83;0,82;0,83;0,70%;0,83;0,83;4;469;389,07;
2008-06-16;0,81;0,81;0,81;0,81;0,83;0,81;-2,45%;0,81;0,81;2;2099;1700,71;
2008-06-17;0,81;0,81;0,81;0,80;0,81;0,80;-0,72%;0,80;0,81;8;3830;3098,47;
2008-06-18;0,81;0,80;0,81;0,80;0,80;0,81;1,08%;0,81;0,82;11;31985;25929,10;
2008-06-19;0,81;0,81;0,81;0,81;0,81;0,81;0,00%;0,80;0,81;5;19005;15411,84;
2008-06-20;0,80;0,81;0,81;0,80;0,81;0,80;-1,07%;0,80;0,81;3;3296;2652,90;
2008-06-25;0,00;0,80;0,00;0,00;0,80;0,80;0,00%;0,80;0,83;0;0;0,00;
2008-06-26;0,80;0,81;0,81;0,80;0,80;0,80;-0,72%;0,79;0,80;3;9087;7244,63;
2008-06-27;0,81;0,81;0,81;0,80;0,80;0,80;0,00%;0,79;0,80;3;1700;1371,93;
2008-06-30;0,78;0,78;0,78;0,78;0,80;0,78;-1,82%;0,78;0,78;5;10284;8044,72;
2008-07-01;0,78;0,78;0,78;0,76;0,78;0,78;0,00%;0,74;0,78;10;15640;12209,66;
2008-07-02;0,76;0,75;0,76;0,75;0,78;0,76;-2,22%;0,76;0,77;3;2300;1755,10;
2008-07-03;0,75;0,76;0,76;0,75;0,76;0,75;-1,52%;0,75;0,76;6;4681;3533,54;
2008-07-04;0,72;0,77;0,77;0,72;0,75;0,72;-3,85%;0,72;0,77;7;5044;3654,27;
2008-07-07;0,00;0,72;0,00;0,00;0,72;0,72;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,73;0,75;0,75;0,72;0,72;0,72;0,00%;0,70;0,71;8;14100;10248,49;
2008-07-09;0,74;0,73;0,75;0,71;0,72;0,75;4,00%;0,72;0,75;18;9447;6965,08;
2008-07-10;0,75;0,75;0,75;0,72;0,75;0,72;-3,85%;0,72;0,75;4;5060;3805,61;
2008-07-11;0,75;0,75;0,75;0,75;0,72;0,75;3,20%;0,73;0,75;3;79915;60175,22;
2008-07-14;0,73;0,74;0,74;0,73;0,75;0,73;-2,71%;0,73;0,74;9;2596;1892,76;
2008-07-15;0,72;0,74;0,74;0,72;0,73;0,72;-0,40%;0,72;0,74;10;5260;3812,15;
2008-07-16;0,73;0,74;0,74;0,72;0,72;0,72;0,00%;0,72;0,74;4;80064;59129,26;
2008-07-17;0,72;0,73;0,73;0,72;0,72;0,72;0,00%;0,72;0,72;4;1981;1435,62;
2008-07-18;0,72;0,72;0,72;0,71;0,72;0,71;-1,60%;0,71;0,72;3;3200;2290,32;
2008-07-21;0,72;0,72;0,72;0,72;0,71;0,72;0,81%;0,72;0,72;5;2100;1520,04;
2008-07-22;0,68;0,72;0,72;0,67;0,72;0,67;-7,26%;0,62;0,70;11;7504;5134,75;
2008-07-23;0,69;0,68;0,70;0,66;0,67;0,66;-0,43%;0,66;0,70;6;68441;47524,46;
2008-07-24;0,67;0,67;0,69;0,66;0,66;0,69;3,93%;0,67;0,70;10;10035;6716,77;
2008-07-25;0,00;0,69;0,00;0,00;0,69;0,69;0,00%;0,67;0,70;0;0;0,00;
2008-07-28;0,67;0,67;0,67;0,67;0,69;0,67;-3,36%;0,67;0,69;3;1500;1002,09;
2008-07-29;0,68;0,68;0,68;0,68;0,67;0,68;2,61%;0,67;0,69;6;8600;5871,58;
2008-07-30;0,00;0,68;0,00;0,00;0,68;0,68;0,00%;0,69;0,69;0;0;0,00;
2008-07-31;0,68;0,68;0,68;0,68;0,68;0,68;-0,42%;0,67;0,68;1;170;115,70;
2008-08-01;0,00;0,68;0,00;0,00;0,68;0,68;0,00%;0,68;0,68;0;0;0,00;
2008-08-04;0,00;0,68;0,00;0,00;0,68;0,68;0,00%;0,68;0,69;0;0;0,00;
2008-08-05;0,69;0,69;0,70;0,69;0,68;0,69;1,70%;0,67;0,69;3;1200;831,01;
2008-08-06;0,00;0,69;0,00;0,00;0,69;0,69;0,00%;0,67;0,69;0;0;0,00;
2008-08-07;0,68;0,68;0,68;0,68;0,69;0,68;-1,26%;0,68;0,69;4;3500;2389,37;
2008-08-08;0,68;0,69;0,69;0,68;0,68;0,68;-0,42%;0,68;0,69;8;8650;5901,57;
2008-08-11;0,68;0,68;0,68;0,68;0,68;0,68;0,00%;0,68;0,69;2;1000;680,61;
2008-08-12;0,67;0,67;0,67;0,67;0,68;0,67;-2,13%;0,67;0,69;3;740;492,93;
2008-08-13;0,69;0,69;0,70;0,67;0,67;0,67;0,87%;0,67;0,70;12;10110;6998,18;
2008-08-14;0,00;0,67;0,00;0,00;0,67;0,67;0,00%;0,67;0,70;0;0;0,00;
2008-08-15;0,00;0,67;0,00;0,00;0,67;0,67;0,00%;0,00;0,00;0;0;0,00;
2008-08-18;0,00;0,67;0,00;0,00;0,67;0,67;0,00%;0,68;0,70;0;0;0,00;
2008-08-19;0,70;0,70;0,70;0,70;0,67;0,70;3,88%;0,68;0,70;19;135903;94470,44;
2008-08-20;0,72;0,70;0,75;0,70;0,70;0,75;7,88%;0,75;0,77;39;57896;41629,16;
2008-08-21;0,76;0,75;0,78;0,75;0,75;0,78;3,85%;0,74;0,78;17;104094;79767,25;
2008-08-22;0,80;0,75;0,84;0,75;0,78;0,81;3,70%;0,75;0,81;25;34680;27822,35;
