SECURITY DETAIL VIEW (EQUITY)
Lietuvos energija (LEN1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: LEN1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;1,06;1,06;1,06;1,06;1,06;1,06;0,55%;1,06;1,07;9;5336;5670,06;
2008-05-20;1,06;1,06;1,12;1,06;1,06;1,06;0,00%;1,06;1,10;4;1960;2082,60;
2008-05-21;1,07;1,07;1,07;1,07;1,06;1,07;0,82%;1,06;1,10;2;760;814,41;
2008-05-22;1,09;1,09;1,09;1,09;1,07;1,09;1,35%;1,09;1,10;1;100;108,61;
2008-05-23;1,07;1,09;1,09;1,06;1,09;1,06;-2,13%;1,06;1,09;9;11482;12283,48;
2008-05-26;1,08;1,07;1,09;1,07;1,06;1,09;2,18%;1,07;1,09;3;1500;1621,87;
2008-05-27;0,00;1,09;0,00;0,00;1,09;1,09;0,00%;1,08;1,10;0;0;0,00;
2008-05-28;1,10;1,10;1,10;1,10;1,09;1,10;1,07%;1,09;1,10;1;1000;1097,66;
2008-05-29;1,11;1,10;1,12;1,10;1,10;1,12;1,58%;1,10;1,12;5;7971;8821,87;
2008-05-30;1,11;1,12;1,12;1,10;1,12;1,10;-1,04%;1,09;1,10;6;1300;1445,03;
2008-06-02;1,08;1,10;1,10;1,06;1,10;1,07;-3,41%;1,07;1,12;15;16301;17656,29;
2008-06-03;0,98;0,98;0,98;0,96;1,07;0,98;-7,61%;0,96;0,98;8;3975;3886,33;
2008-06-04;1,01;1,01;1,07;0,99;0,98;1,01;2,94%;1,01;1,07;14;7687;7774,75;
2008-06-05;1,05;1,01;1,07;1,01;1,01;1,07;5,43%;1,03;1,07;5;1430;1497,41;
2008-06-06;1,07;1,07;1,07;1,07;1,07;1,07;0,00%;1,04;1,07;2;600;641,22;
2008-06-09;1,02;1,07;1,07;1,02;1,07;1,02;-4,88%;1,02;1,07;2;152;154,62;
2008-06-10;0,00;1,02;0,00;0,00;1,02;1,02;0,00%;1,02;1,07;0;0;0,00;
2008-06-11;1,03;1,03;1,03;1,03;1,02;1,03;1,14%;1,03;1,07;1;312;320,78;
2008-06-12;0,00;1,03;0,00;0,00;1,03;1,03;0,00%;1,02;1,07;0;0;0,00;
