SECURITY DETAIL VIEW (EQUITY)
Lifosa (LFO1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: LFO1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;20,88;21,57;21,65;20,27;21,54;20,42;-5,20%;20,35;20,42;147;8867;185106,92;
2008-05-20;20,33;19,98;20,85;19,55;20,42;20,84;2,04%;20,43;20,84;182;15310;311236,58;
2008-05-21;21,50;20,89;21,93;20,89;20,84;21,93;5,27%;21,72;21,93;212;16717;359421,27;
2008-05-22;22,39;22,28;22,70;21,58;21,93;22,68;3,39%;22,68;22,69;345;27746;621287,15;
2008-05-23;23,37;22,65;23,75;22,65;22,68;23,60;4,09%;23,60;23,60;447;32370;756450,15;
2008-05-26;23,28;23,75;23,75;22,91;23,60;23,17;-1,83%;23,17;23,17;293;16411;382083,11;
2008-05-27;22,49;22,87;22,87;22,04;23,17;22,08;-4,71%;22,07;22,08;215;9950;223731,86;
2008-05-28;22,74;22,16;23,01;22,16;22,08;22,77;3,11%;22,77;22,85;147;7887;179332,09;
2008-05-29;23,88;22,91;24,27;22,91;22,77;24,12;5,95%;24,04;24,12;342;24206;578047,13;
2008-05-30;24,96;24,42;25,31;24,42;24,12;24,86;3,07%;24,85;24,86;374;26033;649816,81;
2008-06-02;24,56;25,05;25,34;24,26;24,86;24,57;-1,20%;24,48;24,57;234;10491;257680,00;
2008-06-03;24,27;24,27;24,39;24,07;24,57;24,39;-0,73%;24,39;24,44;40;2506;60820,52;
2008-06-04;25,11;24,62;25,54;24,62;24,39;24,62;0,95%;24,62;24,69;318;23086;579711,51;
2008-06-05;22,94;21,46;24,23;21,46;24,62;24,23;-1,59%;24,23;24,33;683;45825;1051218,00;
2008-06-06;24,55;24,99;24,99;24,30;24,23;24,62;1,61%;24,61;24,62;189;12152;298356,85;
2008-06-09;24,43;24,24;24,60;24,04;24,62;24,36;-1,04%;24,36;24,53;107;10063;245844,72;
2008-06-10;23,60;24,38;24,44;23,37;24,36;23,47;-3,65%;23,47;23,60;151;7974;188207,73;
2008-06-11;23,71;23,46;23,89;23,46;23,47;23,75;1,17%;23,69;23,75;46;2098;49737,59;
2008-06-12;23,98;23,75;24,18;23,75;23,75;24,06;1,32%;24,06;24,15;52;3349;80428,10;
2008-06-13;24,41;24,14;24,61;24,08;24,06;24,33;1,12%;24,33;24,36;125;6812;166251,32;
2008-06-16;24,67;24,33;24,98;24,22;24,33;24,26;-0,31%;24,26;24,33;197;14104;347983,39;
2008-06-17;24,12;24,47;24,50;23,80;24,26;24,34;0,36%;24,34;24,36;121;5735;138315,17;
2008-06-18;24,52;24,36;24,61;24,18;24,34;24,59;1,01%;24,58;24,59;84;4379;107359,50;
2008-06-19;24,72;24,56;24,98;24,55;24,59;24,66;0,29%;24,62;24,66;158;11188;276584,93;
2008-06-20;25,00;24,04;25,63;24,01;24,66;25,63;3,91%;25,60;25,63;353;32059;801395,36;
2008-06-25;25,59;25,63;26,07;25,36;25,63;25,41;-0,83%;25,39;25,41;115;5871;150246,16;
2008-06-26;25,52;25,49;25,66;25,32;25,41;25,49;0,28%;25,43;25,49;46;2691;68665,43;
2008-06-27;25,40;25,49;25,59;25,20;25,49;25,43;-0,23%;25,43;25,53;62;3320;84330,38;
2008-06-30;25,48;25,49;25,54;25,22;25,43;25,49;0,24%;25,49;25,54;48;3679;93736,47;
2008-07-01;25,79;25,63;26,07;25,36;25,49;25,83;1,35%;25,83;25,92;134;14664;378206,81;
