SECURITY DETAIL VIEW (EQUITY)
Limarko laivininkystės kompanija (LLK1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: LLK1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,45;0,45;0,45;0,45;0,45;0,45;0,65%;0,38;0,45;2;3064;1368,22;
2008-05-20;0,45;0,44;0,45;0,44;0,45;0,45;0,00%;0,38;0,45;3;5000;2228,87;
2008-05-21;0,00;0,45;0,00;0,00;0,45;0,45;0,00%;0,39;0,43;0;0;0,00;
2008-05-22;0,45;0,45;0,45;0,45;0,45;0,45;0,00%;0,41;0,45;1;5000;2244,56;
2008-05-23;0,00;0,45;0,00;0,00;0,45;0,45;0,00%;0,41;0,45;0;0;0,00;
2008-05-26;0,45;0,45;0,45;0,45;0,45;0,45;-0,65%;0,41;0,45;1;250;111,50;
2008-05-27;0,00;0,45;0,00;0,00;0,45;0,45;0,00%;0,41;0,45;0;0;0,00;
2008-05-28;0,00;0,45;0,00;0,00;0,45;0,45;0,00%;0,41;0,45;0;0;0,00;
2008-05-29;0,00;0,45;0,00;0,00;0,45;0,45;0,00%;0,41;0,45;0;0;0,00;
2008-05-30;0,00;0,45;0,00;0,00;0,45;0,45;0,00%;0,41;0,45;0;0;0,00;
2008-06-02;0,39;0,39;0,39;0,39;0,45;0,39;-12,34%;0,39;0,45;1;1000;390,99;
2008-06-03;0,45;0,45;0,45;0,45;0,39;0,45;14,81%;0,39;0,45;2;4150;1862,98;
2008-06-04;0,00;0,45;0,00;0,00;0,45;0,45;0,00%;0,41;0,43;0;0;0,00;
2008-06-05;0,00;0,45;0,00;0,00;0,45;0,45;0,00%;0,41;0,43;0;0;0,00;
2008-06-06;0,45;0,45;0,46;0,42;0,45;0,46;2,58%;0,42;0,45;8;6880;3110,32;
2008-06-09;0,45;0,43;0,46;0,43;0,46;0,46;0,00%;0,41;0,46;10;30125;13440,31;
2008-06-10;0,46;0,46;0,46;0,46;0,46;0,46;0,00%;0,41;0,46;2;975;448,98;
2008-06-11;0,00;0,46;0,00;0,00;0,46;0,46;0,00%;0,41;0,46;0;0;0,00;
2008-06-12;0,46;0,46;0,47;0,46;0,46;0,47;1,89%;0,46;0,47;10;27580;12782,88;
2008-06-13;0,00;0,47;0,00;0,00;0,47;0,47;0,00%;0,43;0,47;0;0;0,00;
