SECURITY DETAIL VIEW (EQUITY)
Panevėžio statybos trestas (PTR1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: PTR1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,70;2,75;2,78;2,64;2,72;2,72;0,21%;2,65;2,72;21;5507;14853,67;
2008-05-20;2,67;2,72;2,74;2,65;2,72;2,68;-1,49%;2,68;2,69;8;1002;2675,57;
2008-05-21;2,64;2,66;2,68;2,61;2,68;2,65;-1,30%;2,62;2,65;21;4911;12958,00;
2008-05-22;2,60;2,61;2,65;2,58;2,65;2,65;0,22%;2,64;2,65;56;15001;39034,84;
2008-05-23;2,63;2,64;2,66;2,61;2,65;2,64;-0,66%;2,64;2,66;35;9215;24269,47;
2008-05-26;2,75;2,69;2,81;2,69;2,64;2,75;4,40%;2,73;2,77;85;28393;78208,06;
2008-05-27;2,75;2,78;2,78;2,73;2,75;2,75;0,00%;2,73;2,75;24;5836;16063,36;
2008-05-28;2,76;2,76;2,91;2,74;2,75;2,87;4,42%;2,87;2,88;145;93440;258314,78;
2008-05-29;2,68;2,71;2,73;2,64;2,87;2,69;-6,45%;2,68;2,69;141;32893;88000,35;
2008-05-30;2,68;2,69;2,71;2,66;2,69;2,66;-0,86%;2,66;2,69;51;17119;45876,51;
2008-06-02;2,64;2,66;2,66;2,53;2,66;2,61;-2,17%;2,61;2,64;15;5067;13389,92;
2008-06-03;2,63;2,63;2,66;2,61;2,61;2,66;2,11%;2,61;2,64;10;1325;3482,15;
2008-06-04;2,63;2,66;2,66;2,61;2,66;2,64;-0,98%;2,62;2,64;29;5784;15238,10;
2008-06-05;2,61;2,61;2,66;2,61;2,64;2,66;0,88%;2,61;2,66;14;3912;10211,50;
2008-06-06;2,68;2,62;2,71;2,62;2,66;2,70;1,63%;2,68;2,70;36;7380;19759,16;
2008-06-09;2,65;2,70;2,70;2,64;2,70;2,66;-1,39%;2,65;2,66;19;2648;7020,13;
2008-06-10;2,64;2,68;2,68;2,63;2,66;2,66;-0,11%;2,64;2,66;13;2021;5330,04;
2008-06-11;2,64;2,64;2,68;2,63;2,66;2,68;0,54%;2,64;2,68;19;3836;10131,85;
2008-06-12;2,65;2,65;2,65;2,65;2,68;2,65;-0,97%;2,65;2,66;4;896;2374,42;
2008-06-13;2,65;2,65;2,66;2,64;2,65;2,66;0,22%;2,64;2,66;6;767;2029,87;
2008-06-16;2,64;2,64;2,65;2,64;2,66;2,65;-0,22%;2,63;2,65;14;1903;5024,67;
2008-06-17;2,64;2,64;2,65;2,64;2,65;2,65;-0,11%;2,64;2,65;14;3352;8840,66;
2008-06-18;2,65;2,64;2,71;2,64;2,65;2,68;1,20%;2,66;2,68;27;12284;32593,18;
2008-06-19;2,68;2,68;2,68;2,68;2,68;2,68;0,00%;2,65;2,67;4;785;2103,00;
2008-06-20;2,67;2,68;2,68;2,65;2,68;2,65;-1,08%;2,65;2,68;6;1893;5047,05;
2008-06-25;2,64;2,65;2,65;2,63;2,65;2,63;-0,66%;2,62;2,64;16;6466;17080,91;
2008-06-26;2,62;2,64;2,64;2,61;2,63;2,61;-0,99%;2,58;2,61;20;12449;32621,28;
2008-06-27;2,57;2,58;2,58;2,55;2,61;2,58;-1,11%;2,58;2,60;15;4319;11080,10;
2008-06-30;2,52;2,55;2,55;2,50;2,58;2,51;-2,47%;2,51;2,53;20;6815;17166,92;
2008-07-01;2,54;2,52;2,66;2,52;2,51;2,54;1,15%;2,51;2,54;24;4724;11998,61;
2008-07-02;2,51;2,55;2,55;2,46;2,54;2,55;0,23%;2,53;2,55;15;3580;8970,07;
2008-07-03;2,53;2,55;2,55;2,51;2,55;2,55;0,00%;2,53;2,55;20;5669;14324,98;
2008-07-04;2,57;2,57;2,58;2,55;2,55;2,55;0,00%;2,50;2,55;5;794;2040,25;
2008-07-07;0,00;2,55;0,00;0,00;2,55;2,55;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;2,53;2,55;2,55;2,52;2,55;2,52;-1,02%;2,52;2,52;7;1426;3611,30;
2008-07-09;2,49;2,52;2,52;2,46;2,52;2,48;-1,84%;2,46;2,49;12;1914;4765,96;
2008-07-10;2,36;2,44;2,44;2,32;2,48;2,37;-4,33%;2,37;2,37;19;4094;9644,36;
2008-07-11;2,44;2,42;2,45;2,42;2,37;2,45;3,30%;2,37;2,43;6;1782;4348,79;
2008-07-14;2,39;2,42;2,42;2,37;2,45;2,37;-2,96%;2,37;2,42;5;1500;3578,26;
2008-07-15;2,34;2,37;2,37;2,31;2,37;2,32;-2,44%;2,32;2,37;22;4465;10436,14;
2008-07-16;2,31;2,32;2,32;2,30;2,32;2,31;-0,38%;2,23;2,31;10;1590;3672,53;
2008-07-17;2,27;2,31;2,31;2,22;2,31;2,24;-2,89%;2,24;2,24;17;4572;10392,72;
2008-07-18;2,26;2,24;2,29;2,24;2,24;2,29;2,07%;2,24;2,29;7;607;1371,19;
2008-07-21;0,00;2,29;0,00;0,00;2,29;2,29;0,00%;2,20;2,31;0;0;0,00;
2008-07-22;2,13;2,22;2,22;2,05;2,29;2,10;-8,23%;2,06;2,10;42;15735;33577,73;
2008-07-23;2,04;2,10;2,10;1,94;2,10;2,01;-4,14%;1,97;2,03;26;4629;9430,98;
2008-07-24;2,13;2,03;2,31;2,03;2,01;2,11;5,04%;2,08;2,11;60;14890;31733,90;
2008-07-25;2,09;2,11;2,11;2,07;2,11;2,11;0,00%;2,07;2,11;3;154;321,25;
2008-07-28;2,20;2,20;2,20;2,20;2,11;2,20;3,84%;2,11;2,14;1;700;1536,72;
2008-07-29;2,17;2,17;2,17;2,17;2,20;2,17;-1,32%;2,04;2,11;1;45;97,49;
2008-07-30;2,16;2,15;2,17;2,15;2,17;2,17;0,27%;2,13;2,17;4;650;1404,82;
2008-07-31;2,14;2,10;2,19;2,10;2,17;2,19;0,67%;2,14;2,19;8;2895;6192,32;
2008-08-01;2,19;2,19;2,19;2,19;2,19;2,19;0,00%;2,09;2,19;1;277;605,70;
2008-08-04;2,17;2,17;2,23;2,13;2,19;2,13;-2,65%;2,13;2,20;9;1898;4114,85;
2008-08-05;2,13;2,10;2,17;2,09;2,13;2,17;2,04%;2,09;2,17;5;1120;2387,59;
2008-08-06;2,18;2,17;2,20;2,17;2,17;2,20;1,33%;2,20;2,22;3;410;895,79;
2008-08-07;2,19;2,20;2,22;2,17;2,20;2,22;0,66%;2,17;2,22;7;882;1933,90;
2008-08-08;2,19;2,14;2,22;2,14;2,22;2,22;0,00%;2,08;2,21;4;1300;2850,86;
2008-08-11;2,17;2,16;2,20;2,16;2,22;2,18;-1,83%;2,17;2,20;3;395;857,45;
2008-08-12;2,17;2,17;2,17;2,17;2,18;2,17;-0,40%;2,10;2,17;3;502;1088,60;
2008-08-13;2,14;2,14;2,14;2,10;2,17;2,14;-1,07%;2,11;2,14;8;1124;2401,95;
2008-08-14;2,14;2,16;2,17;2,14;2,14;2,14;0,00%;2,10;2,14;8;2869;6152,86;
2008-08-15;0,00;2,14;0,00;0,00;2,14;2,14;0,00%;0,00;0,00;0;0;0,00;
2008-08-18;2,07;2,09;2,10;2,05;2,14;2,05;-4,19%;2,05;2,11;5;1285;2666,08;
2008-08-19;2,04;2,06;2,06;2,03;2,05;2,03;-1,13%;2,03;2,09;22;7559;15401,80;
2008-08-20;2,03;2,03;2,06;2,01;2,03;2,06;1,28%;2,04;2,06;21;7376;15006,64;
2008-08-21;2,08;2,06;2,10;2,06;2,06;2,10;2,11%;2,12;2,14;7;5101;10622,78;
2008-08-22;2,22;2,14;2,30;2,14;2,10;2,26;7,45%;2,20;2,26;36;10811;23809,00;
2008-08-25;2,27;2,27;2,29;2,23;2,26;2,27;0,77%;2,26;2,27;34;15318;34846,25;
2008-08-26;2,21;2,27;2,27;2,17;2,27;2,17;-4,46%;2,19;2,22;16;3166;7000,06;
2008-08-27;2,15;2,14;2,17;2,11;2,17;2,12;-2,40%;2,12;2,16;13;5455;11705,67;
2008-08-28;2,16;2,11;2,21;2,10;2,12;2,20;3,83%;2,20;2,21;7;2360;5104,99;
2008-08-29;2,15;2,24;2,24;2,11;2,20;2,11;-4,21%;2,11;2,20;17;36343;77943,92;
2008-09-01;2,17;2,11;2,21;2,10;2,11;2,21;4,67%;2,20;2,21;21;5639;12247,53;
2008-09-02;2,20;2,20;2,20;2,19;2,21;2,19;-0,92%;2,19;2,20;11;1843;4049,74;
2008-09-03;0,00;2,19;0,00;0,00;2,19;2,19;0,00%;2,15;2,20;0;0;0,00;
2008-09-04;2,17;2,17;2,17;2,17;2,19;2,17;-0,66%;2,16;2,20;1;100;217,22;
2008-09-05;2,14;2,14;2,16;2,13;2,17;2,16;-0,40%;2,12;2,16;19;3062;6542,05;
2008-09-08;2,15;2,13;2,17;2,13;2,16;2,17;0,27%;2,15;2,17;9;3888;8362,99;
2008-09-09;2,17;2,17;2,17;2,14;2,17;2,14;-1,20%;2,13;2,17;6;606;1313,21;
2008-09-10;2,11;2,13;2,13;2,09;2,14;2,11;-1,35%;2,11;2,14;11;5708;12073,60;
2008-09-11;2,12;2,09;2,13;2,09;2,11;2,13;0,55%;2,10;2,13;3;585;1240,40;
2008-09-12;2,08;2,09;2,09;2,07;2,13;2,07;-2,59%;2,10;2,13;3;350;726,80;
2008-09-15;2,06;2,06;2,06;2,04;2,07;2,04;-1,40%;2,03;2,09;6;1555;3198,71;
2008-09-16;1,98;2,02;2,02;1,93;2,04;1,95;-4,26%;1,95;1,98;13;3231;6385,68;
2008-09-17;2,00;2,04;2,04;1,95;1,95;2,03;3,70%;1,94;2,01;3;720;1441,58;
2008-09-18;1,80;1,97;1,97;1,75;2,03;1,79;-11,71%;1,79;1,82;39;9163;16515,69;
2008-09-19;1,86;1,85;1,91;1,83;1,79;1,91;6,63%;1,85;1,90;17;4611;8558,73;
2008-09-22;1,86;1,93;1,93;1,81;1,91;1,82;-4,70%;1,82;1,85;16;5556;10341,05;
2008-09-23;1,70;1,81;1,81;1,62;1,82;1,62;-10,83%;1,62;1,68;26;6667;11346,84;
2008-09-24;1,54;1,65;1,65;1,45;1,62;1,49;-8,04%;1,48;1,49;37;12812;19648,07;
2008-09-25;1,52;1,51;1,68;1,51;1,49;1,56;4,85%;1,50;1,56;14;4004;6092,42;
2008-09-26;1,52;1,56;1,56;1,48;1,56;1,51;-3,70%;1,48;1,51;32;9153;13887,62;
2008-09-29;1,38;1,48;1,48;1,36;1,51;1,41;-6,15%;1,34;1,41;29;8580;11822,54;
2008-09-30;1,34;1,33;1,39;1,20;1,41;1,29;-9,02%;1,30;1,36;33;12027;16118,88;
2008-10-01;1,38;1,29;1,43;1,29;1,29;1,38;6,98%;1,33;1,38;21;5756;7968,87;
2008-10-02;1,33;1,36;1,36;1,28;1,38;1,28;-7,16%;1,29;1,32;12;9044;11983,50;
2008-10-03;1,29;1,31;1,31;1,25;1,28;1,30;1,81%;1,25;1,30;36;11088;14314,73;
2008-10-06;1,16;1,30;1,30;1,11;1,30;1,11;-14,92%;1,11;1,13;30;11900;13776,00;
2008-10-07;1,02;1,12;1,12;0,97;1,11;1,04;-5,76%;0,98;1,13;16;7948;8131,68;
2008-10-08;0,92;0,98;0,98;0,89;1,04;0,93;-10,83%;0,93;0,93;32;15879;14649,91;
2008-10-09;1,01;0,94;1,06;0,94;0,93;0,96;2,80%;0,96;0,97;80;33622;33795,09;
2008-10-10;0,87;0,87;0,96;0,82;0,96;0,87;-8,48%;0,87;0,93;30;18729;16364,53;
2008-10-13;0,90;0,93;0,93;0,87;0,87;0,90;2,65%;0,85;0,90;71;65687;59247,74;
2008-10-14;0,95;0,96;0,96;0,91;0,90;0,95;5,81%;0,92;0,95;54;37901;35893,32;
2008-10-15;0,93;0,95;0,95;0,89;0,95;0,93;-2,44%;0,91;0,93;29;7784;7257,27;
2008-10-16;0,89;0,85;0,91;0,85;0,93;0,87;-6,25%;0,88;0,89;8;3265;2892,78;
2008-10-17;0,90;0,94;0,94;0,84;0,87;0,87;0,00%;0,87;0,92;14;3665;3280,69;
2008-10-20;0,89;0,87;0,90;0,87;0,87;0,90;3,67%;0,87;0,90;4;5219;4539,36;
2008-10-21;0,87;0,87;0,88;0,87;0,90;0,87;-3,22%;0,87;0,91;11;17750;15477,15;
2008-10-22;0,83;0,87;0,87;0,81;0,87;0,84;-3,99%;0,81;0,84;28;11066;9205,57;
2008-10-23;0,76;0,81;0,84;0,72;0,84;0,72;-13,49%;0,72;0,72;57;45152;34491,62;
2008-10-24;0,71;0,74;0,75;0,65;0,72;0,65;-10,00%;0,65;0,67;37;18634;13200,07;
2008-10-27;0,62;0,65;0,71;0,61;0,65;0,61;-5,78%;0,59;0,61;22;13634;8460,00;
2008-10-28;0,57;0,62;0,62;0,55;0,61;0,56;-9,43%;0,55;0,56;46;43829;24573,91;
2008-10-29;0,57;0,59;0,63;0,54;0,56;0,56;0,00%;0,56;0,58;56;129409;73171,39;
2008-10-30;0,53;0,56;0,56;0,52;0,56;0,52;-6,77%;0,52;0,53;19;10280;5426,76;
2008-10-31;0,50;0,52;0,52;0,48;0,52;0,49;-5,03%;0,50;0,52;32;32375;16048,37;
