SECURITY DETAIL VIEW (EQUITY)
Pieno žvaigždės (PZV1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: PZV1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;1,36;1,36;1,36;1,35;1,36;1,36;0,00%;1,35;1,36;9;8296;11253,73;
2008-05-20;1,34;1,36;1,36;1,34;1,36;1,34;-1,28%;1,34;1,36;3;2100;2823,51;
2008-05-21;1,36;1,36;1,36;1,36;1,34;1,36;1,08%;1,34;1,36;1;20;27,17;
2008-05-22;1,34;1,34;1,36;1,33;1,36;1,36;0,00%;1,34;1,36;7;4920;6588,68;
2008-05-23;1,34;1,34;1,36;1,34;1,36;1,36;0,00%;1,34;1,36;3;2000;2683,04;
2008-05-26;1,37;1,34;1,38;1,34;1,36;1,38;1,28%;1,37;1,39;7;4301;5873,90;
2008-05-27;1,39;1,36;1,39;1,36;1,38;1,39;1,05%;1,39;1,41;4;5665;7864,78;
2008-05-28;1,39;1,39;1,41;1,39;1,39;1,41;1,25%;1,39;1,41;4;3160;4394,43;
2008-05-29;1,40;1,39;1,41;1,39;1,41;1,41;0,21%;1,39;1,41;2;186;260,32;
2008-05-30;0,00;1,41;0,00;0,00;1,41;1,41;0,00%;1,39;1,41;0;0;0,00;
2008-06-02;1,39;1,39;1,40;1,39;1,41;1,40;-1,03%;1,38;1,40;5;3623;5032,11;
2008-06-03;1,37;1,37;1,37;1,37;1,40;1,37;-1,87%;1,36;1,38;2;1621;2220,61;
2008-06-04;1,38;1,38;1,38;1,38;1,37;1,38;0,42%;1,35;1,38;3;370;509,01;
2008-06-05;1,38;1,38;1,38;1,38;1,38;1,38;0,21%;1,36;1,38;1;22;30,33;
2008-06-06;0,00;1,38;0,00;0,00;1,38;1,38;0,00%;1,36;1,39;0;0;0,00;
2008-06-09;0,00;1,38;0,00;0,00;1,38;1,38;0,00%;1,36;1,38;0;0;0,00;
2008-06-10;1,38;1,38;1,38;1,38;1,38;1,38;0,21%;1,36;1,38;1;250;345,37;
2008-06-11;0,00;1,38;0,00;0,00;1,38;1,38;0,00%;1,36;1,38;0;0;0,00;
2008-06-12;1,38;1,38;1,40;1,38;1,38;1,40;1,47%;1,38;1,40;2;2200;3037,53;
2008-06-13;0,00;1,40;0,00;0,00;1,40;1,40;0,00%;1,38;1,40;0;0;0,00;
2008-06-16;1,38;1,38;1,38;1,38;1,40;1,38;-1,65%;1,38;1,40;2;2257;3110,74;
2008-06-17;0,00;1,38;0,00;0,00;1,38;1,38;0,00%;1,38;1,39;0;0;0,00;
2008-06-18;1,39;1,38;1,39;1,38;1,38;1,39;0,84%;1,39;1,40;11;28500;39556,30;
2008-06-19;1,39;1,39;1,39;1,39;1,39;1,39;0,00%;1,39;1,40;6;7177;9977,29;
2008-06-20;1,39;1,39;1,39;1,39;1,39;1,39;0,00%;1,39;1,40;3;3155;4386,01;
2008-06-25;1,39;1,39;1,39;1,39;1,39;1,39;0,00%;1,39;1,40;6;13959;19405,47;
2008-06-26;1,45;1,40;1,45;1,40;1,39;1,45;4,58%;1,40;1,45;4;137900;200384,62;
2008-06-27;1,42;1,42;1,42;1,42;1,45;1,42;-2,39%;1,42;1,42;3;87;123,76;
2008-06-30;1,40;1,40;1,40;1,40;1,42;1,40;-1,02%;1,40;1,42;5;3963;5563,07;
2008-07-01;1,42;1,41;1,42;1,41;1,40;1,42;0,82%;1,42;1,42;2;2210;3129,29;
2008-07-02;1,43;1,42;1,43;1,42;1,42;1,42;0,20%;1,41;1,42;10;10199;14535,48;
2008-07-03;1,42;1,42;1,43;1,41;1,42;1,42;0,00%;1,42;1,43;15;52362;74315,83;
2008-07-04;1,43;1,43;1,43;1,43;1,42;1,43;0,82%;1,40;1,42;1;150;214,61;
2008-07-07;0,00;1,43;0,00;0,00;1,43;1,43;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;1,42;1,42;1,42;1,40;1,43;1,42;-0,81%;1,40;1,42;7;14663;20800,67;
2008-07-09;0,00;1,42;0,00;0,00;1,42;1,42;0,00%;1,40;1,42;0;0;0,00;
2008-07-10;0,00;1,42;0,00;0,00;1,42;1,42;0,00%;1,40;1,42;0;0;0,00;
2008-07-11;1,40;1,40;1,40;1,40;1,42;1,40;-1,02%;1,40;1,42;2;2000;2809,31;
2008-07-14;1,42;1,42;1,42;1,42;1,40;1,42;1,03%;1,41;1,42;5;10150;14392,67;
2008-07-15;1,40;1,40;1,40;1,40;1,42;1,40;-1,02%;1,40;1,40;1;2020;2837,41;
2008-07-16;1,42;1,42;1,42;1,40;1,40;1,41;0,62%;1,41;1,41;14;116739;165587,39;
2008-07-17;1,41;1,41;1,42;1,41;1,41;1,41;0,00%;1,41;1,42;5;16080;22726,36;
2008-07-18;1,41;1,41;1,41;1,41;1,41;1,41;0,00%;1,41;1,41;4;11245;15893,07;
2008-07-21;1,41;1,41;1,41;1,40;1,41;1,40;-0,61%;1,40;1,41;2;1000;1406,97;
2008-07-22;1,41;1,41;1,41;1,40;1,40;1,40;0,00%;1,39;1,40;3;1761;2474,65;
2008-07-23;0,00;1,40;0,00;0,00;1,40;1,40;0,00%;1,39;1,40;0;0;0,00;
2008-07-24;1,39;1,39;1,39;1,39;1,40;1,39;-1,03%;1,37;1,39;2;700;973,12;
2008-07-25;1,35;1,38;1,38;1,34;1,39;1,34;-3,75%;1,31;1,34;5;2000;2705,05;
2008-07-28;1,33;1,33;1,35;1,33;1,34;1,35;1,08%;1,33;1,35;6;2600;3468,46;
2008-07-29;1,35;1,35;1,35;1,35;1,35;1,35;0,00%;1,35;1,42;2;436;589,70;
2008-07-30;1,34;1,34;1,34;1,33;1,35;1,33;-1,50%;1,33;1,35;3;1650;2202,85;
2008-07-31;1,33;1,33;1,33;1,33;1,33;1,33;0,00%;1,33;1,35;2;2750;3663,69;
2008-08-01;1,33;1,33;1,33;1,33;1,33;1,33;0,00%;1,33;1,35;2;4000;5329,01;
2008-08-04;1,35;1,34;1,35;1,34;1,33;1,35;1,09%;1,33;1,35;2;11472;15436,93;
2008-08-05;1,35;1,35;1,35;1,34;1,35;1,35;0,00%;1,35;1,35;17;27510;37047,62;
2008-08-06;1,33;1,35;1,35;1,33;1,35;1,33;-1,08%;1,33;1,35;10;20144;26838,13;
2008-08-07;1,33;1,33;1,33;1,33;1,33;1,33;0,00%;1,33;1,35;5;6500;8659,64;
2008-08-08;1,33;1,33;1,33;1,33;1,33;1,33;0,00%;1,33;1,33;8;15011;19998,44;
2008-08-11;1,33;1,33;1,33;1,33;1,33;1,33;0,00%;1,33;1,35;18;98000;130560,71;
2008-08-12;1,34;1,33;1,35;1,33;1,33;1,35;1,09%;1,34;1,35;2;1140;1533,25;
2008-08-13;1,35;1,35;1,35;1,33;1,35;1,33;-1,08%;1,33;1,35;2;14747;19858,48;
2008-08-14;1,35;1,35;1,35;1,35;1,33;1,35;1,09%;1,35;1,35;4;37428;50405,53;
2008-08-15;0,00;1,35;0,00;0,00;1,35;1,35;0,00%;0,00;0,00;0;0;0,00;
2008-08-18;1,37;1,35;1,38;1,35;1,35;1,38;2,15%;1,38;1,39;4;2700;3704,53;
2008-08-19;1,40;1,39;1,42;1,39;1,38;1,42;2,95%;1,41;1,42;21;24856;34868,40;
2008-08-20;1,44;1,42;1,44;1,42;1,42;1,44;1,64%;1,44;1,48;4;10800;15537,53;
2008-08-21;1,42;1,43;1,43;1,42;1,44;1,42;-1,41%;1,42;1,43;4;34884;49519,69;
2008-08-22;1,49;1,46;1,52;1,46;1,42;1,49;5,10%;1,43;1,49;11;10318;15340,97;
2008-08-25;1,45;1,45;1,45;1,45;1,49;1,45;-2,91%;1,45;1,46;3;1265;1831,85;
2008-08-26;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,45;1,45;3;46947;67983,96;
2008-08-27;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,45;1,45;3;51569;74677,07;
2008-08-28;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,45;1,48;5;7351;10656,61;
2008-08-29;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,42;1,44;3;5650;8181,77;
2008-09-01;1,44;1,43;1,45;1,43;1,45;1,45;0,00%;1,45;1,47;7;4667;6740,91;
2008-09-02;1,44;1,44;1,46;1,42;1,45;1,44;-0,40%;1,44;1,46;6;11048;15899,02;
2008-09-03;1,44;1,44;1,45;1,44;1,44;1,45;0,40%;1,43;1,45;4;14680;21173,66;
2008-09-04;0,00;1,45;0,00;0,00;1,45;1,45;0,00%;1,43;1,45;0;0;0,00;
2008-09-05;1,43;1,43;1,43;1,42;1,45;1,43;-1,00%;1,42;1,44;4;5711;8183,33;
2008-09-08;1,43;1,42;1,44;1,42;1,43;1,44;0,61%;1,42;1,44;10;9233;13243,95;
2008-09-09;1,43;1,43;1,44;1,43;1,44;1,43;-0,60%;1,42;1,43;7;30572;43827,94;
2008-09-10;1,43;1,43;1,43;1,42;1,43;1,43;0,00%;1,43;1,44;4;3415;4884,22;
2008-09-11;0,00;1,43;0,00;0,00;1,43;1,43;0,00%;1,43;1,44;0;0;0,00;
2008-09-12;1,43;1,43;1,43;1,43;1,43;1,43;0,00%;1,43;1,45;4;33357;47821,23;
2008-09-15;1,42;1,43;1,43;1,42;1,43;1,42;-1,01%;1,42;1,43;8;15098;21498,55;
2008-09-16;1,40;1,40;1,40;1,40;1,42;1,40;-1,02%;1,40;1,42;1;4000;5618,63;
2008-09-17;0,00;1,40;0,00;0,00;1,40;1,40;0,00%;1,40;1,42;0;0;0,00;
2008-09-18;1,39;1,39;1,39;1,39;1,40;1,39;-1,03%;1,38;1,40;8;10400;14458,99;
2008-09-19;1,35;1,38;1,38;1,33;1,39;1,33;-4,17%;0,00;1,33;3;970;1308,94;
2008-09-22;1,34;1,33;1,35;1,33;1,33;1,35;1,09%;1,34;1,35;5;6895;9270,09;
2008-09-23;1,33;1,33;1,33;1,33;1,35;1,33;-1,08%;1,32;1,33;3;62110;83499,19;
2008-09-24;1,33;1,33;1,33;1,33;1,33;1,33;0,00%;1,31;1,33;2;503;670,12;
2008-09-25;0,00;1,33;0,00;0,00;1,33;1,33;0,00%;1,31;1,32;0;0;0,00;
2008-09-26;1,31;1,31;1,31;1,31;1,33;1,31;-1,96%;1,28;1,30;1;400;522,47;
2008-09-29;1,25;1,29;1,29;1,22;1,31;1,22;-6,87%;1,19;1,22;5;1705;2132,73;
2008-09-30;1,18;1,16;1,22;1,16;1,22;1,22;0,00%;1,18;1,20;3;750;886,82;
2008-10-01;1,21;1,20;1,22;1,20;1,22;1,22;0,00%;1,18;1,20;3;1884;2285,91;
2008-10-02;1,20;1,20;1,20;1,20;1,22;1,20;-1,19%;1,20;1,22;1;37;44,47;
2008-10-03;1,19;1,19;1,19;1,16;1,20;1,19;-1,20%;1,17;1,19;6;6900;8181,19;
2008-10-06;1,11;1,17;1,17;1,03;1,19;1,15;-3,17%;1,10;1,12;15;3361;3745,84;
2008-10-07;1,14;1,13;1,16;1,13;1,15;1,16;0,76%;1,14;1,16;12;2497;2847,14;
2008-10-08;1,12;1,14;1,15;1,10;1,16;1,15;-0,75%;1,13;1,15;15;6711;7520,39;
2008-10-09;1,15;1,15;1,16;1,15;1,15;1,16;1,01%;1,16;1,18;6;17479;20107,85;
2008-10-10;1,14;1,14;1,14;1,14;1,16;1,14;-1,50%;1,13;1,14;9;8000;9148,52;
