SECURITY DETAIL VIEW (EQUITY)
Rytų skirstomieji tinklai (RST1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: RST1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;1,16;1,17;1,17;1,13;1,17;1,16;-0,99%;1,13;1,16;18;9623;11199,91;
2008-05-20;1,14;1,14;1,15;1,10;1,16;1,15;-0,75%;1,10;1,15;14;7744;8848,49;
2008-05-21;1,14;1,16;1,16;1,11;1,15;1,14;-0,75%;1,12;1,14;12;7854;8943,24;
2008-05-22;1,11;1,13;1,13;1,07;1,14;1,09;-5,06%;1,07;1,09;15;9487;10484,47;
2008-05-23;1,10;1,10;1,11;1,09;1,09;1,11;2,40%;1,10;1,12;32;36826;40576,55;
2008-05-26;1,12;1,11;1,13;1,11;1,11;1,13;1,56%;1,12;1,13;9;5612;6308,11;
2008-05-27;1,13;1,13;1,14;1,10;1,13;1,10;-2,31%;1,11;1,13;10;7210;8125,76;
2008-05-28;1,14;1,14;1,16;1,12;1,10;1,16;4,99%;1,14;1,16;18;18790;21471,04;
2008-05-29;1,24;1,16;1,29;1,16;1,16;1,25;7,50%;1,23;1,25;15;8085;10056,65;
2008-05-30;1,23;1,25;1,25;1,23;1,25;1,24;-0,70%;1,24;1,25;18;19508;24089,79;
2008-06-02;1,24;1,26;1,26;1,21;1,24;1,25;1,41%;1,25;1,25;22;11090;13789,36;
2008-06-03;1,09;1,13;1,13;1,07;1,25;1,07;-14,78%;0,00;1,07;49;46501;50534,03;
2008-06-04;1,07;1,04;1,16;1,02;1,07;1,09;2,17%;1,09;1,10;46;26773;28743,95;
2008-06-05;1,10;1,13;1,13;1,10;1,09;1,10;0,80%;1,10;1,12;10;4523;4979,90;
2008-06-06;1,10;1,11;1,12;1,10;1,10;1,12;1,58%;1,10;1,12;12;6683;7362,04;
2008-06-09;1,10;1,10;1,10;1,10;1,12;1,10;-1,55%;1,10;1,11;8;3941;4341,89;
2008-06-10;1,10;1,10;1,11;1,10;1,10;1,11;1,05%;1,10;1,11;9;5304;5839,67;
2008-06-11;1,09;1,10;1,10;1,09;1,11;1,09;-2,08%;1,09;1,10;4;2739;2997,93;
2008-06-12;1,09;1,09;1,09;1,09;1,09;1,09;0,53%;1,09;1,10;5;5250;5730,13;
2008-06-13;1,09;1,10;1,10;1,08;1,09;1,09;-0,53%;1,09;1,10;22;26660;28986,71;
2008-06-16;1,08;1,09;1,09;1,08;1,09;1,08;-0,80%;1,08;1,09;18;25350;27385,86;
2008-06-17;1,11;1,06;1,12;1,06;1,08;1,11;2,95%;1,09;1,11;21;69210;76684,10;
2008-06-18;1,12;1,11;1,12;1,11;1,11;1,12;0,78%;1,10;1,12;11;14677;16407,98;
2008-06-19;1,11;1,12;1,12;1,10;1,12;1,12;-0,52%;1,10;1,11;13;10368;11474,02;
2008-06-20;1,10;1,11;1,12;1,10;1,12;1,10;-1,30%;1,09;1,10;27;32038;35339,62;
2008-06-25;1,16;1,16;1,18;1,14;1,10;1,14;3,95%;1,11;1,14;10;11025;12758,41;
2008-06-26;1,14;1,14;1,14;1,14;1,14;1,14;0,00%;1,14;1,14;11;16159;18485,88;
2008-06-27;1,14;1,14;1,15;1,13;1,14;1,13;-1,01%;1,13;1,15;15;11075;12657,33;
2008-06-30;1,11;1,11;1,12;1,11;1,13;1,11;-2,05%;1,11;1,13;4;27505;30551,48;
2008-07-01;1,11;1,11;1,16;1,11;1,11;1,12;1,04%;1,12;1,13;11;28856;32125,03;
2008-07-02;1,13;1,12;1,13;1,12;1,12;1,13;0,52%;1,12;1,13;10;25029;28189,61;
2008-07-03;1,12;1,11;1,13;1,11;1,13;1,12;-1,03%;1,11;1,12;10;151038;169331,06;
2008-07-04;1,13;1,13;1,15;1,12;1,12;1,15;2,86%;1,14;1,15;12;37836;42749,86;
2008-07-07;0,00;1,15;0,00;0,00;1,15;1,15;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;1,18;1,15;1,20;1,15;1,15;1,20;4,29%;1,16;1,20;19;18891;22369,82;
2008-07-09;1,18;1,20;1,20;1,17;1,20;1,18;-1,21%;1,17;1,18;7;2198;2597,44;
2008-07-10;1,16;1,16;1,17;1,15;1,18;1,16;-1,96%;1,16;1,16;22;99673;117460,54;
2008-07-11;1,14;1,17;1,17;1,14;1,16;1,14;-1,25%;1,14;1,16;7;10602;12061,54;
2008-07-14;1,16;1,16;1,16;1,16;1,14;1,16;1,01%;1,15;1,16;5;2495;2883,18;
2008-07-15;1,15;1,16;1,16;1,14;1,16;1,14;-1,00%;1,15;1,16;8;2400;2750,56;
2008-07-16;1,14;1,15;1,15;1,14;1,14;1,15;0,51%;1,14;1,15;12;92545;105853,22;
2008-07-17;1,15;1,15;1,15;1,14;1,15;1,14;-0,50%;1,14;1,15;4;2326;2667,86;
2008-07-18;1,14;1,14;1,14;1,14;1,14;1,14;0,00%;1,14;1,15;2;4000;4576,00;
2008-07-21;1,13;1,13;1,13;1,12;1,14;1,12;-1,77%;1,12;1,12;4;201100;227145,51;
2008-07-22;1,13;1,12;1,15;1,11;1,12;1,13;0,52%;1,12;1,14;9;6750;7595,57;
2008-07-23;1,13;1,13;1,13;1,12;1,13;1,13;0,00%;1,12;1,14;8;4643;5232,39;
2008-07-24;1,12;1,11;1,14;1,02;1,13;1,14;1,28%;1,12;1,14;6;4070;4560,59;
2008-07-25;1,12;1,12;1,12;1,12;1,14;1,12;-1,77%;1,12;1,13;3;2288;2571,08;
2008-07-28;1,13;1,12;1,13;1,12;1,12;1,13;0,52%;1,11;1,14;4;4176;4699,49;
2008-07-29;1,13;1,13;1,13;1,13;1,13;1,13;0,00%;1,13;1,13;3;202700;228368,86;
2008-07-30;1,12;1,12;1,12;1,12;1,13;1,12;-0,51%;1,13;1,13;6;2372;2662,70;
2008-07-31;1,12;1,12;1,12;1,12;1,12;1,12;0,00%;1,12;1,13;4;2400;2691,84;
2008-08-01;1,12;1,12;1,12;1,12;1,12;1,12;-0,77%;1,12;1,12;1;150;167,26;
2008-08-04;1,12;1,11;1,13;1,11;1,12;1,13;1,30%;1,12;1,13;6;3299;3686,11;
2008-08-05;1,13;1,13;1,14;1,13;1,13;1,14;1,03%;1,12;1,14;3;4548;5126,28;
2008-08-06;1,14;1,14;1,14;1,14;1,14;1,14;-0,25%;1,12;1,14;4;301900;344494,33;
2008-08-07;1,14;1,14;1,14;1,14;1,14;1,14;-0,25%;1,14;1,15;2;230;261,12;
2008-08-08;1,15;1,14;1,15;1,12;1,14;1,15;1,53%;1,14;1,15;15;12700;14551,27;
2008-08-11;1,15;1,15;1,15;1,15;1,15;1,15;0,00%;1,13;1,15;1;402;463,38;
2008-08-12;1,13;1,13;1,13;1,13;1,15;1,13;-2,01%;1,12;1,14;1;2000;2259,04;
2008-08-13;1,12;1,12;1,13;1,12;1,13;1,12;-1,03%;1,12;1,13;7;3779;4237,81;
2008-08-14;1,12;1,12;1,12;1,12;1,12;1,12;-0,26%;1,11;1,12;5;4200;4690,69;
2008-08-15;0,00;1,12;0,00;0,00;1,12;1,12;0,00%;0,00;0,00;0;0;0,00;
2008-08-18;1,11;1,10;1,12;1,10;1,12;1,12;0,00%;1,12;1,14;6;8595;9561,37;
2008-08-19;1,12;1,12;1,12;1,12;1,12;1,12;0,00%;1,12;1,13;6;1113;1241,04;
2008-08-20;1,11;1,11;1,12;1,11;1,12;1,12;0,00%;1,12;1,13;2;4738;5274,91;
2008-08-21;1,11;1,11;1,12;1,11;1,12;1,12;0,00%;1,12;1,13;3;900;996,58;
2008-08-22;1,13;1,13;1,14;1,13;1,12;1,13;1,30%;1,13;1,14;9;44990;50820,69;
2008-08-25;1,12;1,12;1,13;1,12;1,13;1,13;0,00%;1,13;1,14;6;7100;7969,47;
2008-08-26;1,13;1,13;1,13;1,13;1,13;1,13;0,00%;1,13;1,15;4;5000;5647,59;
2008-08-27;1,14;1,12;1,14;1,12;1,13;1,13;0,00%;1,13;1,15;7;59584;67960,57;
2008-08-28;1,13;1,13;1,13;1,13;1,13;1,13;0,00%;1,13;1,15;3;30510;34547,03;
2008-08-29;1,13;1,13;1,15;1,12;1,13;1,15;1,54%;1,13;1,15;13;21003;23663,40;
2008-09-01;1,15;1,15;1,15;1,15;1,15;1,15;0,25%;1,14;1,15;3;1869;2150,41;
2008-09-02;1,13;1,13;1,13;1,13;1,15;1,13;-1,76%;1,13;1,14;6;4435;5005,07;
2008-09-03;1,15;1,13;1,17;1,13;1,13;1,16;2,56%;1,15;1,16;21;32814;37779,73;
