SECURITY DETAIL VIEW (EQUITY)
Rokiškio sūris (RSU1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: RSU1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;1,48;1,49;1,49;1,48;1,49;1,48;-0,78%;1,48;1,49;6;11100;16396,55;
2008-05-20;1,48;1,48;1,48;1,48;1,48;1,48;0,00%;1,48;1,48;7;4490;6632,01;
2008-05-21;1,45;1,43;1,45;1,43;1,48;1,45;-1,96%;1,46;1,47;4;850;1229,15;
2008-05-22;1,47;1,45;1,48;1,45;1,45;1,48;2,00%;1,48;1,48;20;30975;45588,51;
2008-05-23;1,48;1,48;1,49;1,48;1,48;1,49;0,78%;1,48;1,49;4;1890;2795,01;
2008-05-26;1,50;1,49;1,51;1,48;1,49;1,48;-0,78%;1,48;1,51;9;1575;2357,74;
2008-05-27;1,49;1,48;1,51;1,48;1,48;1,48;0,00%;1,48;1,51;5;822;1222,83;
2008-05-28;1,53;1,51;1,59;1,51;1,48;1,59;7,65%;1,51;1,59;15;5602;8541,90;
2008-05-29;1,48;1,48;1,48;1,48;1,59;1,48;-6,74%;1,51;1,56;1;523;775,53;
2008-05-30;1,51;1,51;1,51;1,51;1,48;1,51;1,56%;1,49;1,51;4;4285;6453,31;
2008-06-02;1,48;1,48;1,48;1,48;1,51;1,48;-1,73%;1,48;1,51;5;4585;6791,11;
2008-06-03;1,48;1,48;1,48;1,48;1,48;1,48;-0,20%;1,48;1,53;1;80;118,16;
2008-06-04;1,48;1,48;1,48;1,48;1,48;1,48;0,20%;1,48;1,51;3;1400;2071,94;
2008-06-05;1,51;1,51;1,51;1,51;1,48;1,51;1,76%;1,49;1,51;1;50;75,30;
2008-06-06;1,49;1,49;1,49;1,48;1,51;1,49;-0,96%;1,48;1,49;8;1595;2370,37;
2008-06-09;1,49;1,49;1,49;1,49;1,49;1,49;-0,19%;1,49;1,51;6;11402;16977,90;
2008-06-10;1,49;1,50;1,51;1,48;1,49;1,48;-0,39%;1,48;1,49;4;1900;2834,22;
2008-06-11;1,48;1,48;1,48;1,48;1,48;1,48;-0,39%;1,48;1,49;4;2650;3914,21;
2008-06-12;1,48;1,48;1,48;1,48;1,48;1,48;0,00%;1,48;1,50;8;3472;5128,36;
