SECURITY DETAIL VIEW (EQUITY)
Šiaulių bankas (SAB1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: SAB1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,64;0,66;0,66;0,63;0,66;0,63;-3,95%;0,63;0,64;56;117589;74983,60;
2008-05-20;0,63;0,63;0,64;0,63;0,63;0,64;0,46%;0,63;0,64;64;101103;64039,80;
2008-05-21;0,63;0,64;0,64;0,63;0,64;0,63;-0,45%;0,63;0,63;29;20132;12729,83;
2008-05-22;0,63;0,64;0,64;0,63;0,63;0,63;-0,91%;0,63;0,63;50;548592;346137,66;
2008-05-23;0,63;0,63;0,65;0,63;0,63;0,65;2,76%;0,64;0,65;66;415614;262855,87;
2008-05-26;0,66;0,65;0,67;0,65;0,65;0,67;3,14%;0,67;0,67;70;79276;52566,59;
2008-05-27;0,66;0,67;0,67;0,65;0,67;0,66;-0,43%;0,65;0,66;41;43727;29052,13;
2008-05-28;0,66;0,66;0,67;0,65;0,66;0,67;0,44%;0,66;0,67;28;23215;15311,05;
2008-05-29;0,65;0,67;0,67;0,65;0,67;0,66;-0,87%;0,65;0,66;36;47162;30793,73;
2008-05-30;0,65;0,66;0,66;0,64;0,66;0,66;-0,44%;0,65;0,66;34;44439;29089,61;
2008-06-02;0,65;0,66;0,66;0,65;0,66;0,65;-0,88%;0,65;0,65;11;3807;2484,51;
2008-06-03;0,66;0,67;0,67;0,66;0,65;0,66;0,89%;0,65;0,66;2;2100;1381,49;
2008-06-04;0,65;0,65;0,67;0,65;0,66;0,65;-1,32%;0,65;0,65;24;17015;11071,82;
2008-06-05;0,64;0,65;0,65;0,63;0,65;0,64;-1,79%;0,64;0,65;56;67226;42988,04;
2008-06-06;0,65;0,65;0,65;0,64;0,64;0,65;1,36%;0,65;0,65;32;22272;14400,94;
2008-06-09;0,63;0,65;0,65;0,63;0,65;0,64;-1,35%;0,63;0,64;62;188722;119684,01;
2008-06-10;0,64;0,64;0,64;0,63;0,64;0,63;-0,45%;0,63;0,64;20;16277;10366,77;
2008-06-11;0,63;0,63;0,64;0,63;0,63;0,63;0,00%;0,63;0,64;6;6913;4387,59;
2008-06-12;0,63;0,63;0,64;0,63;0,63;0,63;-0,46%;0,63;0,64;18;21777;13803,81;
2008-06-13;0,63;0,63;0,63;0,63;0,63;0,63;0,00%;0,63;0,63;10;11944;7571,35;
2008-06-16;0,63;0,64;0,64;0,63;0,63;0,63;0,46%;0,63;0,64;20;32192;20422,63;
2008-06-17;0,64;0,64;0,64;0,63;0,63;0,64;0,46%;0,64;0,64;29;99712;63541,31;
2008-06-18;0,63;0,63;0,64;0,63;0,64;0,64;0,00%;0,64;0,64;20;25167;15975,25;
2008-06-19;0,64;0,64;0,64;0,63;0,64;0,63;-0,45%;0,63;0,64;11;154662;98497,63;
2008-06-20;0,63;0,63;0,63;0,63;0,63;0,63;0,00%;0,63;0,63;24;69765;43785,19;
2008-06-25;0,63;0,62;0,63;0,62;0,63;0,63;-0,46%;0,63;0,63;18;120834;76261,52;
2008-06-26;0,62;0,62;0,63;0,62;0,63;0,62;-1,38%;0,62;0,63;21;129504;80666,81;
2008-06-27;0,62;0,63;0,63;0,61;0,62;0,61;-2,33%;0,61;0,62;56;165387;102377,16;
2008-06-30;0,61;0,61;0,62;0,60;0,61;0,61;-0,48%;0,60;0,61;41;52643;31924,50;
2008-07-01;0,60;0,61;0,61;0,59;0,61;0,60;-0,48%;0,60;0,61;42;65347;39175,41;
2008-07-02;0,60;0,60;0,61;0,60;0,60;0,60;0,00%;0,60;0,61;31;117610;70483,82;
2008-07-03;0,60;0,60;0,60;0,59;0,60;0,60;-0,48%;0,60;0,60;57;560268;334301,18;
2008-07-04;0,61;0,61;0,61;0,60;0,60;0,61;2,42%;0,61;0,61;45;90113;54554,30;
2008-07-07;0,00;0,61;0,00;0,00;0,61;0,61;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,60;0,61;0,61;0,60;0,61;0,60;-1,89%;0,60;0,61;17;18027;10845,77;
2008-07-09;0,60;0,60;0,60;0,60;0,60;0,60;-0,48%;0,60;0,61;38;168168;100797,25;
2008-07-10;0,60;0,60;0,61;0,60;0,60;0,60;0,00%;0,60;0,61;18;150145;90195,09;
2008-07-11;0,60;0,61;0,61;0,59;0,60;0,60;0,00%;0,59;0,60;46;134706;80713,12;
2008-07-14;0,59;0,60;0,60;0,59;0,60;0,59;-0,97%;0,59;0,59;25;31130;18458,35;
2008-07-15;0,58;0,58;0,59;0,57;0,59;0,58;-2,44%;0,57;0,58;64;95463;55074,10;
2008-07-16;0,58;0,58;0,58;0,57;0,58;0,57;-2,00%;0,56;0,57;22;87890;50747,80;
2008-07-17;0,57;0,57;0,58;0,56;0,57;0,56;-1,02%;0,56;0,56;42;88585;50434,60;
2008-07-18;0,56;0,56;0,57;0,56;0,56;0,56;0,00%;0,56;0,57;18;18710;10562,59;
2008-07-21;0,55;0,56;0,56;0,53;0,56;0,54;-3,61%;0,54;0,54;38;63420;34642,83;
2008-07-22;0,51;0,52;0,54;0,50;0,54;0,50;-6,95%;0,50;0,51;44;62923;32258,59;
2008-07-23;0,49;0,52;0,52;0,47;0,50;0,51;1,72%;0,51;0,52;137;820744;405603,24;
2008-07-24;0,52;0,51;0,53;0,51;0,51;0,52;1,69%;0,52;0,52;61;94218;49221,74;
2008-07-25;0,51;0,51;0,52;0,51;0,52;0,52;-1,11%;0,52;0,52;13;23449;12006,97;
2008-07-28;0,52;0,52;0,52;0,51;0,52;0,51;-0,56%;0,51;0,52;29;45618;23630,86;
2008-07-29;0,51;0,51;0,51;0,50;0,51;0,51;-1,13%;0,50;0,51;69;246582;124563,55;
2008-07-30;0,52;0,51;0,52;0,51;0,51;0,52;2,29%;0,52;0,52;75;184760;95492,72;
2008-07-31;0,52;0,52;0,52;0,52;0,52;0,52;0,56%;0,52;0,52;20;41637;21698,88;
2008-08-01;0,51;0,52;0,53;0,51;0,52;0,51;-2,22%;0,51;0,52;21;352834;179009,53;
2008-08-04;0,52;0,51;0,52;0,51;0,51;0,52;1,14%;0,51;0,52;12;13435;6945,22;
2008-08-05;0,51;0,52;0,52;0,51;0,52;0,51;-1,12%;0,51;0,51;36;417416;212050,35;
2008-08-06;0,52;0,51;0,53;0,51;0,51;0,52;1,70%;0,52;0,52;24;50382;26116,29;
2008-08-07;0,52;0,52;0,52;0,51;0,52;0,52;0,56%;0,52;0,52;35;56608;29285,83;
2008-08-08;0,52;0,52;0,53;0,51;0,52;0,51;-1,67%;0,51;0,52;33;39745;20839,32;
2008-08-11;0,52;0,51;0,53;0,51;0,51;0,52;1,69%;0,52;0,53;21;98875;51055,58;
2008-08-12;0,53;0,52;0,54;0,52;0,52;0,54;3,33%;0,54;0,54;32;67822;36142,22;
