SECURITY DETAIL VIEW (EQUITY)
Sanitas (SAN1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: SAN1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;7,51;7,73;7,73;7,39;7,73;7,72;-0,19%;7,39;7,72;11;1479;11110,63;
2008-05-20;7,63;7,67;7,67;7,39;7,72;7,63;-1,16%;7,41;7,63;20;3576;27273,83;
2008-05-21;7,57;7,62;7,62;7,47;7,63;7,53;-1,29%;7,47;7,61;5;730;5527,11;
2008-05-22;7,46;7,53;7,65;7,39;7,53;7,44;-1,15%;7,44;7,62;30;7592;56613,04;
2008-05-23;7,62;7,44;7,70;7,44;7,44;7,70;3,50%;7,65;7,70;24;6630;50490,99;
2008-05-26;7,82;7,82;7,82;7,72;7,70;7,82;1,50%;7,82;7,95;9;7327;57275,93;
2008-05-27;7,84;7,82;7,91;7,82;7,82;7,82;0,00%;7,76;7,82;9;535;4192,58;
2008-05-28;7,78;7,82;7,82;7,67;7,82;7,82;0,00%;7,69;7,82;7;1050;8169,44;
2008-05-29;7,93;7,82;7,96;7,82;7,82;7,96;1,85%;7,82;7,96;15;4750;37648,04;
2008-05-30;8,00;7,97;8,11;7,82;7,96;8,05;1,09%;7,96;8,25;23;13848;110743,50;
2008-06-02;8,12;8,27;8,37;8,03;8,05;8,11;0,68%;7,97;8,11;34;5373;43623,33;
2008-06-03;8,09;8,08;8,11;8,08;8,11;8,11;0,04%;8,11;8,25;10;20540;166131,84;
2008-06-04;8,60;8,14;8,92;8,14;8,11;8,91;9,82%;8,91;8,91;98;18962;163117,09;
2008-06-05;8,97;9,26;9,27;8,69;8,91;8,98;0,81%;8,98;9,12;59;8373;75139,27;
2008-06-06;9,36;8,98;9,69;8,98;8,98;9,56;6,45%;9,46;9,56;69;11611;108728,92;
2008-06-09;9,82;9,56;10,12;9,41;9,56;9,80;2,58%;9,79;9,80;125;15823;155419,92;
2008-06-10;9,72;9,85;9,91;9,56;9,80;9,62;-1,92%;9,62;9,67;56;7206;70028,73;
2008-06-11;9,59;9,62;9,76;9,54;9,62;9,65;0,39%;9,65;9,70;44;6043;57965,43;
2008-06-12;9,61;9,64;9,64;9,56;9,65;9,60;-0,51%;9,60;9,63;41;5471;52574,28;
2008-06-13;9,53;9,53;9,62;9,35;9,60;9,62;0,12%;9,56;9,62;21;3832;36537,53;
2008-06-16;9,64;9,62;9,69;9,62;9,62;9,64;0,30%;9,41;9,64;3;1150;11090,27;
2008-06-17;9,34;9,56;9,56;9,33;9,64;9,34;-3,15%;9,34;9,54;9;1505;14057,27;
2008-06-18;9,30;9,35;9,43;9,27;9,34;9,33;-0,16%;9,33;9,41;25;4511;41954,20;
2008-06-19;9,33;9,33;9,38;9,27;9,33;9,30;-0,31%;9,35;9,41;14;1285;11985,08;
2008-06-20;9,30;9,04;9,35;9,04;9,30;9,27;-0,31%;9,27;9,33;33;7919;73615,43;
2008-06-25;9,27;9,27;9,27;9,27;9,27;9,27;0,00%;9,04;9,27;1;30;278,04;
2008-06-26;9,40;9,27;9,56;9,04;9,27;9,41;1,53%;9,06;9,41;15;5180;48701,60;
2008-06-27;9,31;9,27;9,41;9,27;9,41;9,27;-1,51%;9,13;9,41;12;3319;30884,17;
2008-06-30;9,44;9,33;9,70;9,30;9,27;9,41;1,56%;9,30;9,56;58;11024;104119,86;
2008-07-01;9,39;9,41;9,41;9,33;9,41;9,36;-0,58%;9,36;9,41;10;1446;13571,70;
2008-07-02;9,41;9,41;9,41;9,38;9,36;9,41;0,59%;9,38;9,41;10;1935;18210,58;
2008-07-03;9,23;9,27;9,27;8,98;9,41;8,98;-4,62%;8,98;9,40;7;1640;15141,78;
2008-07-04;9,42;9,41;9,44;9,41;8,98;9,44;5,13%;9,09;9,44;3;600;5652,80;
2008-07-07;0,00;9,44;0,00;0,00;9,44;9,44;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;9,30;9,41;9,41;9,27;9,44;9,27;-1,81%;9,09;9,27;6;630;5859,01;
2008-07-09;9,30;9,27;9,33;9,27;9,27;9,33;0,63%;9,27;9,40;8;1055;9806,88;
2008-07-10;9,27;9,28;9,28;9,27;9,33;9,27;-0,62%;9,25;9,27;4;1278;11847,82;
2008-07-11;8,99;9,21;9,27;8,86;9,27;8,98;-3,13%;8,89;9,27;22;7397;66535,43;
2008-07-14;9,02;8,98;9,21;8,98;8,98;8,98;0,00%;8,98;9,12;22;7099;64035,11;
2008-07-15;8,98;8,98;8,98;8,98;8,98;8,98;0,00%;8,88;9,09;5;1736;15586,19;
2008-07-16;8,88;8,98;8,98;8,83;8,98;8,83;-1,61%;8,75;8,83;9;1554;13797,35;
2008-07-17;8,72;8,73;8,73;8,72;8,83;8,72;-1,31%;8,69;8,83;8;787;6862,69;
2008-07-18;8,56;8,69;8,72;8,40;8,72;8,40;-3,65%;8,40;8,46;36;12286;105164,20;
2008-07-21;8,40;8,40;8,40;8,34;8,40;8,40;0,00%;8,40;8,46;18;11582;97240,50;
2008-07-22;8,40;8,34;8,43;8,31;8,40;8,37;-0,34%;8,34;8,37;42;21597;181307,37;
2008-07-23;8,39;8,38;8,98;8,37;8,37;8,69;3,81%;8,66;8,92;25;11787;98858,41;
2008-07-24;9,03;8,95;9,14;8,95;8,69;9,14;5,17%;9,13;9,37;23;3033;27387,92;
2008-07-25;9,34;9,15;9,55;9,15;9,14;9,15;0,16%;9,15;9,41;26;4239;39596,64;
2008-07-28;9,40;9,35;9,56;9,12;9,15;9,49;3,64%;9,29;9,49;9;1100;10336,32;
