SECURITY DETAIL VIEW (EQUITY)
Snaigė (SNG1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: SNG1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,90;0,85;0,91;0,85;0,84;0,91;7,93%;0,88;0,91;13;8500;7633,08;
2008-05-20;0,92;0,91;0,96;0,90;0,91;0,90;-0,96%;0,88;0,91;5;2230;2042,08;
2008-05-21;0,88;0,88;0,88;0,88;0,90;0,88;-1,94%;0,86;0,90;1;410;360,98;
2008-05-22;0,88;0,88;0,88;0,88;0,88;0,88;0,00%;0,88;0,91;1;1000;880,44;
2008-05-23;0,00;0,88;0,00;0,00;0,88;0,88;0,00%;0,88;0,91;0;0;0,00;
2008-05-26;0,89;0,91;0,91;0,88;0,88;0,89;0,66%;0,88;0,90;11;8000;7097,14;
2008-05-27;0,90;0,90;0,90;0,89;0,89;0,90;1,31%;0,88;0,90;5;3822;3425,68;
2008-05-28;0,88;0,88;0,88;0,88;0,90;0,88;-1,61%;0,88;0,90;1;1000;883,34;
2008-05-29;0,00;0,88;0,00;0,00;0,88;0,88;0,00%;0,88;0,91;0;0;0,00;
2008-05-30;0,89;0,88;0,90;0,88;0,88;0,90;1,64%;0,88;0,91;2;308;274,30;
2008-06-02;0,88;0,88;0,88;0,88;0,90;0,88;-1,61%;0,85;0,88;3;2150;1890,49;
2008-06-03;0,00;0,88;0,00;0,00;0,88;0,88;0,00%;0,85;0,88;0;0;0,00;
2008-06-04;0,00;0,88;0,00;0,00;0,88;0,88;0,00%;0,85;0,88;0;0;0,00;
2008-06-05;0,87;0,87;0,87;0,87;0,88;0,87;-1,64%;0,85;0,88;3;204;177,25;
2008-06-06;0,87;0,87;0,87;0,87;0,87;0,87;0,00%;0,84;0,87;1;210;182,46;
2008-06-09;0,83;0,84;0,84;0,81;0,87;0,81;-7,00%;0,80;0,83;4;1525;1267,30;
2008-06-10;0,81;0,82;0,82;0,81;0,81;0,81;0,36%;0,81;0,84;3;2494;2026,82;
2008-06-11;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,78;0,88;0;0;0,00;
2008-06-12;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,81;0,84;0;0;0,00;
2008-06-13;0,84;0,84;0,84;0,84;0,81;0,84;3,57%;0,83;0,85;2;1000;839,90;
2008-06-16;0,00;0,84;0,00;0,00;0,84;0,84;0,00%;0,00;0,00;0;0;0,00;
2008-06-17;0,80;0,81;0,81;0,78;0,84;0,78;-6,90%;0,75;0,88;3;2315;1848,35;
2008-06-18;0,00;0,78;0,00;0,00;0,78;0,78;0,00%;0,75;0,78;0;0;0,00;
2008-06-19;0,78;0,75;0,78;0,75;0,78;0,78;0,00%;0,75;0,78;10;12398;9683,39;
2008-06-20;0,74;0,72;0,75;0,72;0,78;0,73;-6,30%;0,73;0,75;8;6471;4780,90;
2008-06-25;0,73;0,74;0,74;0,73;0,73;0,73;-0,40%;0,73;0,74;3;3813;2785,79;
2008-06-26;0,75;0,75;0,75;0,75;0,73;0,75;3,17%;0,73;0,74;1;250;188,25;
2008-06-27;0,00;0,75;0,00;0,00;0,75;0,75;0,00%;0,73;0,74;0;0;0,00;
2008-06-30;0,74;0,74;0,75;0,74;0,75;0,75;-0,77%;0,73;0,75;3;2001;1477,81;
2008-07-01;0,73;0,75;0,75;0,72;0,75;0,72;-3,10%;0,70;0,72;6;5687;4123,97;
2008-07-02;0,00;0,72;0,00;0,00;0,72;0,72;0,00%;0,72;0,75;0;0;0,00;
2008-07-03;0,00;0,72;0,00;0,00;0,72;0,72;0,00%;0,72;0,75;0;0;0,00;
2008-07-04;0,00;0,72;0,00;0,00;0,72;0,72;0,00%;0,72;0,75;0;0;0,00;
2008-07-07;0,00;0,72;0,00;0,00;0,72;0,72;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,00;0,72;0,00;0,00;0,72;0,72;0,00%;0,71;0,73;0;0;0,00;
2008-07-09;0,72;0,72;0,72;0,72;0,72;0,72;0,00%;0,71;0,73;1;200;144,81;
2008-07-10;0,71;0,71;0,71;0,71;0,72;0,71;-2,00%;0,71;0,74;1;10000;7095,69;
2008-07-11;0,70;0,70;0,70;0,70;0,71;0,70;-2,04%;0,70;0,70;1;300;208,53;
2008-07-14;0,00;0,70;0,00;0,00;0,70;0,70;0,00%;0,70;0,72;0;0;0,00;
2008-07-15;0,71;0,72;0,72;0,71;0,70;0,71;2,08%;0,70;0,71;3;524;373,61;
2008-07-16;0,71;0,71;0,71;0,70;0,71;0,71;0,00%;0,70;0,71;7;2900;2054,56;
2008-07-17;0,00;0,71;0,00;0,00;0,71;0,71;0,00%;0,70;0,71;0;0;0,00;
2008-07-18;0,74;0,74;0,74;0,74;0,71;0,74;4,08%;0,72;0,75;1;200;147,71;
2008-07-21;0,00;0,74;0,00;0,00;0,74;0,74;0,00%;0,00;0,00;0;0;0,00;
2008-07-22;0,71;0,72;0,72;0,71;0,74;0,71;-3,92%;0,69;0,71;2;800;569,97;
