SECURITY DETAIL VIEW (EQUITY)
Snoras (SRS1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: SRS1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,83;0,83;0,84;0,82;0,84;0,82;-2,08%;0,81;0,82;18;12829;10590,98;
2008-05-20;0,83;0,81;0,84;0,81;0,82;0,82;0,35%;0,82;0,83;11;10584;8766,70;
2008-05-21;0,82;0,82;0,82;0,81;0,82;0,82;-0,35%;0,81;0,82;7;5860;4799,57;
2008-05-22;0,82;0,82;0,83;0,82;0,82;0,82;0,35%;0,82;0,83;8;3254;2669,69;
2008-05-23;0,83;0,83;0,83;0,82;0,82;0,83;0,70%;0,83;0,83;14;7766;6422,62;
2008-05-26;0,86;0,83;0,87;0,83;0,83;0,86;4,20%;0,85;0,86;30;37878;32625,50;
2008-05-27;0,85;0,86;0,87;0,83;0,86;0,83;-4,03%;0,81;0,83;43;29117;24642,22;
2008-05-28;0,84;0,86;0,86;0,84;0,83;0,84;1,05%;0,83;0,84;9;7874;6648,51;
2008-05-29;0,84;0,84;0,85;0,84;0,84;0,84;0,00%;0,84;0,84;8;7600;6371,71;
2008-05-30;0,84;0,83;0,85;0,83;0,84;0,84;0,69%;0,84;0,84;12;10991;9207,64;
2008-06-02;0,87;0,84;0,89;0,84;0,84;0,88;4,12%;0,87;0,88;103;103888;90843,71;
2008-06-03;0,90;0,89;0,92;0,89;0,88;0,92;4,29%;0,92;0,92;71;84401;76257,49;
2008-06-04;0,93;0,94;0,95;0,92;0,92;0,93;1,27%;0,93;0,93;122;100400;93507,02;
2008-06-05;0,93;0,93;0,94;0,92;0,93;0,94;1,25%;0,93;0,94;87;109812;101918,39;
2008-06-06;0,94;0,94;0,95;0,94;0,94;0,94;0,00%;0,94;0,94;55;49039;46223,83;
2008-06-09;0,92;0,93;0,93;0,91;0,94;0,92;-1,85%;0,92;0,92;21;16989;15639,63;
2008-06-10;0,92;0,91;0,92;0,91;0,92;0,92;0,00%;0,92;0,92;17;10912;10021,15;
2008-06-11;0,92;0,92;0,92;0,92;0,92;0,92;-0,31%;0,92;0,92;14;11161;10230,18;
2008-06-12;0,92;0,91;0,92;0,91;0,92;0,92;-0,32%;0,91;0,92;17;17608;16132,21;
2008-06-13;0,92;0,92;0,92;0,92;0,92;0,92;0,32%;0,92;0,92;11;9580;8775,43;
2008-06-16;0,92;0,92;0,93;0,92;0,92;0,92;0,63%;0,92;0,92;16;21014;19374,62;
2008-06-17;0,91;0,92;0,92;0,90;0,92;0,91;-1,57%;0,91;0,91;27;27724;25154,34;
2008-06-18;0,90;0,90;0,91;0,90;0,91;0,91;0,00%;0,90;0,91;18;14978;13531,33;
2008-06-19;0,91;0,91;0,92;0,91;0,91;0,92;0,96%;0,92;0,92;11;7458;6820,71;
2008-06-20;0,91;0,91;0,92;0,91;0,92;0,91;-0,63%;0,91;0,92;11;7385;6751,25;
2008-06-25;0,90;0,91;0,91;0,90;0,91;0,90;-1,59%;0,90;0,90;10;5603;5050,15;
2008-06-26;0,89;0,89;0,90;0,89;0,90;0,90;0,65%;0,89;0,90;17;10273;9192,45;
2008-06-27;0,90;0,89;0,90;0,89;0,90;0,90;-0,64%;0,90;0,91;14;15326;13776,45;
2008-06-30;0,89;0,91;0,91;0,87;0,90;0,89;-1,29%;0,89;0,89;23;21910;19392,26;
2008-07-01;0,88;0,89;0,89;0,87;0,89;0,89;0,00%;0,87;0,89;19;13690;12013,98;
2008-07-02;0,88;0,88;0,88;0,87;0,89;0,88;-0,65%;0,87;0,88;13;5418;4754,85;
2008-07-03;0,87;0,88;0,88;0,85;0,88;0,86;-2,30%;0,86;0,87;20;18092;15718,85;
2008-07-04;0,88;0,88;0,89;0,87;0,86;0,89;3,03%;0,88;0,88;7;4980;4373,84;
2008-07-07;0,00;0,89;0,00;0,00;0,89;0,89;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,87;0,87;0,87;0,87;0,89;0,87;-1,96%;0,87;0,87;8;2762;2405,10;
2008-07-09;0,87;0,87;0,87;0,87;0,87;0,87;-0,33%;0,86;0,87;5;5696;4943,15;
2008-07-10;0,85;0,86;0,86;0,85;0,87;0,86;-0,33%;0,85;0,86;7;4403;3757,51;
2008-07-11;0,85;0,87;0,87;0,85;0,86;0,85;-1,68%;0,85;0,85;19;20020;17087,29;
2008-07-14;0,84;0,84;0,84;0,84;0,85;0,84;-0,68%;0,84;0,84;4;2454;2068,22;
2008-07-15;0,83;0,84;0,84;0,82;0,84;0,82;-2,41%;0,82;0,83;29;38444;31748,83;
2008-07-16;0,82;0,82;0,82;0,81;0,82;0,81;-1,06%;0,81;0,81;18;21480;17524,43;
2008-07-17;0,86;0,84;0,90;0,84;0,81;0,87;7,12%;0,87;0,87;84;75238;64791,39;
2008-07-18;0,88;0,88;0,90;0,87;0,87;0,87;0,00%;0,87;0,87;54;48707;43045,26;
2008-07-21;0,80;0,82;0,82;0,78;0,87;0,79;-9,63%;0,78;0,79;110;108886;86759,37;
2008-07-22;0,77;0,75;0,79;0,75;0,79;0,77;-2,21%;0,76;0,77;33;28205;21627,17;
