SECURITY DETAIL VIEW (EQUITY)
Stumbras (STU1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: STU1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;2,38;2,43;2,43;2,32;2,43;2,35;-3,57%;2,35;2,43;9;2265;5397,84;
2008-05-20;2,32;2,33;2,33;2,32;2,35;2,32;-1,23%;2,32;2,44;4;770;1788,40;
2008-05-21;2,35;2,35;2,39;2,35;2,32;2,39;3,13%;2,32;2,39;3;1033;2425,51;
2008-05-22;2,32;2,32;2,32;2,25;2,39;2,32;-3,03%;2,32;2,39;9;2052;4752,40;
2008-05-23;2,31;2,39;2,39;2,28;2,32;2,32;0,00%;2,32;2,39;12;3435;7938,64;
2008-05-26;2,34;2,32;2,35;2,32;2,32;2,35;1,25%;2,29;2,35;9;1930;4515,18;
2008-05-27;2,35;2,35;2,35;2,35;2,35;2,35;0,00%;2,32;2,35;3;450;1055,66;
2008-05-28;2,35;2,35;2,35;2,35;2,35;2,35;0,00%;2,35;2,46;9;1660;3894,23;
2008-05-29;2,32;2,35;2,35;2,31;2,35;2,31;-1,48%;2,31;2,32;8;2601;6027,98;
2008-05-30;2,31;2,32;2,32;2,30;2,31;2,30;-0,38%;2,30;2,32;10;2896;6694,70;
2008-06-02;2,36;2,36;2,36;2,36;2,30;2,36;2,52%;2,30;2,36;2;100;236,04;
2008-06-03;2,32;2,32;2,32;2,32;2,36;2,32;-1,84%;2,32;2,43;4;2328;5393,88;
2008-06-04;2,32;2,32;2,32;2,32;2,32;2,32;0,00%;2,32;2,43;9;3000;6950,88;
2008-06-05;2,32;2,37;2,37;2,32;2,32;2,32;0,00%;2,31;2,32;11;3642;8455,75;
2008-06-06;2,32;2,32;2,37;2,32;2,32;2,35;1,25%;2,32;2,35;28;15638;36261,01;
2008-06-09;2,32;2,32;2,32;2,32;2,35;2,32;-1,23%;2,31;2,32;9;4168;9657,09;
2008-06-10;2,32;2,32;2,32;2,31;2,32;2,32;0,00%;2,31;2,32;8;3591;8317,51;
2008-06-11;2,32;2,32;2,32;2,32;2,32;2,32;0,00%;2,30;2,32;8;3771;8737,26;
2008-06-12;2,32;2,32;2,32;2,32;2,32;2,32;0,00%;2,32;2,35;9;5650;13090,82;
2008-06-13;2,32;2,33;2,33;2,31;2,32;2,32;0,00%;2,31;2,32;10;4155;9624,93;
2008-06-16;2,29;2,32;2,32;2,29;2,32;2,29;-1,25%;2,29;2,31;4;1542;3533,89;
2008-06-17;2,26;2,26;2,26;2,26;2,29;2,26;-1,14%;2,26;2,32;6;782;1767,03;
2008-06-18;2,23;2,26;2,26;2,22;2,26;2,22;-1,66%;2,17;2,23;11;5169;11532,41;
2008-06-19;2,19;2,23;2,23;2,19;2,22;2,19;-1,69%;2,19;2,23;9;5330;11660,39;
2008-06-20;2,17;2,18;2,18;2,16;2,19;2,18;-0,53%;2,17;2,24;9;2265;4922,11;
2008-06-25;2,17;2,17;2,17;2,16;2,18;2,16;-0,80%;2,16;2,23;3;860;1864,52;
2008-06-26;2,15;2,16;2,17;2,14;2,16;2,14;-0,67%;2,14;2,17;11;15690;33702,36;
2008-06-27;2,13;2,13;2,13;2,13;2,14;2,13;-0,68%;2,13;2,17;1;570;1213,36;
2008-06-30;2,13;2,13;2,13;2,13;2,13;2,13;-0,14%;2,13;2,17;6;1970;4187,85;
2008-07-01;2,09;2,11;2,11;2,09;2,13;2,10;-1,36%;2,10;2,11;15;5313;11123,86;
2008-07-02;2,11;2,11;2,11;2,11;2,10;2,11;0,69%;2,09;2,17;1;200;422,27;
2008-07-03;2,11;2,11;2,11;2,11;2,11;2,11;0,00%;2,08;2,11;2;9;18,98;
2008-07-04;2,03;2,06;2,07;2,03;2,11;2,07;-2,06%;2,06;2,07;12;4135;8404,48;
2008-07-07;0,00;2,07;0,00;0,00;2,07;2,07;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;2,03;2,03;2,06;2,03;2,07;2,06;-0,56%;2,03;2,10;3;265;538,40;
2008-07-09;0,00;2,06;0,00;0,00;2,06;2,06;0,00%;2,03;2,10;0;0;0,00;
2008-07-10;2,06;2,03;2,10;2,03;2,06;2,10;2,11%;2,03;2,10;2;105;216,65;
2008-07-11;2,10;2,10;2,10;2,10;2,10;2,10;0,00%;2,03;2,10;3;340;713,91;
2008-07-14;2,10;2,10;2,10;2,10;2,10;2,10;0,00%;2,10;2,17;1;480;1007,88;
2008-07-15;2,10;2,10;2,10;2,10;2,10;2,10;0,00%;2,10;2,17;1;60;125,98;
2008-07-16;0,00;2,10;0,00;0,00;2,10;2,10;0,00%;2,10;2,17;0;0;0,00;
2008-07-17;0,00;2,10;0,00;0,00;2,10;2,10;0,00%;2,13;2,23;0;0;0,00;
2008-07-18;2,18;2,22;2,22;2,17;2,10;2,17;3,45%;2,11;2,17;7;2509;5463,20;
2008-07-21;2,13;2,09;2,17;2,09;2,17;2,17;0,00%;2,06;2,17;2;104;221,21;
2008-07-22;2,16;2,16;2,16;2,16;2,17;2,16;-0,67%;2,06;2,14;1;100;215,77;
