SECURITY DETAIL VIEW (EQUITY)
TEO LT (TEO1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: TEO1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,57;0,57;0,57;0,56;0,57;0,56;-1,02%;0,56;0,56;118;210550;119365,00;
2008-05-20;0,56;0,56;0,56;0,56;0,56;0,56;-0,51%;0,56;0,56;102;348327;195699,84;
2008-05-21;0,56;0,56;0,56;0,56;0,56;0,56;-1,03%;0,56;0,56;79;337937;189202,62;
2008-05-22;0,56;0,56;0,56;0,55;0,56;0,55;-0,52%;0,55;0,56;89;644298;358007,14;
2008-05-23;0,56;0,55;0,56;0,55;0,55;0,56;0,52%;0,56;0,56;108;558614;310961,54;
2008-05-26;0,57;0,56;0,57;0,56;0,56;0,57;2,08%;0,57;0,57;94;214892;121647,08;
2008-05-27;0,57;0,57;0,57;0,56;0,57;0,57;0,00%;0,56;0,57;85;356401;202584,87;
2008-05-28;0,56;0,57;0,57;0,56;0,57;0,56;-0,51%;0,56;0,56;73;261481;147587,91;
2008-05-29;0,56;0,57;0,57;0,56;0,56;0,56;-0,51%;0,56;0,56;121;267648;150827,47;
2008-05-30;0,56;0,56;0,56;0,56;0,56;0,56;0,52%;0,56;0,56;142;761245;427986,71;
2008-06-02;0,57;0,56;0,57;0,56;0,56;0,56;0,00%;0,56;0,57;101;655540;370740,97;
2008-06-03;0,56;0,56;0,56;0,56;0,56;0,56;0,00%;0,56;0,57;53;170501;95897,72;
2008-06-04;0,56;0,56;0,57;0,56;0,56;0,56;-0,51%;0,56;0,56;74;226697;127884,49;
2008-06-05;0,57;0,56;0,58;0,56;0,56;0,58;3,09%;0,58;0,58;218;687604;394761,28;
2008-06-06;0,58;0,58;0,59;0,58;0,58;0,59;1,00%;0,58;0,59;103;281514;163956,71;
2008-06-09;0,58;0,59;0,59;0,58;0,59;0,58;-1,49%;0,58;0,58;78;176790;102185,76;
2008-06-10;0,57;0,58;0,58;0,57;0,58;0,57;-1,01%;0,57;0,57;109;1030899;590589,26;
2008-06-11;0,57;0,57;0,57;0,56;0,57;0,57;-0,51%;0,56;0,57;85;280393;158716,38;
2008-06-12;0,56;0,56;0,57;0,56;0,57;0,56;-0,51%;0,56;0,57;72;387196;218766,46;
2008-06-13;0,57;0,56;0,57;0,56;0,56;0,57;0,51%;0,56;0,57;49;318878;180432,54;
2008-06-16;0,57;0,57;0,57;0,56;0,57;0,57;0,00%;0,56;0,57;62;223830;126761,74;
2008-06-17;0,57;0,57;0,57;0,56;0,57;0,56;-0,51%;0,56;0,57;53;758792;413050,27;
2008-06-18;0,57;0,57;0,57;0,56;0,56;0,57;1,03%;0,57;0,57;102;1345073;761041,21;
2008-06-19;0,57;0,57;0,57;0,57;0,57;0,57;0,00%;0,57;0,57;48;227433;129916,17;
2008-06-20;0,57;0,57;0,57;0,57;0,57;0,57;0,00%;0,57;0,57;44;271093;154558,25;
2008-06-25;0,57;0,57;0,57;0,56;0,57;0,57;-0,51%;0,56;0,57;64;779074;440495,89;
2008-06-26;0,56;0,57;0,57;0,56;0,57;0,57;0,00%;0,56;0,57;92;755241;426196,65;
2008-06-27;0,56;0,56;0,57;0,56;0,57;0,56;-1,02%;0,56;0,56;107;566190;318552,25;
2008-06-30;0,56;0,56;0,56;0,56;0,56;0,56;-1,03%;0,55;0,56;134;351925;196477,34;
2008-07-01;0,56;0,56;0,56;0,56;0,56;0,56;0,00%;0,56;0,56;65;103745;57857,16;
2008-07-02;0,56;0,56;0,56;0,56;0,56;0,56;0,52%;0,56;0,56;56;139195;77680,56;
2008-07-03;0,55;0,56;0,56;0,54;0,56;0,55;-1,55%;0,55;0,55;142;970009;537098,28;
2008-07-04;0,55;0,55;0,55;0,54;0,55;0,55;-0,53%;0,54;0,55;109;740730;410595,53;
2008-07-07;0,00;0,55;0,00;0,00;0,55;0,55;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,55;0,55;0,55;0,55;0,55;0,55;0,53%;0,55;0,55;65;1017956;557355,51;
2008-07-09;0,55;0,55;0,55;0,55;0,55;0,55;0,00%;0,55;0,55;77;418051;230093,53;
2008-07-10;0,55;0,55;0,56;0,55;0,55;0,56;1,58%;0,56;0,56;109;461168;255593,03;
2008-07-11;0,56;0,56;0,57;0,56;0,56;0,56;1,04%;0,56;0,56;122;1674184;940843,05;
2008-07-14;0,56;0,57;0,57;0,56;0,56;0,56;-1,03%;0,56;0,56;65;443191;248926,66;
2008-07-15;0,56;0,56;0,56;0,55;0,56;0,56;0,00%;0,55;0,56;38;31901;17768,26;
2008-07-16;0,55;0,56;0,56;0,55;0,56;0,55;-1,55%;0,55;0,55;107;1080058;596484,72;
2008-07-17;0,55;0,55;0,55;0,55;0,55;0,55;-0,53%;0,55;0,55;71;226181;124460,79;
2008-07-18;0,55;0,55;0,55;0,54;0,55;0,55;0,00%;0,54;0,55;87;345114;188918,17;
2008-07-21;0,55;0,55;0,55;0,54;0,55;0,55;0,00%;0,54;0,55;116;612374;334498,68;
2008-07-22;0,54;0,55;0,55;0,54;0,55;0,54;-1,06%;0,54;0,54;127;329824;179656,07;
2008-07-23;0,54;0,54;0,55;0,54;0,54;0,54;0,53%;0,54;0,54;91;182575;99459,16;
