SECURITY DETAIL VIEW (EQUITY)
Ūkio bankas (UKB1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: UKB1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,87;0,88;0,88;0,86;0,88;0,86;-2,62%;0,86;0,86;132;144662;125209,94;
2008-05-20;0,85;0,86;0,87;0,84;0,86;0,86;0,34%;0,86;0,86;150;187431;160060,53;
2008-05-21;0,85;0,86;0,86;0,85;0,86;0,85;-1,34%;0,85;0,85;87;108633;92485,45;
2008-05-22;0,85;0,85;0,86;0,85;0,85;0,85;0,34%;0,85;0,85;122;316482;270207,03;
2008-05-23;0,86;0,86;0,87;0,85;0,85;0,86;0,34%;0,86;0,87;159;238629;204775,57;
2008-05-26;0,90;0,86;0,91;0,86;0,86;0,91;6,08%;0,91;0,91;295;334714;300178,47;
2008-05-27;0,91;0,92;0,93;0,89;0,91;0,89;-1,91%;0,89;0,89;392;448434;407497,12;
2008-05-28;0,89;0,89;0,89;0,88;0,89;0,88;-0,97%;0,88;0,88;117;107679;95430,21;
2008-05-29;0,88;0,89;0,89;0,88;0,88;0,89;0,66%;0,88;0,89;84;103807;91719,15;
2008-05-30;0,89;0,89;0,90;0,87;0,89;0,90;1,63%;0,90;0,91;166;259188;230723,36;
2008-06-02;0,90;0,90;0,91;0,89;0,90;0,90;-0,32%;0,90;0,90;88;156249;140687,38;
2008-06-03;0,91;0,90;0,91;0,90;0,90;0,91;1,29%;0,90;0,91;23;28750;26135,63;
2008-06-04;0,91;0,92;0,92;0,89;0,91;0,89;-2,22%;0,89;0,89;113;263658;238652,86;
2008-06-05;0,89;0,89;0,90;0,88;0,89;0,89;0,00%;0,89;0,89;96;140251;124882,25;
2008-06-06;0,90;0,90;0,91;0,89;0,89;0,89;-0,32%;0,89;0,90;142;280873;252418,32;
2008-06-09;0,88;0,88;0,89;0,87;0,89;0,88;-0,98%;0,88;0,88;111;122313;107706,67;
2008-06-10;0,87;0,87;0,88;0,86;0,88;0,87;-1,64%;0,86;0,87;143;179319;155877,72;
2008-06-11;0,86;0,86;0,87;0,85;0,87;0,87;0,00%;0,87;0,87;133;130058;112309,94;
2008-06-12;0,86;0,87;0,87;0,85;0,87;0,87;0,00%;0,86;0,87;94;125727;108741,42;
2008-06-13;0,86;0,87;0,87;0,86;0,87;0,87;0,33%;0,86;0,87;36;24141;20851,51;
2008-06-16;0,87;0,87;0,88;0,87;0,87;0,87;0,00%;0,87;0,87;57;58632;51214,83;
2008-06-17;0,87;0,87;0,87;0,86;0,87;0,87;-0,33%;0,87;0,87;50;293797;252791,16;
2008-06-18;0,86;0,87;0,87;0,86;0,87;0,87;0,33%;0,87;0,87;71;99994;86374,08;
2008-06-19;0,86;0,87;0,87;0,86;0,87;0,86;-1,33%;0,86;0,86;77;66014;56718,47;
2008-06-20;0,86;0,86;0,86;0,85;0,86;0,86;0,68%;0,86;0,86;49;97757;83700,50;
2008-06-25;0,85;0,86;0,86;0,85;0,86;0,85;-1,34%;0,85;0,85;68;76987;65716,05;
2008-06-26;0,84;0,85;0,85;0,83;0,85;0,85;-0,68%;0,84;0,85;169;228386;191661,80;
2008-06-27;0,84;0,84;0,84;0,83;0,85;0,84;-1,03%;0,83;0,84;120;169004;141424,45;
2008-06-30;0,83;0,84;0,84;0,82;0,84;0,82;-1,73%;0,82;0,82;112;156816;130192,75;
2008-07-01;0,81;0,82;0,82;0,80;0,82;0,80;-2,46%;0,80;0,81;253;348642;281519,81;
2008-07-02;0,80;0,80;0,80;0,79;0,80;0,80;-0,36%;0,80;0,80;178;249977;199326,01;
2008-07-03;0,79;0,80;0,80;0,78;0,80;0,79;-1,45%;0,79;0,79;155;247020;195044,65;
2008-07-04;0,79;0,78;0,82;0,77;0,79;0,81;2,57%;0,81;0,81;301;480740;381489,17;
2008-07-07;0,00;0,81;0,00;0,00;0,81;0,81;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,80;0,81;0,81;0,79;0,81;0,79;-2,15%;0,79;0,80;140;169790;135927,89;
2008-07-09;0,79;0,80;0,80;0,79;0,79;0,79;0,00%;0,79;0,79;99;88877;70260,11;
2008-07-10;0,78;0,80;0,80;0,78;0,79;0,78;-1,10%;0,78;0,78;114;148387;116176,33;
2008-07-11;0,80;0,80;0,81;0,79;0,78;0,79;0,74%;0,79;0,79;205;320123;256311,72;
2008-07-14;0,80;0,79;0,81;0,79;0,79;0,81;2,21%;0,80;0,80;120;217051;172797,04;
2008-07-15;0,80;0,81;0,81;0,79;0,81;0,79;-1,44%;0,79;0,80;114;150320;120210,64;
2008-07-16;0,79;0,80;0,80;0,79;0,79;0,80;0,36%;0,79;0,80;52;72479;57594,23;
2008-07-17;0,80;0,80;0,81;0,80;0,80;0,80;0,36%;0,80;0,81;85;174583;140305,00;
2008-07-18;0,80;0,80;0,81;0,79;0,80;0,80;-0,36%;0,80;0,80;63;107987;86362,96;
2008-07-21;0,78;0,80;0,80;0,77;0,80;0,77;-2,91%;0,77;0,77;167;349829;272716,08;
2008-07-22;0,76;0,77;0,77;0,75;0,77;0,75;-3,37%;0,75;0,75;211;248921;188005,57;
2008-07-23;0,74;0,75;0,75;0,74;0,75;0,74;-0,78%;0,74;0,75;291;718476;531707,16;
2008-07-24;0,77;0,75;0,78;0,75;0,74;0,78;5,86%;0,78;0,78;234;293775;225054,58;
2008-07-25;0,77;0,78;0,78;0,76;0,78;0,77;-2,21%;0,77;0,77;152;207811;159737,20;
2008-07-28;0,77;0,76;0,79;0,75;0,77;0,77;0,38%;0,77;0,77;185;289037;223680,36;
2008-07-29;0,76;0,78;0,78;0,76;0,77;0,76;-1,50%;0,76;0,76;106;174558;132637,91;
2008-07-30;0,78;0,76;0,78;0,76;0,76;0,78;2,29%;0,77;0,78;128;224167;174019,37;
2008-07-31;0,78;0,78;0,79;0,77;0,78;0,78;0,75%;0,78;0,78;73;62783;48917,79;
2008-08-01;0,78;0,78;0,78;0,77;0,78;0,78;-0,37%;0,78;0,78;31;39948;30998,08;
2008-08-04;0,78;0,78;0,79;0,78;0,78;0,78;0,00%;0,78;0,78;65;88744;69465,12;
2008-08-05;0,78;0,78;0,79;0,77;0,78;0,78;-0,37%;0,77;0,78;105;104521;81007,22;
2008-08-06;0,78;0,78;0,79;0,78;0,78;0,78;0,00%;0,78;0,78;85;103932;81091,12;
2008-08-07;0,78;0,78;0,79;0,78;0,78;0,78;0,75%;0,78;0,78;85;134193;104877,64;
2008-08-08;0,78;0,78;0,78;0,77;0,78;0,77;-1,11%;0,77;0,78;92;129388;100332,14;
2008-08-11;0,78;0,77;0,79;0,77;0,77;0,79;1,87%;0,78;0,79;97;111587;86813,48;
2008-08-12;0,81;0,79;0,82;0,79;0,79;0,81;3,31%;0,81;0,82;279;485517;393219,83;
2008-08-13;0,82;0,82;0,83;0,81;0,81;0,81;0,00%;0,81;0,82;107;156037;127640,43;
2008-08-14;0,80;0,81;0,81;0,79;0,81;0,80;-2,14%;0,79;0,80;83;92157;73471,04;
2008-08-15;0,00;0,80;0,00;0,00;0,80;0,80;0,00%;0,00;0,00;0;0;0,00;
2008-08-18;0,80;0,80;0,80;0,79;0,80;0,80;0,00%;0,79;0,80;38;37845;30125,57;
2008-08-19;0,81;0,80;0,81;0,79;0,80;0,81;2,18%;0,81;0,81;95;144661;116870,40;
2008-08-20;0,82;0,81;0,83;0,81;0,81;0,83;2,14%;0,83;0,83;115;174486;143582,94;
2008-08-21;0,84;0,84;0,85;0,83;0,83;0,85;2,44%;0,85;0,85;227;344063;290600,18;
2008-08-22;0,86;0,86;0,87;0,85;0,85;0,87;2,38%;0,87;0,87;247;347744;300701,59;
2008-08-25;0,86;0,87;0,88;0,84;0,87;0,84;-3,32%;0,84;0,84;258;475292;407988,74;
2008-08-26;0,84;0,84;0,85;0,83;0,84;0,85;0,69%;0,85;0,85;142;228081;191411,61;
2008-08-27;0,83;0,84;0,84;0,82;0,85;0,82;-3,07%;0,82;0,83;118;166570;138047,47;
2008-08-28;0,82;0,82;0,83;0,81;0,82;0,81;-1,06%;0,81;0,82;110;174970;143823,68;
2008-08-29;0,83;0,83;0,84;0,81;0,81;0,84;2,85%;0,83;0,84;83;168601;140340,37;
2008-09-01;0,83;0,83;0,84;0,83;0,84;0,84;0,00%;0,83;0,84;74;74110;61824,79;
2008-09-02;0,84;0,84;0,84;0,83;0,84;0,84;0,00%;0,83;0,84;60;110517;92327,38;
2008-09-03;0,83;0,84;0,84;0,83;0,84;0,83;-0,35%;0,83;0,84;57;42127;35141,02;
2008-09-04;0,82;0,83;0,83;0,81;0,83;0,81;-2,78%;0,81;0,81;163;209665;172538,44;
