SECURITY DETAIL VIEW (EQUITY)
Vilniaus baldai (VBL1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: VBL1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,50;5,65;0;0;0,00;
2008-05-20;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,50;5,65;0;0;0,00;
2008-05-21;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,50;5,63;2;45;247,63;
2008-05-22;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,50;5,65;3;345;1898,46;
2008-05-23;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,50;5,65;1;1273;7005,04;
2008-05-26;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,50;5,64;0;0;0,00;
2008-05-27;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,50;5,64;2;1633;8986,04;
2008-05-28;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,50;5,65;4;2214;12183,16;
2008-05-29;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,50;5,65;4;2000;11005,56;
2008-05-30;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,50;5,79;2;4500;24762,51;
2008-06-02;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,50;5,79;0;0;0,00;
2008-06-03;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,50;5,79;0;0;0,00;
2008-06-04;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,50;5,79;0;0;0,00;
2008-06-05;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,50;5,73;0;0;0,00;
2008-06-06;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,51;5,73;1;191;1051,03;
2008-06-09;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,51;5,76;2;1300;7153,61;
2008-06-10;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,51;5,64;0;0;0,00;
2008-06-11;5,50;5,50;5,50;5,50;5,50;5,50;0,00%;5,51;5,62;1;750;4127,09;
2008-06-12;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,50;5,64;0;0;0,00;
2008-06-13;5,50;5,51;5,51;5,50;5,50;5,50;0,00%;5,50;5,64;2;636;3500,64;
2008-06-16;0,00;5,50;0,00;0,00;5,50;5,50;0,00%;5,51;5,70;0;0;0,00;
2008-06-17;5,51;5,51;5,51;5,51;5,50;5,51;0,05%;5,51;5,64;1;260;1431,48;
2008-06-18;0,00;5,51;0,00;0,00;5,51;5,51;0,00%;5,51;0,00;0;0;0,00;
2008-06-19;0,00;5,51;0,00;0,00;5,51;5,51;0,00%;5,51;0,00;0;0;0,00;
2008-06-20;5,50;5,50;5,50;5,50;5,51;5,50;-0,05%;5,50;0,00;1;35;192,60;
2008-06-25;5,51;5,51;5,51;5,51;5,50;5,51;0,05%;5,51;5,64;1;10;55,06;
