SECURITY DETAIL VIEW (EQUITY)
Vilkyškių pieninė (VLP1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: VLP1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;1,45;1,45;1,46;1,45;1,45;1,45;0,00%;1,45;1,46;7;7000;10151,18;
2008-05-20;1,45;1,45;1,45;1,45;1,45;1,45;0,00%;1,43;1,46;5;3519;5095,86;
2008-05-21;1,43;1,43;1,43;1,43;1,45;1,43;-1,00%;1,42;1,43;10;7200;10322,06;
2008-05-22;1,42;1,42;1,42;1,42;1,43;1,42;-1,01%;1,42;1,43;4;1598;2267,78;
2008-05-23;1,44;1,44;1,44;1,44;1,42;1,44;1,22%;1,42;1,43;1;130;186,75;
2008-05-26;1,47;1,45;1,49;1,45;1,44;1,48;2,82%;1,48;1,49;25;47490;68919,14;
2008-05-27;1,45;1,48;1,48;1,43;1,48;1,43;-2,94%;1,42;1,45;5;4800;6939,30;
2008-05-28;1,42;1,42;1,43;1,42;1,43;1,43;0,00%;1,42;1,45;10;6200;8815,74;
2008-05-29;1,41;1,42;1,42;1,39;1,43;1,42;-1,01%;1,40;1,43;4;2610;3690,66;
2008-05-30;1,39;1,39;1,40;1,39;1,42;1,40;-1,02%;1,39;1,42;5;3700;5158,13;
2008-06-02;1,37;1,40;1,40;1,36;1,40;1,36;-2,89%;1,37;1,39;6;3570;4904,59;
2008-06-03;0,00;1,36;0,00;0,00;1,36;1,36;0,00%;1,36;1,39;0;0;0,00;
2008-06-04;1,39;1,39;1,40;1,39;1,36;1,40;2,97%;1,38;1,40;9;4600;6405,82;
2008-06-05;1,40;1,39;1,41;1,39;1,40;1,41;0,41%;1,39;1,41;4;1380;1934,55;
2008-06-06;1,40;1,40;1,41;1,33;1,41;1,39;-1,44%;1,38;1,40;11;3850;5372,49;
2008-06-09;1,40;1,40;1,40;1,39;1,39;1,39;0,00%;1,37;1,39;3;700;978,92;
2008-06-10;1,39;1,39;1,39;1,39;1,39;1,39;-0,21%;1,36;1,40;1;700;971,10;
2008-06-11;1,40;1,40;1,40;1,38;1,39;1,38;-0,21%;1,37;1,38;5;1627;2282,34;
2008-06-12;1,36;1,36;1,36;1,36;1,38;1,36;-1,67%;1,36;1,38;5;1310;1783,19;
2008-06-13;1,39;1,39;1,39;1,39;1,36;1,39;2,13%;1,38;1,40;1;1000;1390,18;
2008-06-16;1,39;1,38;1,39;1,38;1,39;1,39;0,00%;1,38;1,39;4;1370;1899,18;
2008-06-17;1,40;1,40;1,40;1,40;1,39;1,40;0,63%;1,39;1,42;1;300;419,66;
2008-06-18;1,38;1,38;1,38;1,38;1,40;1,38;-1,66%;1,38;1,39;2;86;118,31;
2008-06-19;0,00;1,38;0,00;0,00;1,38;1,38;0,00%;1,36;1,39;0;0;0,00;
2008-06-20;1,36;1,37;1,37;1,32;1,38;1,32;-4,00%;1,32;1,36;8;3581;4856,55;
2008-06-25;1,33;1,33;1,35;1,33;1,32;1,33;0,88%;1,33;1,36;5;14008;18676,67;
2008-06-26;1,37;1,32;1,45;1,32;1,33;1,38;3,26%;1,33;1,38;10;3020;4148,37;
2008-06-27;1,36;1,36;1,36;1,36;1,38;1,36;-1,26%;1,33;1,38;1;320;434,66;
2008-06-30;1,36;1,35;1,36;1,31;1,36;1,36;0,21%;1,32;1,43;6;3310;4500,72;
2008-07-01;0,00;1,36;0,00;0,00;1,36;1,36;0,00%;1,33;1,37;0;0;0,00;
2008-07-02;1,33;1,33;1,38;1,32;1,36;1,32;-3,19%;1,31;1,33;6;1640;2186,63;
2008-07-03;0,00;1,32;0,00;0,00;1,32;1,32;0,00%;1,31;1,33;0;0;0,00;
2008-07-04;1,35;1,35;1,35;1,35;1,32;1,35;2,20%;1,33;1,35;1;7;9,43;
2008-07-07;0,00;1,35;0,00;0,00;1,35;1,35;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;1,31;1,32;1,32;1,30;1,35;1,31;-3,01%;1,27;1,32;6;2328;3038,25;
2008-07-09;1,31;1,31;1,31;1,31;1,31;1,31;0,44%;1,30;1,33;1;300;393,59;
2008-07-10;1,34;1,34;1,34;1,34;1,31;1,34;1,99%;1,29;1,33;1;400;535,22;
2008-07-11;1,34;1,34;1,34;1,34;1,34;1,34;0,00%;1,34;1,36;1;400;535,22;
2008-07-14;1,33;1,35;1,35;1,33;1,34;1,33;-0,43%;1,30;1,35;3;2000;2665,95;
