SECURITY DETAIL VIEW (EQUITY)
Žemaitijos pienas (ZMP1L)
Period: 2008-05-19 - 2008-11-19
Currency: LTL
Marketplace: VSE
Name: ZMP1L
Date;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
2008-05-19;0,48;0,48;0,49;0,47;0,47;0,47;0,00%;0,47;0,49;11;10120;4842,11;
2008-05-20;0,49;0,49;0,49;0,49;0,47;0,49;3,05%;0,47;0,49;2;1930;944,65;
2008-05-21;0,51;0,51;0,51;0,51;0,49;0,51;3,55%;0,49;0,50;1;2599;1317,26;
2008-05-22;0,51;0,51;0,51;0,50;0,51;0,50;-1,71%;0,48;0,50;5;2352;1190,34;
2008-05-23;0,51;0,51;0,51;0,51;0,50;0,51;1,74%;0,48;0,51;2;2700;1368,45;
2008-05-26;0,51;0,51;0,52;0,51;0,51;0,51;0,00%;0,51;0,52;8;6160;3143,74;
2008-05-27;0,51;0,51;0,52;0,51;0,51;0,52;1,71%;0,51;0,52;4;2102;1074,06;
2008-05-28;0,52;0,52;0,52;0,52;0,52;0,52;0,56%;0,51;0,52;15;11334;5913,52;
2008-05-29;0,51;0,51;0,52;0,51;0,52;0,52;1,12%;0,51;0,52;10;6402;3263,87;
2008-05-30;0,52;0,52;0,52;0,51;0,52;0,51;-2,21%;0,51;0,51;2;3700;1912,36;
2008-06-02;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,49;0,52;0;0;0,00;
2008-06-03;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,49;0,52;0;0;0,00;
2008-06-04;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,50;0,52;0;0;0,00;
2008-06-05;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,50;0,52;0;0;0,00;
2008-06-06;0,00;0,51;0,00;0,00;0,51;0,51;0,00%;0,50;0,53;0;0;0,00;
2008-06-09;0,50;0,51;0,51;0,50;0,51;0,50;-3,39%;0,50;0,51;7;6410;3179,19;
2008-06-10;0,51;0,51;0,52;0,51;0,50;0,52;4,68%;0,51;0,52;2;2000;1028,15;
2008-06-11;0,00;0,52;0,00;0,00;0,52;0,52;0,00%;0,50;0,52;0;0;0,00;
2008-06-12;0,50;0,52;0,52;0,50;0,52;0,50;-4,47%;0,50;0,52;5;3615;1817,28;
2008-06-13;0,00;0,50;0,00;0,00;0,50;0,50;0,00%;0,50;0,51;0;0;0,00;
2008-06-16;0,51;0,50;0,52;0,50;0,50;0,52;4,68%;0,50;0,52;3;205;105,07;
2008-06-17;0,50;0,50;0,50;0,50;0,52;0,50;-4,47%;0,49;0,50;1;2748;1360,95;
2008-06-18;0,49;0,50;0,50;0,48;0,50;0,48;-2,34%;0,49;0,51;7;7752;3819,46;
2008-06-19;0,50;0,52;0,52;0,49;0,48;0,49;1,80%;0,49;0,51;4;1505;756,17;
2008-06-20;0,00;0,49;0,00;0,00;0,49;0,49;0,00%;0,50;0,51;0;0;0,00;
2008-06-25;0,50;0,50;0,50;0,50;0,49;0,50;0,59%;0,50;0,51;1;180;89,15;
2008-06-26;0,52;0,52;0,52;0,52;0,50;0,52;4,68%;0,50;0,52;1;350;181,45;
2008-06-27;0,50;0,50;0,50;0,50;0,52;0,50;-3,35%;0,50;0,51;1;200;100,21;
2008-06-30;0,50;0,50;0,50;0,50;0,50;0,50;-1,16%;0,49;0,50;1;1100;544,78;
2008-07-01;0,49;0,49;0,49;0,49;0,50;0,49;-0,58%;0,49;0,52;3;2970;1462,29;
2008-07-02;0,49;0,49;0,49;0,49;0,49;0,49;-1,18%;0,49;0,51;3;4158;2038,94;
2008-07-03;0,49;0,49;0,49;0,49;0,49;0,49;0,00%;0,48;0,50;1;1000;486,56;
2008-07-04;0,49;0,49;0,49;0,49;0,49;0,49;0,60%;0,48;0,49;5;2010;983,81;
2008-07-07;0,00;0,49;0,00;0,00;0,49;0,49;0,00%;0,00;0,00;0;0;0,00;
2008-07-08;0,48;0,49;0,49;0,48;0,49;0,48;-2,37%;0,47;0,47;5;1900;909,70;
2008-07-09;0,47;0,47;0,49;0,47;0,48;0,49;1,82%;0,47;0,49;2;900;426,32;
2008-07-10;0,49;0,49;0,49;0,49;0,49;0,49;0,00%;0,47;0,49;1;22;10,70;
2008-07-11;0,00;0,49;0,00;0,00;0,49;0,49;0,00%;0,47;0,49;0;0;0,00;
2008-07-14;0,00;0,49;0,00;0,00;0,49;0,49;0,00%;0,47;0,51;0;0;0,00;
2008-07-15;0,00;0,49;0,00;0,00;0,49;0,49;0,00%;0,47;0,50;0;0;0,00;
2008-07-16;0,00;0,49;0,00;0,00;0,49;0,49;0,00%;0,47;0,50;0;0;0,00;
2008-07-17;0,00;0,49;0,00;0,00;0,49;0,49;0,00%;0,47;0,49;0;0;0,00;
2008-07-18;0,00;0,49;0,00;0,00;0,49;0,49;0,00%;0,45;0,49;0;0;0,00;
2008-07-21;0,50;0,49;0,51;0,49;0,49;0,51;4,17%;0,46;0,49;3;928;464,55;
2008-07-22;0,46;0,45;0,46;0,45;0,51;0,46;-8,57%;0,45;0,48;3;2118;966,43;
2008-07-23;0,00;0,46;0,00;0,00;0,46;0,46;0,00%;0,45;0,49;0;0;0,00;
2008-07-24;0,48;0,48;0,48;0,47;0,46;0,47;1,88%;0,47;0,48;11;13225;6368,76;
2008-07-25;0,47;0,47;0,49;0,46;0,47;0,46;-2,45%;0,46;0,49;7;4089;1907,12;
2008-07-28;0,47;0,47;0,47;0,47;0,46;0,47;1,26%;0,45;0,48;2;1130;526,91;
2008-07-29;0,46;0,46;0,46;0,46;0,47;0,46;-1,24%;0,46;0,47;2;690;318,31;
2008-07-30;0,00;0,46;0,00;0,00;0,46;0,46;0,00%;0,46;0,49;0;0;0,00;
2008-07-31;0,00;0,46;0,00;0,00;0,46;0,46;0,00%;0,45;0,49;0;0;0,00;
2008-08-01;0,00;0,46;0,00;0,00;0,46;0,46;0,00%;0,42;0,49;0;0;0,00;
2008-08-04;0,46;0,46;0,48;0,46;0,46;0,48;3,77%;0,42;0,48;5;1900;875,29;
